time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-04,,,,,,,,,0.0
2020-03-05,,,,,,,,,0.0
2020-03-06,1.0,,,,0.113,,,,0.0
2020-03-07,0.0,,,,0.0,,,,0.0
2020-03-08,0.0,,,,0.0,,,,0.0
2020-03-09,0.0,,,,0.0,,,,0.0
2020-03-10,0.0,,,,0.0,,,,0.0
2020-03-11,0.0,0.143,,,0.0,0.016,,,0.0
2020-03-12,0.0,0.143,,,0.0,0.016,,,0.0
2020-03-13,0.0,0.0,,,0.0,0.0,,,0.0
2020-03-14,0.0,0.0,,,0.0,0.0,,,0.0
2020-03-15,0.0,0.0,,,0.0,0.0,,,0.0
2020-03-16,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-17,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-18,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-19,0.0,0.0,,,0.0,0.0,,,27.78
2020-03-20,8.0,1.143,,,0.904,0.129,,,61.11
2020-03-21,7.0,2.143,,,0.791,0.242,,,69.44
2020-03-22,0.0,2.143,,,0.0,0.242,,,69.44
2020-03-23,2.0,2.429,,,0.226,0.274,,,69.44
2020-03-24,2.0,2.714,,,0.226,0.307,,,69.44
2020-03-25,3.0,3.143,,,0.339,0.355,,,69.44
2020-03-26,0.0,3.143,,,0.0,0.355,,,69.44
2020-03-27,2.0,2.286,1.0,,0.226,0.258,0.113,,69.44
2020-03-28,0.0,1.286,0.0,,0.0,0.145,0.0,,69.44
2020-03-29,0.0,1.286,0.0,,0.0,0.145,0.0,,69.44
2020-03-30,5.0,1.714,0.0,,0.565,0.194,0.0,,69.44
2020-03-31,4.0,2.0,0.0,,0.452,0.226,0.0,,69.44
2020-04-01,2.0,1.857,1.0,0.286,0.226,0.21,0.113,0.032,69.44
2020-04-02,3.0,2.286,0.0,0.286,0.339,0.258,0.0,0.032,73.15
2020-04-03,1.0,2.143,1.0,0.286,0.113,0.242,0.113,0.032,73.15
2020-04-04,1.0,2.286,0.0,0.286,0.113,0.258,0.0,0.032,73.15
2020-04-05,3.0,2.714,0.0,0.286,0.339,0.307,0.0,0.032,73.15
2020-04-06,14.0,4.0,0.0,0.286,1.582,0.452,0.0,0.032,73.15
2020-04-07,7.0,4.429,0.0,0.286,0.791,0.5,0.0,0.032,73.15
2020-04-08,5.0,4.857,0.0,0.143,0.565,0.549,0.0,0.016,73.15
2020-04-09,3.0,4.857,0.0,0.143,0.339,0.549,0.0,0.016,73.15
2020-04-10,3.0,5.143,0.0,0.0,0.339,0.581,0.0,0.0,73.15
2020-04-11,0.0,5.0,0.0,0.0,0.0,0.565,0.0,0.0,73.15
2020-04-12,0.0,4.571,0.0,0.0,0.0,0.517,0.0,0.0,73.15
2020-04-13,1.0,2.714,0.0,0.0,0.113,0.307,0.0,0.0,73.15
2020-04-14,0.0,1.714,0.0,0.0,0.0,0.194,0.0,0.0,73.15
2020-04-15,4.0,1.571,0.0,0.0,0.452,0.178,0.0,0.0,73.15
2020-04-16,0.0,1.143,2.0,0.286,0.0,0.129,0.226,0.032,73.15
2020-04-17,2.0,1.0,0.0,0.286,0.226,0.113,0.0,0.032,73.15
2020-04-18,1.0,1.143,0.0,0.286,0.113,0.129,0.0,0.032,73.15
2020-04-19,0.0,1.143,0.0,0.286,0.0,0.129,0.0,0.032,73.15
2020-04-20,0.0,1.0,1.0,0.429,0.0,0.113,0.113,0.048,73.15
2020-04-21,2.0,1.286,0.0,0.429,0.226,0.145,0.0,0.048,73.15
2020-04-22,2.0,1.0,0.0,0.429,0.226,0.113,0.0,0.048,73.15
