time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-21,1.0,,,,0.021,,,,44.44
2020-03-22,0.0,,,,0.0,,,,47.22
2020-03-23,8.0,,,,0.169,,,,47.22
2020-03-24,0.0,,,,0.0,,,,47.22
2020-03-25,5.0,,,,0.106,,,,69.44
2020-03-26,0.0,2.0,,,0.0,0.042,,,69.44
2020-03-27,9.0,3.286,,,0.19,0.07,,,69.44
2020-03-28,7.0,4.143,,,0.148,0.088,,,69.44
2020-03-29,3.0,4.571,,,0.063,0.097,,,69.44
2020-03-30,0.0,3.429,,,0.0,0.073,,,93.52
2020-03-31,11.0,5.0,,,0.233,0.106,,,93.52
2020-04-01,0.0,4.286,,,0.0,0.091,,,93.52
2020-04-02,1.0,4.429,,,0.021,0.094,,,93.52
2020-04-03,3.0,3.571,,,0.063,0.076,,,93.52
2020-04-04,0.0,2.571,,,0.0,0.054,,,93.52
2020-04-05,4.0,2.714,,,0.085,0.057,,,93.52
2020-04-06,0.0,2.714,,,0.0,0.057,,,93.52
2020-04-07,0.0,1.143,,,0.0,0.024,,,93.52
2020-04-08,1.0,1.286,,,0.021,0.027,,,93.52
2020-04-09,0.0,1.143,,,0.0,0.024,,,93.52
2020-04-10,0.0,0.714,,,0.0,0.015,,,93.52
2020-04-11,0.0,0.714,,,0.0,0.015,,,93.52
2020-04-12,1.0,0.286,,,0.021,0.006,,,93.52
2020-04-13,0.0,0.286,,,0.0,0.006,,,93.52
2020-04-14,1.0,0.429,,,0.021,0.009,,,93.52
2020-04-15,0.0,0.286,,,0.0,0.006,,,93.52
2020-04-16,0.0,0.286,,,0.0,0.006,,,93.52
2020-04-17,1.0,0.429,,,0.021,0.009,,,93.52
2020-04-18,,,,,,,,,93.52
2020-04-19,0.0,0.286,,,0.0,0.006,,,93.52
2020-04-20,1.0,0.429,,,0.021,0.009,,,93.52
2020-04-21,5.0,1.0,,,0.106,0.021,,,93.52
2020-04-22,2.0,1.286,,,0.042,0.027,,,93.52
2020-04-23,11.0,2.857,,,0.233,0.06,,,93.52
2020-04-24,1.0,2.857,,,0.021,0.06,,,93.52
2020-04-25,0.0,2.857,,,0.0,0.06,,,93.52
2020-04-26,4.0,3.429,,,0.085,0.073,,,93.52
2020-04-27,0.0,3.286,,,0.0,0.07,,,93.52
2020-04-28,0.0,2.571,,,0.0,0.054,,,93.52
2020-04-29,2.0,2.571,,,0.042,0.054,,,93.52
2020-04-30,2.0,1.286,,,0.042,0.027,,,93.52
2020-05-01,2.0,1.429,,,0.042,0.03,,,93.52
2020-05-02,3.0,1.857,,,0.063,0.039,,,93.52
2020-05-03,1.0,1.429,,,0.021,0.03,,,93.52
2020-05-04,8.0,2.571,,,0.169,0.054,,,93.52
2020-05-05,1.0,2.714,,,0.021,0.057,,,93.52
2020-05-06,2.0,2.714,,,0.042,0.057,,,89.81
2020-05-07,1.0,2.571,,,0.021,0.054,,,89.81
2020-05-08,0.0,2.286,,,0.0,0.048,,,89.81
2020-05-09,15.0,4.0,,,0.317,0.085,,,89.81
2020-05-10,5.0,4.571,,,0.106,0.097,,,89.81
2020-05-11,0.0,3.429,,,0.0,0.073,,,89.81
2020-05-12,8.0,4.429,,,0.169,0.094,,,89.81
2020-05-13,10.0,5.571,,,0.212,0.118,,,89.81
2020-05-14,21.0,8.429,,,0.444,0.178,,,89.81
2020-05-15,43.0,14.571,,,0.91,0.308,,,89.81
2020-05-16,24.0,15.857,,,0.508,0.336,,,89.81
2020-05-17,0.0,15.143,,,0.0,0.32,,,89.81
2020-05-18,21.0,18.143,,,0.444,0.384,,,89.81
2020-05-19,12.0,18.714,,,0.254,0.396,,,89.81
2020-05-20,4.0,17.857,,,0.085,0.378,,,89.81
2020-05-21,,,,,,,,,89.81
2020-05-22,15.0,10.857,,,0.317,0.23,,,89.81
2020-05-23,23.0,10.714,,,0.487,0.227,,,89.81
2020-05-24,0.0,10.714,,,0.0,0.227,,,89.81
2020-05-25,24.0,11.143,,,0.508,0.236,,,89.81
2020-05-26,31.0,13.857,,,0.656,0.293,,,84.26
2020-05-27,28.0,17.286,,,0.593,0.366,,,84.26
2020-05-28,36.0,22.429,,,0.762,0.475,,,84.26
2020-05-29,12.0,22.0,,,0.254,0.466,,,84.26
2020-05-30,84.0,30.714,,,1.778,0.65,,,84.26
2020-05-31,4.0,31.286,,,0.085,0.662,,,84.26
2020-06-01,40.0,33.571,,,0.847,0.711,,,84.26
2020-06-02,32.0,33.714,,,0.677,0.714,,,84.26
2020-06-03,18.0,32.286,,,0.381,0.683,,,84.26
2020-06-04,15.0,29.286,,,0.317,0.62,,,84.26
2020-06-05,35.0,32.571,,,0.741,0.689,,,84.26
2020-06-06,36.0,25.714,,,0.762,0.544,,,84.26
2020-06-07,23.0,28.429,,,0.487,0.602,,,84.26
2020-06-08,30.0,27.0,,,0.635,0.571,,,84.26
2020-06-09,11.0,24.0,,,0.233,0.508,,,84.26
2020-06-10,8.0,22.571,,,0.169,0.478,,,84.26
2020-06-11,14.0,22.429,,,0.296,0.475,,,84.26
2020-06-12,7.0,18.429,,,0.148,0.39,,,84.26
2020-06-13,8.0,14.429,,,0.169,0.305,,,84.26
2020-06-14,2.0,11.429,,,0.042,0.242,,,84.26
2020-06-15,9.0,8.429,,,0.19,0.178,,,84.26
2020-06-16,19.0,9.571,,,0.402,0.203,,,84.26
