time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-03,1.0,,,,0.025,,,,11.11
2020-03-04,0.0,,,,0.0,,,,11.11
2020-03-05,0.0,,,,0.0,,,,11.11
2020-03-06,0.0,,,,0.0,,,,11.11
2020-03-07,0.0,,,,0.0,,,,11.11
2020-03-08,0.0,0.143,,,0.0,0.004,,,11.11
2020-03-09,0.0,0.143,,,0.0,0.004,,,11.11
2020-03-10,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-11,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-12,0.0,0.0,,,0.0,0.0,,,50.0
2020-03-13,2.0,0.286,1.0,,0.05,0.007,0.025,,50.0
2020-03-14,0.0,0.286,0.0,,0.0,0.007,0.0,,50.0
2020-03-15,0.0,0.286,0.0,,0.0,0.007,0.0,,50.0
2020-03-16,4.0,0.857,0.0,,0.101,0.022,0.0,,64.81
2020-03-17,7.0,1.857,1.0,,0.176,0.047,0.025,,77.78
2020-03-18,0.0,1.857,0.0,0.286,0.0,0.047,0.0,0.007,88.89
2020-03-19,2.0,2.143,0.0,0.286,0.05,0.054,0.0,0.007,88.89
2020-03-20,13.0,3.714,1.0,0.286,0.327,0.094,0.025,0.007,88.89
2020-03-21,18.0,6.286,0.0,0.286,0.453,0.158,0.0,0.007,88.89
2020-03-22,26.0,10.0,0.0,0.286,0.655,0.252,0.0,0.007,88.89
2020-03-23,0.0,9.429,0.0,0.286,0.0,0.237,0.0,0.007,88.89
2020-03-24,24.0,11.857,0.0,0.143,0.605,0.299,0.0,0.004,88.89
2020-03-25,48.0,18.714,2.0,0.429,1.209,0.471,0.05,0.011,88.89
2020-03-26,51.0,25.714,0.0,0.429,1.285,0.648,0.0,0.011,88.89
2020-03-27,114.0,40.143,0.0,0.286,2.871,1.011,0.0,0.007,88.89
2020-03-28,46.0,44.143,4.0,0.857,1.159,1.112,0.101,0.022,88.89
2020-03-29,119.0,57.429,1.0,1.0,2.997,1.446,0.025,0.025,88.89
2020-03-30,73.0,67.857,3.0,1.429,1.839,1.709,0.076,0.036,88.89
2020-03-31,97.0,78.286,4.0,2.0,2.443,1.972,0.101,0.05,88.89
2020-04-01,149.0,92.714,3.0,2.143,3.753,2.335,0.076,0.054,88.89
2020-04-02,103.0,100.143,2.0,2.429,2.594,2.522,0.05,0.061,88.89
2020-04-03,175.0,108.857,5.0,3.143,4.408,2.742,0.126,0.079,88.89
2020-04-04,153.0,124.143,5.0,3.286,3.854,3.127,0.126,0.083,88.89
2020-04-05,83.0,119.0,5.0,3.857,2.091,2.997,0.126,0.097,88.89
2020-04-06,11.0,110.143,1.0,3.571,0.277,2.774,0.025,0.09,88.89
2020-04-07,143.0,116.714,7.0,4.0,3.602,2.94,0.176,0.101,88.89
2020-04-08,206.0,124.857,7.0,4.571,5.189,3.145,0.176,0.115,88.89
2020-04-09,224.0,142.143,5.0,5.0,5.642,3.58,0.126,0.126,88.89
2020-04-10,311.0,161.571,12.0,6.0,7.833,4.07,0.302,0.151,88.89
2020-04-11,308.0,183.714,4.0,5.857,7.758,4.627,0.101,0.148,88.89
2020-04-12,266.0,209.857,10.0,6.571,6.7,5.286,0.252,0.166,88.89
2020-04-13,325.0,254.714,10.0,7.857,8.186,6.416,0.252,0.198,88.89
2020-04-14,270.0,272.857,5.0,7.571,6.801,6.873,0.126,0.191,88.89
2020-04-15,392.0,299.429,10.0,8.0,9.874,7.542,0.252,0.202,88.89
2020-04-16,397.0,324.143,8.0,8.429,10.0,8.164,0.202,0.212,88.89
2020-04-17,501.0,351.286,9.0,8.0,12.619,8.848,0.227,0.202,88.89
2020-04-18,444.0,370.714,8.0,8.571,11.183,9.337,0.202,0.216,88.89
2020-04-19,343.0,381.714,8.0,8.286,8.639,9.615,0.202,0.209,88.89
2020-04-20,261.0,372.571,10.0,8.286,6.574,9.384,0.252,0.209,88.89
2020-04-21,415.0,393.286,10.0,9.0,10.453,9.906,0.252,0.227,88.89
2020-04-22,467.0,404.0,13.0,9.429,11.763,10.176,0.327,0.237,88.89
2020-04-23,578.0,429.857,13.0,10.143,14.559,10.827,0.327,0.255,88.89
2020-04-24,477.0,426.429,14.0,10.857,12.015,10.741,0.353,0.273,88.89
2020-04-25,478.0,431.286,0.0,9.714,12.04,10.863,0.0,0.245,88.89
2020-04-26,492.0,452.571,8.0,9.714,12.392,11.399,0.202,0.245,88.89
2020-04-27,392.0,471.286,11.0,9.857,9.874,11.871,0.277,0.248,88.89
2020-04-28,401.0,469.286,19.0,11.143,10.1,11.82,0.479,0.281,88.89
2020-04-29,456.0,467.714,11.0,10.857,11.486,11.781,0.277,0.273,88.89
2020-04-30,540.0,462.286,11.0,10.571,13.601,11.644,0.277,0.266,88.89
2020-05-01,455.0,459.143,11.0,10.143,11.46,11.565,0.277,0.255,88.89
2020-05-02,550.0,469.429,7.0,11.143,13.853,11.824,0.176,0.281,88.89
2020-05-03,502.0,470.857,9.0,11.286,12.644,11.86,0.227,0.284,88.89
2020-05-04,418.0,474.571,15.0,11.857,10.529,11.953,0.378,0.299,88.89
2020-05-05,366.0,469.571,13.0,11.0,9.219,11.827,0.327,0.277,88.89
2020-05-06,487.0,474.0,11.0,11.0,12.266,11.939,0.277,0.277,88.89
2020-05-07,507.0,469.286,13.0,11.286,12.77,11.82,0.327,0.284,88.89
2020-05-08,504.0,476.286,21.0,12.714,12.695,11.997,0.529,0.32,88.89
2020-05-09,515.0,471.286,15.0,13.857,12.972,11.871,0.378,0.349,88.89
2020-05-10,522.0,474.143,15.0,14.714,13.148,11.943,0.378,0.371,88.89
2020-05-11,416.0,473.857,17.0,15.0,10.478,11.935,0.428,0.378,88.89
2020-05-12,375.0,475.143,17.0,15.571,9.445,11.968,0.428,0.392,88.89
2020-05-13,402.0,463.0,14.0,16.0,10.125,11.662,0.353,0.403,88.89
2020-05-14,422.0,450.857,17.0,16.571,10.629,11.356,0.428,0.417,88.89
2020-05-15,483.0,447.857,20.0,16.429,12.166,11.281,0.504,0.414,88.89
2020-05-16,528.0,449.714,21.0,17.286,13.299,11.327,0.529,0.435,88.89
2020-05-17,433.0,437.0,17.0,17.571,10.906,11.007,0.428,0.443,88.89
