time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,4.0,,,,1.169,,,,25.93
2020-03-14,2.0,,,,0.584,,,,48.15
2020-03-15,2.0,,,,0.584,,,,51.85
2020-03-16,21.0,,,,6.135,,,,54.63
2020-03-17,21.0,,,,6.135,,,,54.63
2020-03-18,29.0,11.286,,,8.473,3.297,,,54.63
2020-03-19,15.0,13.429,,,4.382,3.923,,,54.63
2020-03-20,16.0,15.143,,,4.675,4.424,,,54.63
2020-03-21,25.0,18.429,,,7.304,5.384,,,54.63
2020-03-22,23.0,21.429,,,6.72,6.261,,,54.63
2020-03-23,4.0,19.0,,,1.169,5.551,,,54.63
2020-03-24,27.0,19.857,,,7.888,5.801,,,57.41
2020-03-25,28.0,19.714,,,8.18,5.76,,,57.41
2020-03-26,21.0,20.571,,,6.135,6.01,,,57.41
2020-03-27,36.0,23.429,,,10.518,6.845,,,62.96
2020-03-28,29.0,24.0,1.0,,8.473,7.012,0.292,,62.96
2020-03-29,6.0,21.571,0.0,,1.753,6.302,0.0,,62.96
2020-03-30,11.0,22.571,0.0,,3.214,6.594,0.0,,62.96
2020-03-31,18.0,21.286,0.0,,5.259,6.219,0.0,,62.96
2020-04-01,12.0,19.0,1.0,,3.506,5.551,0.292,,68.52
2020-04-02,19.0,18.714,2.0,0.571,5.551,5.468,0.584,0.167,72.22
2020-04-03,17.0,16.0,0.0,0.571,4.967,4.675,0.0,0.167,72.22
2020-04-04,14.0,13.857,1.0,0.571,4.09,4.048,0.292,0.167,72.22
2020-04-05,6.0,13.857,1.0,0.714,1.753,4.048,0.292,0.209,72.22
2020-04-06,9.0,13.571,0.0,0.714,2.629,3.965,0.0,0.209,72.22
2020-04-07,9.0,12.286,1.0,0.857,2.629,3.589,0.292,0.25,72.22
2020-04-08,32.0,15.143,0.0,0.714,9.349,4.424,0.0,0.209,72.22
2020-04-09,17.0,14.857,0.0,0.429,4.967,4.341,0.0,0.125,72.22
2020-04-10,21.0,15.429,0.0,0.429,6.135,4.508,0.0,0.125,72.22
2020-04-11,7.0,14.429,0.0,0.286,2.045,4.215,0.0,0.083,72.22
2020-04-12,,,0.0,0.143,,,0.0,0.042,72.22
2020-04-13,3.0,12.714,1.0,0.286,0.876,3.715,0.292,0.083,62.96
2020-04-14,9.0,12.714,0.0,0.143,2.629,3.715,0.0,0.042,62.96
2020-04-15,1.0,8.286,1.0,0.286,0.292,2.421,0.292,0.083,62.96
2020-04-16,9.0,7.143,0.0,0.286,2.629,2.087,0.0,0.083,62.96
2020-04-17,6.0,5.0,0.0,0.286,1.753,1.461,0.0,0.083,62.96
