male,female,total
1766.87,1664.767,3431.637
1683.922,1598.165,3282.087
1500.617,1424.805,2925.422
1296.217,1239.215,2535.432
1419.687,1362.649,2782.336
1616.005,1548.646,3164.651
1523.58,1506.817,3030.397
1264.608,1282.19,2546.798
1038.719,1066.681,2105.4
889.583,935.517,1825.1
749.442,819.2,1568.642
703.547,796.572,1500.119
544.985,623.4,1168.385
354.844,416.399,771.243
148.93,195.016,343.946
98.191,130.013,228.204
65.17,98.632,163.802
23.652,44.105,67.757
7.43,16.22,23.65
0.825,2.887,3.712
0.094,0.385,0.479
