male,female,total
2099.843,2015.463,4115.306
1998.266,1919.836,3918.102
1808.305,1740.376,3548.681
1627.521,1574.072,3201.593
1482.136,1443.11,2925.246
1419.189,1388.311,2807.5
1173.529,1155.787,2329.316
908.535,902.587,1811.122
694.883,667.208,1362.091
509.275,491.438,1000.713
363.681,409.632,773.313
299.483,350.039,649.522
243.806,265.461,509.267
173.95,196.233,370.183
118.244,140.734,258.978
63.895,80.598,144.493
28.427,40.714,69.141
9.383,15.04,24.423
2.262,3.727,5.989
0.345,0.566,0.911
0.027,0.051,0.078
