Country_ID,Country,location,death_data
C001,afghanistan,afghanistan,islamic republic of afghanistan
C002,albania,albania,republic of albania
C003,algeria,algeria,people's democratic republic of algeria
C004,angola,angola,republic of angola
C005,antigua and barbuda,antigua and barbuda,antigua and barbuda
C006,argentina,argentina,argentine republic
C007,armenia,armenia,republic of armenia
C008,australia,australia,australia
C009,austria,austria,republic of austria
C010,azerbaijan,azerbaijan,republic of azerbaijan
C011,bahamas,bahamas,commonwealth of the bahamas
C012,bahrain,bahrain,kingdom of bahrain
C013,bangladesh,bangladesh,people's republic of bangladesh
C014,barbados,barbados,barbados
C015,belarus,belarus,republic of belarus
C016,belgium,belgium,kingdom of belgium
C017,belize,belize,belize
C018,benin,benin,republic of benin
C019,bhutan,bhutan,kingdom of bhutan
C020,bolivia,bolivia (plurinational state of),
C021,bosnia and herzegovina,bosnia and herzegovina,bosnia and herzegovina
C022,botswana,botswana,republic of botswana
C023,brazil,brazil,federative republic of brazil
C024,brunei,brunei darussalam,
C025,bulgaria,bulgaria,republic of bulgaria
C026,burkina faso,burkina faso,burkina faso
C027,burundi,burundi,republic of burundi
C028,cambodia,cambodia,kingdom of cambodia
C029,cameroon,cameroon,republic of cameroon
C030,canada,canada,canada
C031,cape verde,cabo verde,
C032,central african republic,central african republic,central african republic
C033,chad,chad,republic of chad
C034,chile,chile,republic of chile
C035,china,china,people's republic of china
C036,colombia,colombia,republic of colombia
C037,comoros,comoros,union of the comoros
C038,congo,democratic republic of congo,democratic republic of the congo
C039,costa rica,costa rica,republic of costa rica
C040,cote d'ivoire,côte d'ivoire,
C041,croatia,croatia,republic of croatia
C042,cuba,cuba,republic of cuba
C043,cyprus,cyprus,republic of cyprus
C044,czechia,czechia,czech republic
C045,denmark,denmark,kingdom of denmark
C046,djibouti,djibouti,republic of djibouti
C047,dominica,dominican republic,dominican republic
C048,ecuador,ecuador,republic of ecuador
C049,egypt,egypt,arab republic of egypt
C050,el salvador,el salvador,republic of el salvador
C051,equatorial guinea,equatorial guinea,republic of equatorial guinea
C052,eritrea,eritrea,state of eritrea
C053,estonia,estonia,republic of estonia
C054,eswatini,eswatini,kingdom of eswatini
C055,ethiopia,ethiopia,federal democratic republic of ethiopia
C056,fiji,fiji,republic of fiji
C057,finland,finland,republic of finland
C058,france,france,french republic
C059,gabon,gabon,gabonese republic
C060,gambia,gambia,republic of the gambia
C061,georgia,georgia,georgia
C062,germany,germany,federal republic of germany
C063,ghana,ghana,republic of ghana
C064,greece,greece,hellenic republic
C065,grenada,grenada,grenada
C066,guam,guam,guam
C067,guatemala,guatemala,republic of guatemala
C068,guinea,guinea,republic of guinea
C069,guinea-bissau,guinea-bissau,republic of guinea-bissau
C070,guyana,guyana,republic of guyana
