male,female,total
101498.216,98412.313,199910.529
92042.01,89449.951,181491.961
80720.709,78707.198,159427.907
69849.576,68414.727,138264.303
60449.504,59581.812,120031.316
52484.404,52193.331,104677.735
45647.099,45887.743,91534.842
38868.396,39483.159,78351.555
31838.094,32523.592,64361.686
25665.01,26546.822,52211.832
20520.106,21681.189,42201.295
16524.032,17710.687,34234.719
12713.408,14088.837,26802.245
9221.246,10560.42,19781.666
6029.948,7342.54,13372.488
3453.104,4564.413,8017.517
1643.555,2396.748,4040.303
572.286,924.096,1496.382
120.723,216.273,336.996
15.587,31.199,46.786
1.327,2.723,4.05
