time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-25,,,,,,,,,8.33
2020-02-26,,,,,,,,,8.33
2020-02-27,,,,,,,,,8.33
2020-02-28,,,,,,,,,8.33
2020-02-29,,,,,,,,,8.33
2020-03-01,,,,,,,,,8.33
2020-03-02,,,,,,,,,8.33
2020-03-03,,,,,,,,,8.33
2020-03-04,,,,,,,,,8.33
2020-03-05,,,,,,,,,8.33
2020-03-06,,,,,,,,,8.33
2020-03-07,,,,,,,,,8.33
2020-03-08,,,,,,,,,8.33
2020-03-09,2.0,,,,0.704,,,,36.11
2020-03-10,8.0,,,,2.815,,,,41.67
2020-03-11,2.0,,1.0,,0.704,,0.352,,51.85
2020-03-12,11.0,,0.0,,3.87,,0.0,,51.85
2020-03-13,10.0,,0.0,,3.518,,0.0,,78.7
2020-03-14,5.0,5.429,0.0,,1.759,1.91,0.0,,78.7
2020-03-15,4.0,6.0,0.0,,1.407,2.111,0.0,,81.48
2020-03-16,9.0,7.0,0.0,0.143,3.166,2.463,0.0,0.05,81.48
2020-03-17,4.0,6.429,0.0,0.143,1.407,2.262,0.0,0.05,81.48
2020-03-18,4.0,6.714,1.0,0.143,1.407,2.362,0.352,0.05,81.48
2020-03-19,5.0,5.857,0.0,0.143,1.759,2.061,0.0,0.05,81.48
2020-03-20,6.0,5.286,0.0,0.143,2.111,1.86,0.0,0.05,81.48
2020-03-21,6.0,5.429,0.0,0.143,2.111,1.91,0.0,0.05,81.48
2020-03-22,13.0,6.714,0.0,0.143,4.574,2.362,0.0,0.05,81.48
2020-03-23,15.0,7.571,2.0,0.429,5.277,2.664,0.704,0.151,84.26
2020-03-24,19.0,9.714,1.0,0.571,6.685,3.418,0.352,0.201,84.26
2020-03-25,23.0,12.429,0.0,0.429,8.092,4.373,0.0,0.151,84.26
2020-03-26,28.0,15.714,1.0,0.571,9.851,5.529,0.352,0.201,84.26
2020-03-27,12.0,16.571,2.0,0.857,4.222,5.83,0.704,0.302,84.26
2020-03-28,11.0,17.286,2.0,1.143,3.87,6.082,0.704,0.402,84.26
2020-03-29,15.0,17.571,0.0,1.143,5.277,6.182,0.0,0.402,84.26
2020-03-30,11.0,17.0,1.0,1.0,3.87,5.981,0.352,0.352,84.26
2020-03-31,20.0,17.143,4.0,1.429,7.037,6.031,1.407,0.503,84.26
2020-04-01,16.0,16.143,0.0,1.429,5.629,5.679,0.0,0.503,84.26
2020-04-02,18.0,14.714,1.0,1.429,6.333,5.177,0.352,0.503,84.26
2020-04-03,27.0,16.857,1.0,1.286,9.499,5.931,0.352,0.452,84.26
2020-04-04,29.0,19.429,3.0,1.429,10.203,6.835,1.055,0.503,84.26
2020-04-05,28.0,21.286,0.0,1.429,9.851,7.489,0.0,0.503,84.26
2020-04-06,16.0,22.0,1.0,1.429,5.629,7.74,0.352,0.503,84.26
2020-04-07,6.0,20.0,1.0,1.0,2.111,7.037,0.352,0.352,84.26
2020-04-08,17.0,20.143,0.0,1.0,5.981,7.087,0.0,0.352,84.26
2020-04-09,9.0,18.857,1.0,1.0,3.166,6.634,0.352,0.352,84.26
2020-04-10,7.0,16.0,0.0,0.857,2.463,5.629,0.0,0.302,84.26
2020-04-11,17.0,14.286,0.0,0.429,5.981,5.026,0.0,0.151,84.26
2020-04-12,13.0,12.143,0.0,0.429,4.574,4.272,0.0,0.151,84.26
2020-04-13,21.0,12.857,0.0,0.286,7.388,4.523,0.0,0.101,84.26
2020-04-14,8.0,13.143,1.0,0.286,2.815,4.624,0.352,0.101,84.26
2020-04-15,19.0,13.429,1.0,0.429,6.685,4.725,0.352,0.151,84.26
2020-04-16,24.0,15.571,1.0,0.429,8.444,5.478,0.352,0.151,84.26
2020-04-17,21.0,17.571,0.0,0.429,7.388,6.182,0.0,0.151,84.26
2020-04-18,9.0,16.429,0.0,0.429,3.166,5.78,0.0,0.151,89.81
2020-04-19,14.0,16.571,0.0,0.429,4.926,5.83,0.0,0.151,89.81
2020-04-20,22.0,16.714,0.0,0.429,7.74,5.881,0.0,0.151,89.81
2020-04-21,25.0,19.143,0.0,0.286,8.796,6.735,0.0,0.101,89.81
2020-04-22,25.0,20.0,1.0,0.286,8.796,7.037,0.352,0.101,89.81
2020-04-23,29.0,20.714,0.0,0.143,10.203,7.288,0.0,0.05,89.81
2020-04-24,15.0,19.857,0.0,0.143,5.277,6.986,0.0,0.05,89.81
2020-04-25,34.0,23.429,0.0,0.143,11.962,8.243,0.0,0.05,89.81
2020-04-26,14.0,23.429,1.0,0.286,4.926,8.243,0.352,0.101,89.81
2020-04-27,10.0,21.714,0.0,0.286,3.518,7.64,0.0,0.101,89.81
2020-04-28,14.0,20.143,2.0,0.571,4.926,7.087,0.704,0.201,89.81
2020-04-29,16.0,18.857,0.0,0.429,5.629,6.634,0.0,0.151,89.81
2020-04-30,7.0,15.714,1.0,0.571,2.463,5.529,0.352,0.201,89.81
2020-05-01,9.0,14.857,0.0,0.571,3.166,5.227,0.0,0.201,89.81
2020-05-02,7.0,11.0,0.0,0.571,2.463,3.87,0.0,0.201,89.81
2020-05-03,6.0,9.857,0.0,0.429,2.111,3.468,0.0,0.151,89.81
2020-05-04,8.0,9.571,0.0,0.429,2.815,3.367,0.0,0.151,89.81
2020-05-05,17.0,10.0,0.0,0.143,5.981,3.518,0.0,0.05,89.81
2020-05-06,12.0,9.429,0.0,0.143,4.222,3.317,0.0,0.05,89.81
2020-05-07,10.0,9.857,0.0,0.0,3.518,3.468,0.0,0.0,89.81
2020-05-08,8.0,9.714,0.0,0.0,2.815,3.418,0.0,0.0,89.81
2020-05-09,6.0,9.571,0.0,0.0,2.111,3.367,0.0,0.0,89.81
2020-05-10,12.0,10.429,0.0,0.0,4.222,3.669,0.0,0.0,89.81
2020-05-11,4.0,9.857,0.0,0.0,1.407,3.468,0.0,0.0,89.81
2020-05-12,4.0,8.0,0.0,0.0,1.407,2.815,0.0,0.0,89.81
2020-05-13,4.0,6.857,0.0,0.0,1.407,2.413,0.0,0.0,89.81
2020-05-14,18.0,8.0,0.0,0.0,6.333,2.815,0.0,0.0,89.81
2020-05-15,18.0,9.429,0.0,0.0,6.333,3.317,0.0,0.0,89.81
2020-05-16,17.0,11.0,0.0,0.0,5.981,3.87,0.0,0.0,89.81
2020-05-17,13.0,11.143,0.0,0.0,4.574,3.92,0.0,0.0,89.81
2020-05-18,2.0,10.857,0.0,0.0,0.704,3.82,0.0,0.0,83.33
2020-05-19,1.0,10.429,0.0,0.0,0.352,3.669,0.0,0.0,83.33
2020-05-20,15.0,12.0,0.0,0.0,5.277,4.222,0.0,0.0,83.33
2020-05-21,5.0,10.143,0.0,0.0,1.759,3.569,0.0,0.0,83.33
2020-05-22,12.0,9.286,0.0,0.0,4.222,3.267,0.0,0.0,83.33
2020-05-23,8.0,8.0,0.0,0.0,2.815,2.815,0.0,0.0,83.33
2020-05-24,9.0,7.429,1.0,0.143,3.166,2.614,0.352,0.05,83.33
2020-05-25,6.0,8.0,0.0,0.143,2.111,2.815,0.0,0.05,83.33
2020-05-26,25.0,11.429,1.0,0.286,8.796,4.021,0.352,0.101,86.11
2020-05-27,21.0,12.286,0.0,0.286,7.388,4.322,0.0,0.101,86.11
2020-05-28,26.0,15.286,0.0,0.286,9.147,5.378,0.0,0.101,86.11
2020-05-29,23.0,16.857,0.0,0.286,8.092,5.931,0.0,0.101,86.11
2020-05-30,23.0,19.0,0.0,0.286,8.092,6.685,0.0,0.101,86.11
2020-05-31,15.0,19.857,0.0,0.143,5.277,6.986,0.0,0.05,86.11
2020-06-01,6.0,19.857,0.0,0.143,2.111,6.986,0.0,0.05,71.3
2020-06-02,21.0,19.286,0.0,0.0,7.388,6.785,0.0,0.0,71.3
2020-06-03,20.0,19.143,0.0,0.0,7.037,6.735,0.0,0.0,71.3
2020-06-04,13.0,17.286,0.0,0.0,4.574,6.082,0.0,0.0,71.3
2020-06-05,15.0,16.143,0.0,0.0,5.277,5.679,0.0,0.0,71.3
2020-06-06,20.0,15.714,1.0,0.143,7.037,5.529,0.352,0.05,71.3
2020-06-07,14.0,15.571,0.0,0.143,4.926,5.478,0.0,0.05,71.3
2020-06-08,17.0,17.143,0.0,0.143,5.981,6.031,0.0,0.05,71.3
2020-06-09,36.0,19.286,0.0,0.143,12.666,6.785,0.0,0.05,71.3
2020-06-10,42.0,22.429,0.0,0.143,14.777,7.891,0.0,0.05,71.3
2020-06-11,44.0,26.857,1.0,0.286,15.48,9.449,0.352,0.101,71.3
2020-06-12,31.0,29.143,1.0,0.429,10.907,10.253,0.352,0.151,71.3
2020-06-13,48.0,33.143,0.0,0.286,16.888,11.661,0.0,0.101,71.3
2020-06-14,57.0,39.286,0.0,0.286,20.054,13.822,0.0,0.101,71.3
2020-06-15,69.0,46.714,0.0,0.286,24.276,16.435,0.0,0.101,71.3
2020-06-16,82.0,53.286,1.0,0.429,28.85,18.747,0.352,0.151,71.3
2020-06-17,50.0,54.429,1.0,0.571,17.591,19.149,0.352,0.201,71.3
2020-06-18,66.0,57.571,1.0,0.571,23.22,20.255,0.352,0.201,71.3
2020-06-19,50.0,60.286,3.0,0.857,17.591,21.21,1.055,0.302,71.3
2020-06-20,53.0,61.0,1.0,1.0,18.647,21.461,0.352,0.352,71.3
2020-06-21,71.0,63.0,1.0,1.143,24.98,22.165,0.352,0.402,71.3
2020-06-22,33.0,57.857,0.0,1.143,11.61,20.356,0.0,0.402,68.52
2020-06-23,52.0,53.571,1.0,1.143,18.295,18.848,0.352,0.402,68.52
2020-06-24,67.0,56.0,2.0,1.286,23.572,19.702,0.704,0.452,68.52
2020-06-25,78.0,57.714,2.0,1.429,27.442,20.305,0.704,0.503,68.52
2020-06-26,77.0,61.571,2.0,1.286,27.091,21.662,0.704,0.452,68.52
2020-06-27,61.0,62.714,2.0,1.429,21.461,22.064,0.704,0.503,68.52
2020-06-28,72.0,62.857,2.0,1.571,25.331,22.115,0.704,0.553,68.52
2020-06-29,64.0,67.286,3.0,2.0,22.517,23.673,1.055,0.704,68.52
2020-06-30,69.0,69.714,4.0,2.429,24.276,24.527,1.407,0.854,68.52
2020-07-01,45.0,66.571,3.0,2.571,15.832,23.422,1.055,0.905,68.52
2020-07-02,82.0,67.143,4.0,2.857,28.85,23.623,1.407,1.005,68.52
2020-07-03,90.0,69.0,3.0,3.0,31.664,24.276,1.055,1.055,68.52
2020-07-04,67.0,69.857,2.0,3.0,23.572,24.578,0.704,1.055,68.52
2020-07-05,74.0,70.143,2.0,3.0,26.035,24.678,0.704,1.055,68.52
2020-07-06,71.0,71.143,3.0,3.0,24.98,25.03,1.055,1.055,62.96
2020-07-07,74.0,71.857,2.0,2.714,26.035,25.281,0.704,0.955,62.96
2020-07-08,68.0,75.143,2.0,2.571,23.924,26.437,0.704,0.905,62.96
2020-07-09,82.0,75.143,0.0,2.0,28.85,26.437,0.0,0.704,62.96
2020-07-10,90.0,75.143,2.0,1.857,31.664,26.437,0.704,0.653,62.96
2020-07-11,93.0,78.857,4.0,2.143,32.72,27.744,1.407,0.754,62.96
2020-07-12,83.0,80.143,4.0,2.429,29.202,28.196,1.407,0.854,62.96
