time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,2.0,,,,18.787,,,,0.0
2020-03-14,0.0,,,,0.0,,,,0.0
2020-03-15,0.0,,,,0.0,,,,0.0
2020-03-16,0.0,,,,0.0,,,,11.11
2020-03-17,1.0,,,,9.393,,,,22.22
2020-03-18,1.0,0.571,,,9.393,5.368,,,33.33
2020-03-19,0.0,0.571,,,0.0,5.368,,,33.33
2020-03-20,1.0,0.429,,,9.393,4.026,,,33.33
2020-03-21,0.0,0.429,,,0.0,4.026,,,44.44
2020-03-22,4.0,1.0,,,37.573,9.393,,,44.44
2020-03-23,0.0,1.0,,,0.0,9.393,,,44.44
2020-03-24,3.0,1.286,,,28.18,12.077,,,44.44
2020-03-25,5.0,1.857,,,46.966,17.445,,,44.44
2020-03-26,11.0,3.429,,,103.326,32.206,,,44.44
2020-03-27,5.0,4.0,,,46.966,37.573,,,44.44
2020-03-28,13.0,5.857,,,122.113,55.018,,,44.44
2020-03-29,4.0,5.857,,,37.573,55.018,,,85.19
2020-03-30,0.0,5.857,,,0.0,55.018,,,85.19
2020-03-31,5.0,6.143,,,46.966,57.702,,,85.19
2020-04-01,0.0,5.429,,,0.0,50.992,,,85.19
2020-04-02,5.0,4.571,,,46.966,42.941,,,85.19
2020-04-03,2.0,4.143,,,18.787,38.915,,,85.19
2020-04-04,2.0,2.571,,,18.787,24.154,,,85.19
2020-04-05,0.0,2.0,,,0.0,18.787,,,85.19
2020-04-06,7.0,3.0,,,65.753,28.18,,,85.19
2020-04-07,3.0,2.714,,,28.18,25.496,,,85.19
2020-04-08,3.0,3.143,,,28.18,29.522,,,85.19
2020-04-09,5.0,3.143,,,46.966,29.522,,,85.19
2020-04-10,4.0,3.429,,,37.573,32.206,,,88.89
2020-04-11,6.0,4.0,,,56.36,37.573,,,85.19
2020-04-12,0.0,4.0,,,0.0,37.573,,,88.89
