time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-22,0.0,,0.0,,0.0,,0.0,,
2020-01-23,98.0,,1.0,,0.021,,0.0,,
2020-01-24,283.0,,8.0,,0.06,,0.002,,
2020-01-25,492.0,,16.0,,0.104,,0.003,,
2020-01-26,676.0,,14.0,,0.143,,0.003,,
2020-01-27,807.0,336.571,26.0,9.286,0.171,0.071,0.006,0.002,
2020-01-28,2646.0,714.571,49.0,16.286,0.56,0.151,0.01,0.003,
2020-01-29,585.0,798.143,2.0,16.571,0.124,0.169,0.0,0.004,
2020-01-30,2065.0,1079.143,38.0,21.857,0.437,0.229,0.008,0.005,
2020-01-31,1681.0,1278.857,42.0,26.714,0.356,0.271,0.009,0.006,
2020-02-01,2102.0,1508.857,46.0,31.0,0.445,0.32,0.01,0.007,
2020-02-02,4747.0,2090.429,103.0,43.714,1.005,0.443,0.022,0.009,
2020-02-03,3089.0,2416.429,64.0,49.143,0.654,0.512,0.014,0.01,
2020-02-04,4009.0,2611.143,66.0,51.571,0.849,0.553,0.014,0.011,
2020-02-05,3743.0,3062.286,72.0,61.571,0.793,0.649,0.015,0.013,
2020-02-06,3160.0,3218.714,70.0,66.143,0.669,0.682,0.015,0.014,
2020-02-07,3528.0,3482.571,85.0,72.286,0.747,0.738,0.018,0.015,
2020-02-08,2722.0,3571.143,87.0,78.143,0.577,0.756,0.018,0.017,
2020-02-09,3025.0,3325.143,100.0,77.714,0.641,0.704,0.021,0.016,
2020-02-10,2537.0,3246.286,107.0,83.857,0.537,0.688,0.023,0.018,
2020-02-11,2038.0,2964.714,100.0,88.714,0.432,0.628,0.021,0.019,
2020-02-12,377.0,2483.857,5.0,79.143,0.08,0.526,0.001,0.017,
2020-02-13,15150.0,4196.714,253.0,105.286,3.209,0.889,0.054,0.022,
