time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-08,3.0,,,,0.018,,,,13.89
2020-03-09,0.0,,,,0.0,,,,13.89
2020-03-10,0.0,,,,0.0,,,,13.89
2020-03-11,0.0,,,,0.0,,,,13.89
2020-03-12,0.0,,,,0.0,,,,13.89
2020-03-13,0.0,0.429,,,0.0,0.003,,,13.89
2020-03-14,0.0,0.429,,,0.0,0.003,,,13.89
2020-03-15,2.0,0.286,,,0.012,0.002,,,13.89
2020-03-16,3.0,0.714,,,0.018,0.004,,,33.33
2020-03-17,2.0,1.0,,,0.012,0.006,,,33.33
2020-03-18,4.0,1.571,1.0,,0.023,0.009,0.006,,33.33
2020-03-19,3.0,2.0,0.0,,0.018,0.012,0.0,,75.93
2020-03-20,3.0,2.429,0.0,,0.018,0.014,0.0,,75.93
2020-03-21,5.0,3.143,1.0,,0.029,0.018,0.006,,81.48
2020-03-22,2.0,3.143,0.0,,0.012,0.018,0.0,,81.48
2020-03-23,6.0,3.571,1.0,0.429,0.035,0.021,0.006,0.003,81.48
2020-03-24,6.0,4.143,1.0,0.571,0.035,0.024,0.006,0.003,81.48
2020-03-25,0.0,3.571,1.0,0.571,0.0,0.021,0.006,0.003,82.41
2020-03-26,5.0,3.857,0.0,0.571,0.029,0.023,0.0,0.003,84.26
2020-03-27,4.0,4.0,0.0,0.571,0.023,0.023,0.0,0.003,84.26
2020-03-28,0.0,3.286,0.0,0.429,0.0,0.019,0.0,0.003,84.26
2020-03-29,0.0,3.0,0.0,0.429,0.0,0.018,0.0,0.003,84.26
2020-03-30,1.0,2.286,0.0,0.286,0.006,0.013,0.0,0.002,84.26
2020-03-31,2.0,1.714,0.0,0.143,0.012,0.01,0.0,0.001,87.04
2020-04-01,3.0,2.143,1.0,0.143,0.018,0.013,0.006,0.001,87.04
2020-04-02,2.0,1.714,0.0,0.143,0.012,0.01,0.0,0.001,87.04
2020-04-03,5.0,1.857,0.0,0.143,0.029,0.011,0.0,0.001,87.04
2020-04-04,9.0,3.143,2.0,0.429,0.053,0.018,0.012,0.003,87.04
2020-04-05,18.0,5.714,1.0,0.571,0.105,0.033,0.006,0.003,87.04
2020-04-06,35.0,10.571,3.0,1.0,0.204,0.062,0.018,0.006,87.04
2020-04-07,41.0,16.143,5.0,1.714,0.24,0.094,0.029,0.01,87.04
2020-04-08,54.0,23.429,3.0,2.0,0.315,0.137,0.018,0.012,87.04
2020-04-09,112.0,39.143,1.0,2.143,0.654,0.229,0.006,0.013,87.04
2020-04-10,94.0,51.857,6.0,3.0,0.549,0.303,0.035,0.018,90.74
2020-04-11,58.0,58.857,3.0,3.143,0.339,0.344,0.018,0.018,93.52
2020-04-12,139.0,76.143,4.0,3.571,0.812,0.445,0.023,0.021,93.52
2020-04-13,182.0,97.143,5.0,3.857,1.063,0.567,0.029,0.023,93.52
2020-04-14,209.0,121.143,7.0,4.143,1.221,0.708,0.041,0.024,93.52
2020-04-15,219.0,144.714,4.0,4.286,1.279,0.845,0.023,0.025,93.52
