time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-04,1.0,,,,0.086,,,,11.11
2020-02-05,0.0,,,,0.0,,,,11.11
2020-02-06,0.0,,,,0.0,,,,11.11
2020-02-07,0.0,,,,0.0,,,,11.11
2020-02-08,0.0,,,,0.0,,,,11.11
2020-02-09,0.0,0.143,,,0.0,0.012,,,11.11
2020-02-10,0.0,0.143,,,0.0,0.012,,,11.11
2020-02-11,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-12,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-13,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-14,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-15,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-16,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-17,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-18,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-19,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-20,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-21,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-22,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-23,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-24,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-25,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-26,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-27,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-28,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-29,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-01,1.0,0.143,,,0.086,0.012,,,11.11
2020-03-02,6.0,1.0,,,0.515,0.086,,,11.11
2020-03-03,5.0,1.714,,,0.429,0.147,,,11.11
2020-03-04,10.0,3.143,,,0.858,0.27,,,13.89
2020-03-05,27.0,7.0,,,2.316,0.601,,,13.89
2020-03-06,59.0,15.429,,,5.062,1.324,,,13.89
2020-03-07,60.0,24.0,,,5.148,2.059,,,13.89
2020-03-08,31.0,28.286,,,2.66,2.427,,,13.89
2020-03-09,39.0,33.0,,,3.346,2.831,,,13.89
2020-03-10,28.0,36.286,,,2.402,3.113,,,19.44
2020-03-11,47.0,41.571,3.0,,4.032,3.567,0.257,,19.44
2020-03-12,0.0,37.714,0.0,,0.0,3.236,0.0,,19.44
2020-03-13,245.0,64.286,0.0,,21.019,5.515,0.0,,23.15
2020-03-14,130.0,74.286,1.0,,11.153,6.373,0.086,,50.93
2020-03-15,197.0,98.0,0.0,,16.901,8.408,0.0,,50.93
2020-03-16,172.0,117.0,1.0,0.714,14.756,10.038,0.086,0.061,50.93
2020-03-17,185.0,139.429,5.0,1.429,15.872,11.962,0.429,0.123,50.93
