time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-16,1.0,,,,0.075,,,,16.67
2020-03-17,0.0,,,,0.0,,,,27.78
2020-03-18,1.0,,,,0.075,,,,27.78
2020-03-19,0.0,,,,0.0,,,,27.78
2020-03-20,0.0,,,,0.0,,,,27.78
2020-03-21,0.0,0.286,,,0.0,0.021,,,27.78
2020-03-22,0.0,0.286,,,0.0,0.021,,,27.78
2020-03-23,3.0,0.571,,,0.225,0.043,,,27.78
2020-03-24,1.0,0.714,,,0.075,0.053,,,27.78
2020-03-25,0.0,0.571,,,0.0,0.043,,,27.78
2020-03-26,0.0,0.571,,,0.0,0.043,,,27.78
2020-03-27,0.0,0.571,,,0.0,0.043,,,27.78
2020-03-28,0.0,0.571,,,0.0,0.043,,,27.78
2020-03-29,0.0,0.571,,,0.0,0.043,,,27.78
2020-03-30,0.0,0.143,,,0.0,0.011,,,70.83
2020-03-31,3.0,0.429,,,0.225,0.032,,,70.83
2020-04-01,4.0,1.0,,,0.3,0.075,,,70.83
2020-04-02,0.0,1.0,,,0.0,0.075,,,70.83
2020-04-03,3.0,1.429,,,0.225,0.107,,,70.83
2020-04-04,0.0,1.429,,,0.0,0.107,,,70.83
2020-04-05,6.0,2.286,,,0.449,0.171,,,70.83
2020-04-06,4.0,2.857,1.0,,0.3,0.214,0.075,,70.83
2020-04-07,0.0,2.429,0.0,,0.0,0.182,0.0,,70.83
2020-04-08,0.0,1.857,0.0,,0.0,0.139,0.0,,70.83
2020-04-09,0.0,1.857,0.0,,0.0,0.139,0.0,,70.83
2020-04-10,9.0,2.714,0.0,,0.674,0.203,0.0,,70.83
2020-04-11,0.0,2.714,0.0,0.143,0.0,0.203,0.0,0.011,70.83
2020-04-12,0.0,1.857,0.0,0.143,0.0,0.139,0.0,0.011,70.83
2020-04-13,0.0,1.286,0.0,0.0,0.0,0.096,0.0,0.0,70.83
2020-04-14,0.0,1.286,0.0,0.0,0.0,0.096,0.0,0.0,70.83
2020-04-15,0.0,1.286,0.0,0.0,0.0,0.096,0.0,0.0,70.83
2020-04-16,0.0,1.286,0.0,0.0,0.0,0.096,0.0,0.0,70.83
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83
2020-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83
2020-04-20,19.0,2.714,0.0,0.0,1.423,0.203,0.0,0.0,70.83
2020-04-21,0.0,2.714,0.0,0.0,0.0,0.203,0.0,0.0,70.83
2020-04-22,0.0,2.714,0.0,0.0,0.0,0.203,0.0,0.0,70.83
2020-04-23,0.0,2.714,0.0,0.0,0.0,0.203,0.0,0.0,70.83
2020-04-24,0.0,2.714,0.0,0.0,0.0,0.203,0.0,0.0,70.83
2020-04-25,0.0,2.714,0.0,0.0,0.0,0.203,0.0,0.0,70.83
2020-04-26,10.0,4.143,0.0,0.0,0.749,0.31,0.0,0.0,70.83
2020-04-27,0.0,1.429,0.0,0.0,0.0,0.107,0.0,0.0,70.83
2020-04-28,0.0,1.429,0.0,0.0,0.0,0.107,0.0,0.0,70.83
2020-04-29,0.0,1.429,0.0,0.0,0.0,0.107,0.0,0.0,70.83
2020-04-30,0.0,1.429,0.0,0.0,0.0,0.107,0.0,0.0,70.83
2020-05-01,26.0,5.143,1.0,0.143,1.947,0.385,0.075,0.011,70.83
2020-05-02,0.0,5.143,0.0,0.143,0.0,0.385,0.0,0.011,70.83
2020-05-03,0.0,3.714,0.0,0.143,0.0,0.278,0.0,0.011,70.83
2020-05-04,6.0,4.571,0.0,0.143,0.449,0.342,0.0,0.011,70.83
2020-05-05,0.0,4.571,0.0,0.143,0.0,0.342,0.0,0.011,70.83
2020-05-06,0.0,4.571,0.0,0.143,0.0,0.342,0.0,0.011,70.83
2020-05-07,44.0,10.857,0.0,0.143,3.295,0.813,0.0,0.011,70.83
2020-05-08,102.0,21.714,0.0,0.0,7.639,1.626,0.0,0.0,70.83
