time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-06,1.0,,,,1.278,,,,31.48
2020-03-07,0.0,,,,0.0,,,,31.48
2020-03-08,0.0,,,,0.0,,,,31.48
2020-03-09,0.0,,,,0.0,,,,31.48
2020-03-10,0.0,,,,0.0,,,,31.48
2020-03-11,0.0,0.143,,,0.0,0.183,,,31.48
2020-03-12,0.0,0.143,,,0.0,0.183,,,31.48
2020-03-13,0.0,0.0,,,0.0,0.0,,,31.48
2020-03-14,0.0,0.0,,,0.0,0.0,,,31.48
2020-03-15,0.0,0.0,,,0.0,0.0,,,31.48
2020-03-16,0.0,0.0,,,0.0,0.0,,,31.48
2020-03-17,0.0,0.0,,,0.0,0.0,,,31.48
2020-03-18,0.0,0.0,,,0.0,0.0,,,33.33
2020-03-19,0.0,0.0,,,0.0,0.0,,,33.33
2020-03-20,1.0,0.143,,,1.278,0.183,,,33.33
2020-03-21,0.0,0.143,,,0.0,0.183,,,33.33
2020-03-22,0.0,0.143,,,0.0,0.183,,,33.33
2020-03-23,0.0,0.143,,,0.0,0.183,,,38.89
2020-03-24,0.0,0.143,,,0.0,0.183,,,38.89
2020-03-25,0.0,0.143,,,0.0,0.183,,,38.89
2020-03-26,0.0,0.143,,,0.0,0.183,,,42.59
2020-03-27,1.0,0.143,,,1.278,0.183,,,83.33
2020-03-28,0.0,0.143,,,0.0,0.183,,,83.33
2020-03-29,1.0,0.286,,,1.278,0.365,,,83.33
2020-03-30,0.0,0.286,,,0.0,0.365,,,83.33
2020-03-31,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-01,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-02,1.0,0.429,,,1.278,0.548,,,83.33
2020-04-03,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-04,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-05,0.0,0.143,,,0.0,0.183,,,83.33
2020-04-06,0.0,0.143,,,0.0,0.183,,,83.33
2020-04-07,0.0,0.143,,,0.0,0.183,,,83.33
2020-04-08,0.0,0.143,,,0.0,0.183,,,83.33
2020-04-09,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-10,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-11,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-12,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-13,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-14,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-15,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-16,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-17,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-18,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-19,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-20,0.0,0.0,,,0.0,0.0,,,83.33
2020-04-21,1.0,0.143,,,1.278,0.183,,,83.33
2020-04-22,0.0,0.143,,,0.0,0.183,,,83.33
2020-04-23,1.0,0.286,,,1.278,0.365,,,83.33
2020-04-24,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-25,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-26,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-27,0.0,0.286,,,0.0,0.365,,,83.33
2020-04-28,0.0,0.143,,,0.0,0.183,,,83.33
2020-04-29,0.0,0.143,,,0.0,0.183,,,83.33
2020-04-30,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-01,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-02,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-03,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-04,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-05,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-06,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-07,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-08,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-09,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-10,0.0,0.0,,,0.0,0.0,,,83.33
2020-05-11,2.0,0.286,,,2.556,0.365,,,83.33
2020-05-12,2.0,0.571,,,2.556,0.73,,,83.33
2020-05-13,4.0,1.143,,,5.112,1.461,,,83.33
2020-05-14,5.0,1.857,,,6.39,2.373,,,83.33
