time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-05,2.0,,,,0.619,,,,0.0
2020-03-06,0.0,,,,0.0,,,,0.0
2020-03-07,1.0,,,,0.309,,,,0.0
2020-03-08,0.0,,,,0.0,,,,0.0
2020-03-09,0.0,,,,0.0,,,,0.0
2020-03-10,2.0,0.714,,,0.619,0.221,,,18.06
2020-03-11,2.0,1.0,,,0.619,0.309,,,29.17
2020-03-12,4.0,1.286,,,1.237,0.398,,,29.17
2020-03-13,2.0,1.571,,,0.619,0.486,,,29.17
2020-03-14,5.0,2.143,,,1.546,0.663,,,29.17
2020-03-15,6.0,3.0,,,1.856,0.928,,,29.17
2020-03-16,1.0,3.143,,,0.309,0.972,,,34.72
2020-03-17,1.0,3.0,,,0.309,0.928,,,65.28
2020-03-18,12.0,4.429,,,3.711,1.37,,,72.22
2020-03-19,25.0,7.429,,,7.731,2.297,,,72.22
2020-03-20,26.0,10.857,,,8.041,3.358,,,84.26
2020-03-21,4.0,10.714,1.0,,1.237,3.313,0.309,,84.26
2020-03-22,33.0,14.571,0.0,,10.206,4.506,0.0,,84.26
2020-03-23,10.0,15.857,0.0,,3.093,4.904,0.0,,84.26
2020-03-24,30.0,20.0,2.0,,9.278,6.185,0.619,,84.26
2020-03-25,10.0,19.714,0.0,,3.093,6.097,0.0,,84.26
2020-03-26,15.0,18.286,0.0,0.429,4.639,5.655,0.0,0.133,84.26
2020-03-27,46.0,21.143,1.0,0.571,14.226,6.539,0.309,0.177,84.26
2020-03-28,21.0,23.571,1.0,0.571,6.494,7.29,0.309,0.177,84.26
2020-03-29,65.0,28.143,1.0,0.714,20.102,8.703,0.309,0.221,89.81
2020-03-30,45.0,33.143,4.0,1.286,13.917,10.25,1.237,0.398,89.81
2020-03-31,52.0,36.286,3.0,1.429,16.081,11.222,0.928,0.442,89.81
2020-04-01,39.0,40.429,0.0,1.429,12.061,12.503,0.0,0.442,89.81
2020-04-02,74.0,48.857,3.0,1.857,22.885,15.11,0.928,0.574,89.81
2020-04-03,46.0,48.857,1.0,1.857,14.226,15.11,0.309,0.574,89.81
2020-04-04,45.0,52.286,4.0,2.286,13.917,16.17,1.237,0.707,89.81
2020-04-05,30.0,47.286,2.0,2.429,9.278,14.624,0.619,0.751,89.81
2020-04-06,20.0,43.714,6.0,2.714,6.185,13.519,1.856,0.839,89.81
2020-04-07,90.0,49.143,4.0,2.857,27.833,15.198,1.237,0.884,89.81
2020-04-08,40.0,49.286,1.0,3.0,12.37,15.242,0.309,0.928,89.81
