time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-26,1.0,,,,0.005,,,,5.56
2020-02-27,0.0,,,,0.0,,,,5.56
2020-02-28,0.0,,,,0.0,,,,5.56
2020-02-29,1.0,,,,0.005,,,,5.56
2020-03-01,0.0,,,,0.0,,,,5.56
2020-03-02,0.0,0.286,,,0.0,0.001,,,11.11
2020-03-03,0.0,0.286,,,0.0,0.001,,,11.11
2020-03-04,2.0,0.429,,,0.009,0.002,,,11.11
2020-03-05,0.0,0.429,,,0.0,0.002,,,11.11
2020-03-06,9.0,1.714,,,0.042,0.008,,,11.11
2020-03-07,0.0,1.571,,,0.0,0.007,,,11.11
2020-03-08,7.0,2.571,,,0.033,0.012,,,11.11
2020-03-09,5.0,3.286,,,0.023,0.015,,,11.11
2020-03-10,6.0,4.143,,,0.028,0.019,,,11.11
2020-03-11,7.0,4.857,,,0.033,0.023,,,11.11
2020-03-12,14.0,6.857,,,0.065,0.032,,,28.7
2020-03-13,99.0,19.714,,,0.46,0.092,,,37.96
2020-03-14,0.0,19.714,,,0.0,0.092,,,42.13
2020-03-15,11.0,20.286,,,0.051,0.094,,,42.13
2020-03-16,38.0,25.0,,,0.176,0.116,,,42.13
2020-03-17,121.0,41.429,1.0,,0.562,0.192,0.005,,57.87
2020-03-18,51.0,47.714,2.0,,0.237,0.222,0.009,,60.65
2020-03-19,249.0,81.286,3.0,,1.156,0.378,0.014,,66.2
2020-03-20,172.0,91.714,5.0,,0.799,0.426,0.023,,66.2
2020-03-21,228.0,124.286,4.0,,1.059,0.577,0.019,,71.76
2020-03-22,525.0,197.714,10.0,3.571,2.438,0.918,0.046,0.017,71.76
2020-03-23,378.0,246.286,9.0,4.857,1.756,1.144,0.042,0.023,71.76
2020-03-24,323.0,275.143,12.0,6.429,1.5,1.278,0.056,0.03,71.76
2020-03-25,307.0,311.714,13.0,8.0,1.426,1.448,0.06,0.037,71.76
2020-03-26,431.0,337.714,18.0,10.143,2.002,1.568,0.084,0.047,71.76
2020-03-27,432.0,374.857,15.0,11.571,2.006,1.741,0.07,0.054,74.54
2020-03-28,487.0,411.857,19.0,13.714,2.262,1.913,0.088,0.064,74.54
2020-03-29,352.0,387.143,25.0,15.857,1.635,1.798,0.116,0.074,74.54
2020-03-30,323.0,379.286,23.0,17.857,1.5,1.762,0.107,0.083,74.54
2020-03-31,1138.0,495.714,42.0,22.143,5.285,2.302,0.195,0.103,74.54
2020-04-01,1119.0,611.714,39.0,25.857,5.197,2.841,0.181,0.12,74.54
2020-04-02,1208.0,722.714,84.0,35.286,5.61,3.357,0.39,0.164,74.54
2020-04-03,1012.0,805.571,35.0,38.143,4.7,3.741,0.163,0.177,74.54
2020-04-04,1304.0,922.286,86.0,47.714,6.056,4.283,0.399,0.222,74.54
2020-04-05,770.0,982.0,41.0,50.0,3.576,4.561,0.19,0.232,74.54
2020-04-06,1031.0,1083.143,78.0,57.857,4.788,5.031,0.362,0.269,74.54
2020-04-07,1873.0,1188.143,122.0,69.286,8.699,5.518,0.567,0.322,74.54
2020-04-08,2136.0,1333.429,133.0,82.714,9.92,6.193,0.618,0.384,74.54
2020-04-09,1922.0,1435.429,131.0,89.429,8.927,6.667,0.608,0.415,74.54
2020-04-10,1546.0,1511.714,107.0,99.714,7.18,7.021,0.497,0.463,74.54
2020-04-11,1089.0,1481.0,67.0,97.0,5.058,6.878,0.311,0.451,74.54
2020-04-12,1465.0,1580.286,99.0,105.286,6.804,7.339,0.46,0.489,74.54
2020-04-13,1238.0,1609.857,105.0,109.143,5.75,7.477,0.488,0.507,74.54
2020-04-14,1832.0,1604.0,204.0,120.857,8.509,7.45,0.947,0.561,74.54
2020-04-15,3058.0,1735.714,204.0,131.0,14.203,8.061,0.947,0.608,74.54
2020-04-16,2105.0,1761.857,188.0,139.143,9.776,8.183,0.873,0.646,74.54
2020-04-17,3257.0,2006.286,217.0,154.857,15.127,9.318,1.008,0.719,74.54
