time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-08,4.0,,,,0.59,,,,21.3
2020-03-09,0.0,,,,0.0,,,,21.3
2020-03-10,0.0,,,,0.0,,,,21.3
2020-03-11,3.0,,1.0,,0.442,,0.147,,26.85
2020-03-12,0.0,,0.0,,0.0,,0.0,,26.85
2020-03-13,16.0,3.286,0.0,,2.359,0.484,0.0,,50.93
2020-03-14,18.0,5.857,1.0,,2.654,0.864,0.147,,50.93
2020-03-15,10.0,6.714,0.0,,1.475,0.99,0.0,,50.93
2020-03-16,1.0,6.857,0.0,0.286,0.147,1.011,0.0,0.042,50.93
2020-03-17,15.0,9.0,0.0,0.286,2.212,1.327,0.0,0.042,56.48
2020-03-18,25.0,12.143,0.0,0.143,3.686,1.79,0.0,0.021,70.37
2020-03-19,2.0,12.429,1.0,0.286,0.295,1.833,0.147,0.042,70.37
2020-03-20,33.0,14.857,0.0,0.286,4.866,2.191,0.0,0.042,70.37
2020-03-21,36.0,17.429,0.0,0.143,5.308,2.57,0.0,0.021,73.15
2020-03-22,24.0,19.429,0.0,0.143,3.539,2.865,0.0,0.021,73.15
2020-03-23,14.0,21.286,0.0,0.143,2.064,3.139,0.0,0.021,73.15
2020-03-24,17.0,21.571,0.0,0.143,2.507,3.181,0.0,0.021,73.15
2020-03-25,24.0,21.429,0.0,0.143,3.539,3.16,0.0,0.021,73.15
2020-03-26,22.0,24.286,0.0,0.0,3.244,3.581,0.0,0.0,73.15
2020-03-27,29.0,23.714,0.0,0.0,4.276,3.497,0.0,0.0,73.15
2020-03-28,38.0,24.0,4.0,0.571,5.603,3.539,0.59,0.084,73.15
2020-03-29,15.0,22.714,1.0,0.714,2.212,3.349,0.147,0.105,73.15
2020-03-30,13.0,22.571,0.0,0.714,1.917,3.328,0.0,0.105,73.15
2020-03-31,40.0,25.857,0.0,0.714,5.898,3.813,0.0,0.105,73.15
