time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-06,1.0,,,,0.036,,,,0.0
2020-03-07,0.0,,,,0.0,,,,0.0
2020-03-08,1.0,,,,0.036,,,,0.0
2020-03-09,0.0,,,,0.0,,,,0.0
2020-03-10,0.0,,,,0.0,,,,0.0
2020-03-11,0.0,0.286,,,0.0,0.01,,,0.0
2020-03-12,0.0,0.286,,,0.0,0.01,,,0.0
2020-03-13,0.0,0.143,,,0.0,0.005,,,2.78
2020-03-14,0.0,0.143,,,0.0,0.005,,,2.78
2020-03-15,0.0,0.0,,,0.0,0.0,,,2.78
2020-03-16,2.0,0.286,,,0.072,0.01,,,2.78
2020-03-17,6.0,1.143,,,0.215,0.041,,,2.78
2020-03-18,0.0,1.143,,,0.0,0.041,,,57.41
2020-03-19,3.0,1.571,,,0.107,0.056,,,57.41
2020-03-20,7.0,2.571,,,0.251,0.092,,,57.41
2020-03-21,7.0,3.571,,,0.251,0.128,,,57.41
2020-03-22,13.0,5.429,,,0.466,0.194,,,57.41
2020-03-23,16.0,7.429,,,0.573,0.266,,,57.41
2020-03-24,10.0,8.0,,,0.358,0.287,,,57.41
2020-03-25,9.0,9.286,1.0,,0.322,0.333,0.036,,57.41
2020-03-26,0.0,8.857,0.0,,0.0,0.317,0.0,,57.41
2020-03-27,16.0,10.143,1.0,,0.573,0.363,0.036,,57.41
2020-03-28,0.0,9.143,0.0,,0.0,0.328,0.0,,57.41
2020-03-29,48.0,14.143,4.0,,1.72,0.507,0.143,,57.41
2020-03-30,0.0,11.857,0.0,0.857,0.0,0.425,0.0,0.031,57.41
2020-03-31,54.0,18.143,0.0,0.857,1.934,0.65,0.0,0.031,57.41
2020-04-01,40.0,22.571,0.0,0.714,1.433,0.809,0.0,0.026,57.41
2020-04-02,73.0,33.0,1.0,0.857,2.615,1.182,0.036,0.031,57.41
2020-04-03,203.0,59.714,1.0,0.857,7.272,2.139,0.036,0.031,57.41
2020-04-04,46.0,66.286,1.0,1.0,1.648,2.375,0.036,0.036,68.52
2020-04-05,95.0,73.0,0.0,0.429,3.403,2.615,0.0,0.015,68.52
2020-04-06,8.0,74.143,0.0,0.429,0.287,2.656,0.0,0.015,68.52
2020-04-07,0.0,66.429,0.0,0.429,0.0,2.38,0.0,0.015,68.52
2020-04-08,72.0,71.0,1.0,0.571,2.579,2.543,0.036,0.02,68.52
2020-04-09,0.0,60.571,0.0,0.429,0.0,2.17,0.0,0.015,68.52
2020-04-10,90.0,44.429,2.0,0.571,3.224,1.592,0.072,0.02,68.52
2020-04-11,0.0,37.857,0.0,0.429,0.0,1.356,0.0,0.015,68.52
2020-04-12,0.0,24.286,0.0,0.429,0.0,0.87,0.0,0.015,68.52
2020-04-13,0.0,23.143,0.0,0.429,0.0,0.829,0.0,0.015,68.52
2020-04-14,28.0,27.143,2.0,0.714,1.003,0.972,0.072,0.026,68.52
2020-04-15,0.0,16.857,3.0,1.0,0.0,0.604,0.107,0.036,68.52
2020-04-16,148.0,38.0,5.0,1.714,5.302,1.361,0.179,0.061,68.52
2020-04-17,0.0,25.143,0.0,1.429,0.0,0.901,0.0,0.051,68.52
2020-04-18,21.0,28.143,0.0,1.429,0.752,1.008,0.0,0.051,71.3
2020-04-19,0.0,28.143,20.0,4.286,0.0,1.008,0.716,0.154,71.3
2020-04-20,146.0,49.0,0.0,4.286,5.23,1.755,0.0,0.154,71.3
2020-04-21,0.0,45.0,1.0,4.143,0.0,1.612,0.036,0.148,71.3
2020-04-22,0.0,45.0,0.0,3.714,0.0,1.612,0.0,0.133,71.3
2020-04-23,171.0,48.286,0.0,3.0,6.126,1.73,0.0,0.107,71.3
2020-04-24,96.0,62.0,0.0,3.0,3.439,2.221,0.0,0.107,71.3
2020-04-25,88.0,71.571,10.0,4.429,3.152,2.564,0.358,0.159,71.3
2020-04-26,103.0,86.286,3.0,2.0,3.69,3.091,0.107,0.072,71.3
2020-04-27,84.0,77.429,2.0,2.286,3.009,2.774,0.072,0.082,71.3
2020-04-28,0.0,77.429,0.0,2.143,0.0,2.774,0.0,0.077,71.3
2020-04-29,127.0,95.571,3.0,2.571,4.55,3.424,0.107,0.092,71.3
2020-04-30,0.0,71.143,0.0,2.571,0.0,2.549,0.0,0.092,71.3
2020-05-01,0.0,57.429,0.0,2.571,0.0,2.057,0.0,0.092,63.89
2020-05-02,245.0,79.857,3.0,1.571,8.777,2.861,0.107,0.056,63.89
2020-05-03,0.0,65.143,0.0,1.143,0.0,2.334,0.0,0.041,63.89
2020-05-04,27.0,57.0,0.0,0.857,0.967,2.042,0.0,0.031,63.89
2020-05-05,0.0,57.0,0.0,0.857,0.0,2.042,0.0,0.031,63.89
2020-05-06,161.0,61.857,44.0,6.714,5.768,2.216,1.576,0.241,63.89
2020-05-07,2.0,62.143,0.0,6.714,0.072,2.226,0.0,0.241,63.89
2020-05-08,0.0,62.143,0.0,6.714,0.0,2.226,0.0,0.241,63.89
2020-05-09,7.0,28.143,0.0,6.286,0.251,1.008,0.0,0.225,63.89
2020-05-10,305.0,71.714,6.0,7.143,10.926,2.569,0.215,0.256,63.89
2020-05-11,110.0,83.571,11.0,8.714,3.941,2.994,0.394,0.312,63.89
2020-05-12,0.0,83.571,0.0,8.714,0.0,2.994,0.0,0.312,63.89
2020-05-13,111.0,76.429,11.0,4.0,3.976,2.738,0.394,0.143,63.89
