time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-23,2.0,,,,0.052,,,,2.78
2020-01-24,1.0,,,,0.026,,,,2.78
2020-01-25,0.0,,,,0.0,,,,2.78
2020-01-26,0.0,,,,0.0,,,,2.78
2020-01-27,0.0,,,,0.0,,,,2.78
2020-01-28,1.0,0.571,,,0.026,0.015,,,2.78
2020-01-29,0.0,0.571,,,0.0,0.015,,,2.78
2020-01-30,0.0,0.286,,,0.0,0.007,,,2.78
2020-01-31,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-01,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-02,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-03,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-04,1.0,0.143,,,0.026,0.004,,,2.78
2020-02-05,1.0,0.286,,,0.026,0.007,,,2.78
2020-02-06,0.0,0.286,,,0.0,0.007,,,2.78
2020-02-07,2.0,0.571,,,0.052,0.015,,,2.78
2020-02-08,0.0,0.571,,,0.0,0.015,,,2.78
2020-02-09,0.0,0.571,,,0.0,0.015,,,2.78
2020-02-10,1.0,0.714,,,0.026,0.019,,,2.78
2020-02-11,0.0,0.571,,,0.0,0.015,,,2.78
2020-02-12,0.0,0.429,,,0.0,0.011,,,2.78
2020-02-13,0.0,0.429,,,0.0,0.011,,,2.78
2020-02-14,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-15,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-16,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-17,1.0,0.143,,,0.026,0.004,,,2.78
2020-02-18,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-19,0.0,0.143,,,0.0,0.004,,,2.78
2020-02-20,1.0,0.286,,,0.026,0.007,,,2.78
2020-02-21,2.0,0.571,,,0.052,0.015,,,2.78
2020-02-22,1.0,0.714,,,0.026,0.019,,,2.78
2020-02-23,1.0,0.857,,,0.026,0.022,,,2.78
2020-02-24,1.0,0.857,,,0.026,0.022,,,2.78
2020-02-25,3.0,1.286,,,0.078,0.033,,,2.78
2020-02-26,1.0,1.429,,,0.026,0.037,,,2.78
2020-02-27,2.0,1.571,,,0.052,0.041,,,2.78
2020-02-28,6.0,2.143,,,0.156,0.056,,,2.78
2020-02-29,5.0,2.714,,,0.13,0.071,,,2.78
2020-03-01,5.0,3.286,,,0.13,0.085,,,2.78
2020-03-02,7.0,4.143,,,0.182,0.108,,,2.78
2020-03-03,6.0,4.571,,,0.156,0.119,,,2.78
2020-03-04,8.0,5.571,,,0.208,0.145,,,2.78
2020-03-05,12.0,7.0,,,0.312,0.182,,,2.78
2020-03-06,19.0,8.857,,,0.494,0.23,,,2.78
2020-03-07,8.0,9.286,,,0.208,0.241,,,2.78
2020-03-08,22.0,11.714,,,0.572,0.305,,,2.78
2020-03-09,24.0,14.143,1.0,,0.624,0.368,0.026,,2.78
2020-03-10,21.0,16.286,0.0,,0.546,0.424,0.0,,2.78
2020-03-11,63.0,24.143,0.0,,1.638,0.628,0.0,,13.89
2020-03-12,61.0,31.143,0.0,,1.586,0.81,0.0,,22.22
2020-03-13,97.0,42.286,0.0,,2.522,1.1,0.0,,22.22
2020-03-14,67.0,50.714,0.0,0.143,1.742,1.319,0.0,0.004,24.07
2020-03-15,96.0,61.286,0.0,0.143,2.496,1.594,0.0,0.004,24.07
2020-03-16,151.0,79.429,3.0,0.429,3.927,2.066,0.078,0.011,43.52
2020-03-17,154.0,98.429,2.0,0.714,4.005,2.56,0.052,0.019,43.52
2020-03-18,243.0,124.143,5.0,1.429,6.319,3.228,0.13,0.037,62.96
2020-03-19,252.0,151.429,1.0,1.571,6.553,3.938,0.026,0.041,62.96
2020-03-20,343.0,186.571,3.0,2.0,8.92,4.852,0.078,0.052,73.15
2020-03-21,503.0,248.857,3.0,2.429,13.08,6.471,0.078,0.063,73.15
2020-03-22,457.0,300.429,4.0,3.0,11.884,7.813,0.104,0.078,73.15
2020-03-23,646.0,371.143,7.0,3.571,16.799,9.652,0.182,0.093,74.54
2020-03-24,699.0,449.0,5.0,4.0,18.177,11.676,0.13,0.104,74.54
2020-03-25,573.0,496.143,13.0,5.143,14.901,12.902,0.338,0.134,74.54
2020-03-26,941.0,594.571,12.0,6.714,24.471,15.462,0.312,0.175,74.54
2020-03-27,869.0,669.714,7.0,7.286,22.598,17.416,0.182,0.189,74.54
2020-03-28,930.0,730.714,17.0,9.286,24.185,19.002,0.442,0.241,74.54
2020-03-29,936.0,799.143,15.0,10.857,24.341,20.782,0.39,0.282,74.54
2020-03-30,1232.0,882.857,19.0,12.571,32.038,22.959,0.494,0.327,74.54
2020-03-31,1233.0,959.143,35.0,16.857,32.064,24.942,0.91,0.438,74.54
2020-04-01,1312.0,1064.714,23.0,18.286,34.118,27.688,0.598,0.476,76.39
2020-04-02,1719.0,1175.857,49.0,23.571,44.702,30.578,1.274,0.613,76.39
2020-04-03,1332.0,1242.0,53.0,30.143,34.638,32.298,1.378,0.784,76.39
2020-04-04,1336.0,1300.0,83.0,39.571,34.743,33.806,2.158,1.029,74.54
2020-04-05,1189.0,1336.143,75.0,48.143,30.92,34.746,1.95,1.252,74.54
2020-04-06,1501.0,1374.571,68.0,55.143,39.033,35.746,1.768,1.434,74.54
2020-04-07,1388.0,1396.714,78.0,61.286,36.095,36.321,2.028,1.594,74.54
2020-04-08,1236.0,1385.857,89.0,70.714,32.142,36.039,2.314,1.839,74.54
2020-04-09,1380.0,1337.429,103.0,78.429,35.887,34.78,2.679,2.04,74.54
2020-04-10,1144.0,1310.571,94.0,84.286,29.75,34.081,2.444,2.192,74.54
2020-04-11,1376.0,1316.286,119.0,89.429,35.783,34.23,3.095,2.326,74.54
2020-04-12,1342.0,1338.143,109.0,94.286,34.899,34.798,2.835,2.452,74.54
2020-04-13,1797.0,1380.429,130.0,103.143,46.731,35.898,3.381,2.682,74.54
2020-04-14,1689.0,1423.429,136.0,111.429,43.922,37.016,3.537,2.898,74.54
2020-04-15,1747.0,1496.429,154.0,120.714,45.431,38.914,4.005,3.139,74.54
2020-04-16,1766.0,1551.571,136.0,125.429,45.925,40.348,3.537,3.262,74.54
2020-04-17,2126.0,1691.857,147.0,133.0,55.286,43.997,3.823,3.459,74.54
2020-04-18,1526.0,1713.286,139.0,135.857,39.683,44.554,3.615,3.533,74.54
2020-04-19,1700.0,1764.429,170.0,144.571,44.208,45.884,4.421,3.76,74.54
2020-04-20,1712.0,1752.286,144.0,146.571,44.52,45.568,3.745,3.812,74.54
2020-04-21,1590.0,1738.143,161.0,150.143,41.348,45.2,4.187,3.904,74.54
2020-04-22,1846.0,1752.286,164.0,151.571,48.005,45.568,4.265,3.942,74.54
2020-04-23,1809.0,1758.429,181.0,158.0,47.043,45.728,4.707,4.109,74.54
2020-04-24,1640.0,1689.0,174.0,161.857,42.648,43.922,4.525,4.209,74.54
2020-04-25,1582.0,1697.0,181.0,167.857,41.14,44.13,4.707,4.365,74.54
2020-04-26,1211.0,1627.143,137.0,163.143,31.492,42.314,3.563,4.243,74.54
2020-04-27,1656.0,1619.143,179.0,168.143,43.064,42.106,4.655,4.373,74.54
2020-04-28,1523.0,1609.571,207.0,174.714,39.605,41.857,5.383,4.543,74.54
2020-04-29,1689.0,1587.143,208.0,181.0,43.922,41.273,5.409,4.707,74.54
2020-04-30,1639.0,1562.857,212.0,185.429,42.622,40.642,5.513,4.822,74.54
2020-05-01,1811.0,1587.286,181.0,186.429,47.095,41.277,4.707,4.848,74.54
2020-05-02,1356.0,1555.0,176.0,185.714,35.263,40.438,4.577,4.829,74.54
2020-05-03,1259.0,1561.857,146.0,187.0,32.74,40.616,3.797,4.863,74.54
2020-05-04,1376.0,1521.857,206.0,190.857,35.783,39.576,5.357,4.963,74.54
2020-05-05,1395.0,1503.571,172.0,185.857,36.277,39.1,4.473,4.833,74.54
2020-05-06,1516.0,1478.857,172.0,180.714,39.423,38.457,4.473,4.699,74.54
2020-05-07,1271.0,1426.286,148.0,171.571,33.052,37.09,3.849,4.462,74.54
2020-05-08,1200.0,1339.0,158.0,168.286,31.206,34.821,4.109,4.376,74.54
2020-05-09,1146.0,1309.0,162.0,166.286,29.802,34.04,4.213,4.324,74.54
2020-05-10,1038.0,1277.429,128.0,163.714,26.993,33.219,3.329,4.257,74.54
2020-05-11,1024.0,1227.143,132.0,153.143,26.629,31.912,3.433,3.982,72.69
2020-05-12,1117.0,1187.429,143.0,149.0,29.047,30.879,3.719,3.875,72.69
2020-05-13,1227.0,1146.143,112.0,140.429,31.908,29.805,2.913,3.652,72.69
2020-05-14,1110.0,1123.143,122.0,136.714,28.865,29.207,3.173,3.555,72.69
2020-05-15,1271.0,1133.286,124.0,131.857,33.052,29.471,3.225,3.429,72.69
2020-05-16,1155.0,1134.571,115.0,125.143,30.036,29.504,2.991,3.254,72.69
2020-05-17,1208.0,1158.857,90.0,119.714,31.414,30.136,2.34,3.113,72.69
2020-05-18,1086.0,1167.714,95.0,114.429,28.241,30.366,2.47,2.976,72.69
2020-05-19,1002.0,1151.286,77.0,105.0,26.057,29.939,2.002,2.731,72.69
2020-05-20,1256.0,1155.429,118.0,105.857,32.662,30.047,3.069,2.753,72.69
2020-05-21,1115.0,1156.143,101.0,102.857,28.995,30.065,2.626,2.675,72.69
2020-05-22,1090.0,1130.286,103.0,99.857,28.345,29.393,2.679,2.597,72.69
2020-05-23,907.0,1094.857,93.0,96.714,23.586,28.472,2.418,2.515,72.69
2020-05-24,953.0,1058.429,89.0,96.571,24.783,27.524,2.314,2.511,70.83
2020-05-25,964.0,1041.0,94.0,96.429,25.069,27.071,2.444,2.508,70.83
2020-05-26,767.0,1007.429,88.0,98.0,19.946,26.198,2.288,2.548,70.83
2020-05-27,885.0,954.429,97.0,95.0,23.014,24.82,2.522,2.47,70.83
2020-05-28,787.0,907.571,117.0,97.286,20.466,23.601,3.043,2.53,70.83
2020-05-29,1069.0,904.571,100.0,96.857,27.799,23.523,2.6,2.519,70.83
2020-05-30,762.0,883.857,58.0,91.857,19.816,22.985,1.508,2.389,70.83
2020-05-31,730.0,852.0,56.0,87.143,18.984,22.156,1.456,2.266,70.83
2020-06-01,796.0,828.0,47.0,80.429,20.7,21.532,1.222,2.092,70.83
2020-06-02,627.0,808.0,51.0,75.143,16.305,21.012,1.326,1.954,70.83
2020-06-03,682.0,779.0,56.0,69.286,17.735,20.258,1.456,1.802,70.83
2020-06-04,582.0,749.714,65.0,61.857,15.135,19.496,1.69,1.609,70.83
2020-06-05,527.0,672.286,45.0,54.0,13.705,17.483,1.17,1.404,70.83
2020-06-06,524.0,638.286,60.0,54.286,13.627,16.599,1.56,1.412,70.83
2020-06-07,412.0,592.857,41.0,52.143,10.714,15.417,1.066,1.356,70.83
2020-06-08,451.0,543.571,46.0,52.0,11.728,14.136,1.196,1.352,70.83
2020-06-09,434.0,516.0,36.0,49.857,11.286,13.419,0.936,1.297,70.83
2020-06-10,490.0,488.571,30.0,46.143,12.742,12.705,0.78,1.2,70.83
2020-06-11,412.0,464.286,32.0,41.429,10.714,12.074,0.832,1.077,70.83
2020-06-12,461.0,454.857,30.0,39.286,11.988,11.829,0.78,1.022,70.83
2020-06-13,341.0,428.714,28.0,34.714,8.868,11.149,0.728,0.903,70.83
2020-06-14,302.0,413.0,23.0,32.143,7.853,10.74,0.598,0.836,70.83
2020-06-15,377.0,402.429,27.0,29.429,9.804,10.465,0.702,0.765,70.83
2020-06-16,359.0,391.714,19.0,27.0,9.336,10.186,0.494,0.702,70.83
2020-06-17,388.0,377.143,21.0,25.714,10.09,9.808,0.546,0.669,70.83
2020-06-18,406.0,376.286,10.0,22.571,10.558,9.785,0.26,0.587,70.83
2020-06-19,388.0,365.857,24.0,21.714,10.09,9.514,0.624,0.565,70.83
2020-06-20,315.0,362.143,35.0,22.714,8.192,9.417,0.91,0.591,70.83
2020-06-21,308.0,363.0,21.0,22.429,8.01,9.44,0.546,0.583,70.83
2020-06-22,355.0,359.857,14.0,20.571,9.232,9.358,0.364,0.535,68.98
2020-06-23,318.0,354.0,24.0,21.286,8.27,9.206,0.624,0.554,68.98
2020-06-24,320.0,344.286,28.0,22.286,8.322,8.953,0.728,0.58,68.98
2020-06-25,294.0,328.286,20.0,23.714,7.645,8.537,0.52,0.617,68.98
2020-06-26,327.0,319.571,7.0,21.286,8.504,8.31,0.182,0.554,68.98
2020-06-27,402.0,332.0,12.0,18.0,10.454,8.634,0.312,0.468,68.98
2020-06-28,313.0,332.714,10.0,16.429,8.14,8.652,0.26,0.427,68.98
2020-06-29,296.0,324.286,17.0,16.857,7.697,8.433,0.442,0.438,68.98
2020-06-30,334.0,326.571,15.0,15.571,8.686,8.492,0.39,0.405,68.98
2020-07-01,222.0,312.571,10.0,13.0,5.773,8.128,0.26,0.338,68.98
2020-07-02,349.0,320.429,17.0,12.571,9.076,8.333,0.442,0.327,68.98
2020-07-03,318.0,319.143,6.0,12.429,8.27,8.299,0.156,0.323,68.98
2020-07-04,228.0,294.286,9.0,12.0,5.929,7.653,0.234,0.312,68.98
2020-07-05,157.0,272.0,5.0,11.286,4.083,7.073,0.13,0.293,68.98
2020-07-06,352.0,280.0,13.0,10.714,9.154,7.281,0.338,0.279,68.98
2020-07-07,313.0,277.0,8.0,9.714,8.14,7.203,0.208,0.253,68.98
2020-07-08,321.0,291.143,17.0,10.714,8.348,7.571,0.442,0.279,68.98
2020-07-09,334.0,289.0,11.0,9.857,8.686,7.515,0.286,0.256,67.13
2020-07-10,348.0,293.286,11.0,10.571,9.05,7.627,0.286,0.275,67.13
2020-07-11,240.0,295.0,9.0,10.571,6.241,7.671,0.234,0.275,67.13
2020-07-12,214.0,303.143,4.0,10.429,5.565,7.883,0.104,0.271,67.13
2020-07-13,542.0,330.286,8.0,9.714,14.095,8.589,0.208,0.253,67.13
2020-07-14,426.0,346.429,4.0,9.143,11.078,9.009,0.104,0.238,67.13
2020-07-15,406.0,358.571,14.0,8.714,10.558,9.325,0.364,0.227,67.13
2020-07-16,482.0,379.714,11.0,8.714,12.534,9.874,0.286,0.227,67.13
2020-07-17,529.0,405.571,13.0,9.0,13.757,10.547,0.338,0.234,67.13
2020-07-18,384.0,426.143,4.0,8.286,9.986,11.082,0.104,0.215,67.13
2020-07-19,253.0,431.714,4.0,8.286,6.579,11.227,0.104,0.215,67.13
2020-07-20,795.0,467.857,4.0,7.714,20.674,12.167,0.104,0.201,67.13
2020-07-21,460.0,472.714,5.0,7.857,11.962,12.293,0.13,0.204,67.13
2020-07-22,382.0,469.286,5.0,6.571,9.934,12.204,0.13,0.171,67.13
2020-07-23,736.0,505.571,8.0,6.143,19.14,13.147,0.208,0.16,67.13
2020-07-24,437.0,492.429,6.0,5.143,11.364,12.806,0.156,0.134,67.13
2020-07-25,336.0,485.571,3.0,5.0,8.738,12.627,0.078,0.13,67.13
2020-07-26,307.0,493.286,4.0,5.0,7.983,12.828,0.104,0.13,67.13
2020-07-27,631.0,469.857,13.0,6.286,16.409,12.219,0.338,0.163,67.13
2020-07-28,377.0,458.0,9.0,6.857,9.804,11.91,0.234,0.178,67.13
2020-07-29,501.0,475.0,5.0,6.857,13.028,12.352,0.13,0.178,67.13
2020-07-30,446.0,433.571,13.0,7.571,11.598,11.275,0.338,0.197,67.13
2020-07-31,452.0,435.714,6.0,7.571,11.754,11.331,0.156,0.197,67.13
2020-08-01,254.0,424.0,4.0,7.714,6.605,11.026,0.104,0.201,67.13
2020-08-02,184.0,406.429,3.0,7.571,4.785,10.569,0.078,0.197,67.13
2020-08-03,267.0,354.429,0.0,5.714,6.943,9.217,0.0,0.149,67.13
2020-08-04,689.0,399.0,9.0,5.714,17.917,10.376,0.234,0.149,67.13
2020-08-05,358.0,378.571,5.0,5.714,9.31,9.845,0.13,0.149,67.13
2020-08-06,333.0,362.429,7.0,4.857,8.66,9.425,0.182,0.126,67.13
2020-08-07,442.0,361.0,5.0,4.714,11.494,9.388,0.13,0.123,67.13
2020-08-08,239.0,358.857,3.0,4.571,6.215,9.332,0.078,0.119,67.13
2020-08-09,223.0,364.429,4.0,4.714,5.799,9.477,0.104,0.123,67.13
2020-08-10,583.0,409.571,7.0,5.714,15.161,10.651,0.182,0.149,67.13
2020-08-11,362.0,362.857,6.0,5.286,9.414,9.436,0.156,0.137,67.13
