male,female,total
1020.925,972.207,1993.132
1011.765,966.024,1977.789
1014.23,968.771,1983.001
1017.281,971.038,1988.319
1208.233,1155.236,2363.469
1389.541,1343.606,2733.147
1315.956,1310.409,2626.365
1321.892,1330.404,2652.296
1224.232,1239.077,2463.309
1189.671,1193.687,2383.358
1215.983,1207.497,2423.48
1380.774,1378.179,2758.953
1275.239,1287.326,2562.565
1047.397,1102.782,2150.179
867.426,925.427,1792.853
568.286,657.537,1225.823
355.943,458.654,814.597
205.33,313.372,518.702
83.6,169.081,252.681
17.0,52.593,69.593
1.474,7.072,8.546
