time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-15,1.0,,,,0.179,,,,11.11
2020-03-16,0.0,,,,0.0,,,,11.11
2020-03-17,0.0,,,,0.0,,,,11.11
2020-03-18,0.0,,,,0.0,,,,11.11
2020-03-19,0.0,,,,0.0,,,,11.11
2020-03-20,2.0,0.429,,,0.358,0.077,,,11.11
2020-03-21,0.0,0.429,,,0.0,0.077,,,11.11
2020-03-22,0.0,0.286,,,0.0,0.051,,,11.11
2020-03-23,0.0,0.286,,,0.0,0.051,,,11.11
2020-03-24,0.0,0.286,,,0.0,0.051,,,11.11
2020-03-25,0.0,0.286,,,0.0,0.051,,,11.11
2020-03-26,0.0,0.286,,,0.0,0.051,,,68.52
2020-03-27,0.0,0.0,,,0.0,0.0,,,68.52
2020-03-28,0.0,0.0,,,0.0,0.0,,,68.52
2020-03-29,0.0,0.0,,,0.0,0.0,,,68.52
2020-03-30,0.0,0.0,,,0.0,0.0,,,68.52
2020-03-31,0.0,0.0,,,0.0,0.0,,,68.52
2020-04-01,0.0,0.0,,,0.0,0.0,,,68.52
2020-04-02,0.0,0.0,,,0.0,0.0,,,68.52
2020-04-03,5.0,0.714,,,0.896,0.128,,,68.52
2020-04-04,0.0,0.714,,,0.0,0.128,,,68.52
2020-04-05,0.0,0.714,,,0.0,0.128,,,68.52
2020-04-06,0.0,0.714,,,0.0,0.128,,,68.52
2020-04-07,0.0,0.714,,,0.0,0.128,,,68.52
2020-04-08,0.0,0.714,,,0.0,0.128,,,68.52
2020-04-09,0.0,0.714,,,0.0,0.128,,,68.52
2020-04-10,0.0,0.0,,,0.0,0.0,,,68.52
2020-04-11,0.0,0.0,,,0.0,0.0,,,68.52
2020-04-12,0.0,0.0,,,0.0,0.0,,,68.52
2020-04-13,3.0,0.429,,,0.538,0.077,,,68.52
2020-04-14,0.0,0.429,,,0.0,0.077,,,68.52
2020-04-15,1.0,0.571,,,0.179,0.102,,,68.52
2020-04-16,0.0,0.571,,,0.0,0.102,,,68.52
2020-04-17,0.0,0.571,,,0.0,0.102,,,68.52
2020-04-18,0.0,0.571,,,0.0,0.102,,,68.52
2020-04-19,0.0,0.571,,,0.0,0.102,,,68.52
2020-04-20,0.0,0.143,,,0.0,0.026,,,68.52
2020-04-21,2.0,0.429,,,0.358,0.077,,,68.52
2020-04-22,0.0,0.286,,,0.0,0.051,,,68.52
2020-04-23,2.0,0.571,,,0.358,0.102,,,68.52
2020-04-24,0.0,0.571,,,0.0,0.102,,,68.52
