time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-19,1.0,,,,0.056,,,,27.78
2020-03-20,0.0,,,,0.0,,,,27.78
2020-03-21,0.0,,,,0.0,,,,27.78
2020-03-22,0.0,,,,0.0,,,,27.78
2020-03-23,0.0,,,,0.0,,,,27.78
2020-03-24,2.0,0.429,,,0.113,0.024,,,27.78
2020-03-25,0.0,0.429,,,0.0,0.024,,,27.78
2020-03-26,0.0,0.286,,,0.0,0.016,,,27.78
2020-03-27,0.0,0.286,,,0.0,0.016,,,27.78
2020-03-28,0.0,0.286,,,0.0,0.016,,,27.78
2020-03-29,0.0,0.286,,,0.0,0.016,,,27.78
2020-03-30,2.0,0.571,,,0.113,0.032,,,27.78
2020-03-31,2.0,0.571,,,0.113,0.032,,,27.78
2020-04-01,0.0,0.571,,,0.0,0.032,,,27.78
2020-04-02,1.0,0.714,,,0.056,0.04,,,33.33
2020-04-03,0.0,0.714,,,0.0,0.04,,,33.33
2020-04-04,1.0,0.857,,,0.056,0.048,,,33.33
2020-04-05,0.0,0.857,,,0.0,0.048,,,33.33
2020-04-06,0.0,0.571,,,0.0,0.032,,,33.33
2020-04-07,1.0,0.429,,,0.056,0.024,,,33.33
2020-04-08,0.0,0.429,,,0.0,0.024,,,33.33
2020-04-09,1.0,0.429,,,0.056,0.024,,,33.33
2020-04-10,0.0,0.429,,,0.0,0.024,,,33.33
2020-04-11,0.0,0.286,,,0.0,0.016,,,33.33
2020-04-12,7.0,1.286,,,0.395,0.073,,,33.33
2020-04-13,5.0,2.0,,,0.282,0.113,,,88.89
2020-04-14,0.0,1.857,,,0.0,0.105,,,88.89
2020-04-15,0.0,1.857,,,0.0,0.105,,,88.89
2020-04-16,4.0,2.286,,,0.226,0.129,,,88.89
2020-04-17,0.0,2.286,,,0.0,0.129,,,88.89
2020-04-18,6.0,3.143,,,0.339,0.177,,,88.89
2020-04-19,0.0,2.143,,,0.0,0.121,,,88.89
2020-04-20,0.0,1.429,,,0.0,0.081,,,88.89
2020-04-21,0.0,1.429,,,0.0,0.081,,,88.89
2020-04-22,0.0,1.429,,,0.0,0.081,,,88.89
2020-04-23,0.0,0.857,,,0.0,0.048,,,88.89
2020-04-24,7.0,1.857,,,0.395,0.105,,,88.89
2020-04-25,6.0,1.857,,,0.339,0.105,,,88.89
2020-04-26,0.0,1.857,,,0.0,0.105,,,88.89
2020-04-27,0.0,1.857,,,0.0,0.105,,,88.89
2020-04-28,6.0,2.714,2.0,,0.339,0.153,0.113,,88.89
2020-04-29,0.0,2.714,0.0,,0.0,0.153,0.0,,88.89
2020-04-30,21.0,5.714,3.0,,1.185,0.322,0.169,,88.89
