time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-23,2.0,,,,0.102,,,,0.0
2020-02-24,0.0,,,,0.0,,,,0.0
2020-02-25,0.0,,,,0.0,,,,0.0
2020-02-26,0.0,,,,0.0,,,,0.0
2020-02-27,0.0,,,,0.0,,,,0.0
2020-02-28,0.0,0.286,,,0.0,0.015,,,0.0
2020-02-29,0.0,0.286,,,0.0,0.015,,,0.0
2020-03-01,7.0,1.0,,,0.357,0.051,,,0.0
2020-03-02,0.0,1.0,,,0.0,0.051,,,0.0
2020-03-03,1.0,1.143,,,0.051,0.058,,,0.0
2020-03-04,0.0,1.143,,,0.0,0.058,,,0.0
2020-03-05,3.0,1.571,,,0.153,0.08,,,0.0
2020-03-06,0.0,1.571,,,0.0,0.08,,,0.0
2020-03-07,0.0,1.571,,,0.0,0.08,,,0.0
2020-03-08,7.0,1.571,,,0.357,0.08,,,0.0
2020-03-09,0.0,1.571,,,0.0,0.08,,,0.0
2020-03-10,5.0,2.143,,,0.255,0.109,,,0.0
2020-03-11,10.0,3.571,,,0.51,0.182,,,0.0
2020-03-12,0.0,3.143,,,0.0,0.16,,,0.0
2020-03-13,20.0,6.0,,,1.02,0.306,,,0.0
2020-03-14,33.0,10.714,,,1.683,0.547,,,11.11
2020-03-15,13.0,11.571,,,0.663,0.59,,,22.22
2020-03-16,81.0,23.143,,,4.132,1.181,,,47.22
2020-03-17,46.0,29.0,,,2.346,1.479,,,47.22
2020-03-18,37.0,32.857,,,1.887,1.676,,,55.56
2020-03-19,0.0,32.857,,,0.0,1.676,,,55.56
2020-03-20,196.0,58.0,,,9.998,2.959,,,55.56
2020-03-21,131.0,72.0,,,6.682,3.673,,,51.85
2020-03-22,95.0,83.714,1.0,,4.846,4.27,0.051,,51.85
2020-03-23,114.0,88.429,1.0,,5.815,4.511,0.051,,51.85
2020-03-24,176.0,107.0,0.0,,8.978,5.458,0.0,,51.85
2020-03-25,220.0,133.143,1.0,,11.222,6.792,0.051,,73.15
2020-03-26,164.0,156.571,1.0,,8.366,7.987,0.051,,73.15
2020-03-27,304.0,172.0,1.0,0.714,15.507,8.774,0.051,0.036,73.15
2020-03-28,350.0,203.286,1.0,0.857,17.854,10.37,0.051,0.044,73.15
2020-03-29,230.0,222.571,1.0,0.857,11.732,11.354,0.051,0.044,73.15
2020-03-30,310.0,250.571,1.0,0.857,15.813,12.782,0.051,0.044,73.15
2020-03-31,289.0,266.714,4.0,1.429,14.742,13.605,0.204,0.073,73.15
2020-04-01,293.0,277.143,4.0,1.857,14.946,14.137,0.204,0.095,73.15
2020-04-02,373.0,307.0,2.0,2.0,19.027,15.66,0.102,0.102,73.15
2020-04-03,333.0,311.143,4.0,2.429,16.987,15.872,0.204,0.124,73.15
2020-04-04,512.0,334.286,5.0,3.0,26.117,17.052,0.255,0.153,73.15
2020-04-05,310.0,345.714,7.0,3.857,15.813,17.635,0.357,0.197,73.15
2020-04-06,344.0,350.571,3.0,4.143,17.548,17.883,0.153,0.211,73.15
2020-04-07,301.0,352.286,6.0,4.429,15.354,17.97,0.306,0.226,73.15
2020-04-08,430.0,371.857,5.0,4.571,21.935,18.969,0.255,0.233,73.15
2020-04-09,426.0,379.429,9.0,5.571,21.731,19.355,0.459,0.284,73.15
2020-04-10,529.0,407.429,8.0,6.143,26.985,20.783,0.408,0.313,73.15
2020-04-11,671.0,430.143,8.0,6.571,34.228,21.942,0.408,0.335,73.15
2020-04-12,286.0,426.714,7.0,6.571,14.589,21.767,0.357,0.335,73.15
2020-04-13,312.0,422.143,2.0,6.429,15.915,21.534,0.102,0.328,73.15
2020-04-14,392.0,435.143,10.0,7.0,19.996,22.197,0.51,0.357,73.15
2020-04-15,356.0,424.571,2.0,6.571,18.16,21.658,0.102,0.335,73.15
2020-04-16,534.0,440.0,11.0,6.857,27.24,22.445,0.561,0.35,73.15
2020-04-17,445.0,428.0,11.0,7.286,22.7,21.833,0.561,0.372,73.15
2020-04-18,907.0,461.714,10.0,7.571,46.267,23.552,0.51,0.386,73.15
2020-04-19,358.0,472.0,7.0,7.571,18.262,24.077,0.357,0.386,73.15
2020-04-20,419.0,487.286,6.0,8.143,21.373,24.857,0.306,0.415,73.15
2020-04-21,325.0,477.714,8.0,7.857,16.578,24.369,0.408,0.401,73.15
2020-04-22,464.0,493.143,13.0,9.429,23.669,25.156,0.663,0.481,73.15
2020-04-23,516.0,490.571,8.0,9.0,26.322,25.024,0.408,0.459,73.15
2020-04-24,494.0,497.571,6.0,8.286,25.199,25.381,0.306,0.423,73.15
2020-04-25,1363.0,562.714,7.0,7.857,69.528,28.704,0.357,0.401,73.15
2020-04-26,473.0,579.143,8.0,8.0,24.128,29.542,0.408,0.408,73.15
2020-04-27,482.0,588.143,9.0,8.429,24.587,30.002,0.459,0.43,73.15
2020-04-28,552.0,620.571,9.0,8.571,28.158,31.656,0.459,0.437,73.15
2020-04-29,520.0,628.571,9.0,8.0,26.526,32.064,0.459,0.408,73.15
2020-04-30,1138.0,717.429,11.0,8.429,58.05,36.597,0.561,0.43,73.15
2020-05-01,985.0,787.571,7.0,8.571,50.246,40.175,0.357,0.437,73.15
2020-05-02,2526.0,953.714,13.0,9.429,128.853,48.65,0.663,0.481,73.15
2020-05-03,1228.0,1061.571,13.0,10.143,62.641,54.151,0.663,0.517,73.15
2020-05-04,980.0,1132.714,10.0,10.286,49.99,57.781,0.51,0.525,73.15
2020-05-05,1373.0,1250.0,5.0,9.714,70.038,63.763,0.255,0.496,73.15
2020-05-06,1032.0,1323.143,6.0,9.286,52.643,67.494,0.306,0.474,73.15
2020-05-07,1533.0,1379.571,4.0,8.286,78.199,70.373,0.204,0.423,73.15
2020-05-08,1391.0,1437.571,9.0,8.571,70.956,73.332,0.459,0.437,75.93
2020-05-09,3458.0,1570.714,10.0,8.143,176.395,80.123,0.51,0.415,75.93
2020-05-10,1647.0,1630.571,8.0,7.429,84.015,83.177,0.408,0.379,75.93
2020-05-11,1197.0,1661.571,11.0,7.571,61.06,84.758,0.561,0.386,75.93
2020-05-12,1658.0,1702.286,12.0,8.571,84.576,86.835,0.612,0.437,75.93
2020-05-13,2660.0,1934.857,11.0,9.286,135.688,98.698,0.561,0.474,75.93
2020-05-14,2659.0,2095.714,22.0,11.857,135.637,106.904,1.122,0.605,75.93
2020-05-15,2502.0,2254.429,26.0,14.286,127.629,115.0,1.326,0.729,78.24
2020-05-16,5485.0,2544.0,27.0,16.714,279.794,129.771,1.377,0.853,78.24
2020-05-17,2353.0,2644.857,29.0,19.714,120.028,134.916,1.479,1.006,78.24
2020-05-18,2278.0,2799.286,28.0,22.143,116.202,142.793,1.428,1.13,78.24
