male,female,total
591.86,570.363,1162.223
643.991,621.865,1265.856
635.584,614.053,1249.637
632.461,611.781,1244.242
712.076,690.833,1402.909
808.869,783.76,1592.629
785.253,760.568,1545.821
707.035,692.548,1399.583
663.019,661.077,1324.096
621.476,632.832,1254.308
595.301,619.294,1214.595
550.477,587.199,1137.676
467.461,514.838,982.299
376.586,432.902,809.488
263.359,317.94,581.299
175.953,235.874,411.827
107.532,166.728,274.26
57.264,104.882,162.146
24.091,53.137,77.228
5.242,15.114,20.356
0.779,2.952,3.731
