time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-01,6.0,,,,0.333,,,,5.56
2020-03-02,0.0,,,,0.0,,,,8.33
2020-03-03,1.0,,,,0.056,,,,8.33
2020-03-04,3.0,,,,0.167,,,,8.33
2020-03-05,3.0,,,,0.167,,,,8.33
2020-03-06,0.0,1.857,,,0.0,0.103,,,8.33
2020-03-07,0.0,1.857,,,0.0,0.103,,,8.33
2020-03-08,1.0,1.143,,,0.056,0.063,,,8.33
2020-03-09,1.0,1.286,,,0.056,0.071,,,8.33
2020-03-10,0.0,1.143,,,0.0,0.063,,,8.33
2020-03-11,2.0,1.0,,,0.111,0.056,,,8.33
2020-03-12,0.0,0.571,,,0.0,0.032,,,8.33
2020-03-13,0.0,0.571,,,0.0,0.032,,,36.11
2020-03-14,11.0,2.143,2.0,,0.611,0.119,0.111,,36.11
2020-03-15,0.0,2.0,0.0,,0.0,0.111,0.0,,55.56
2020-03-16,9.0,3.143,0.0,,0.5,0.175,0.0,,55.56
2020-03-17,21.0,6.143,0.0,,1.167,0.341,0.0,,93.52
2020-03-18,53.0,13.429,0.0,,2.944,0.746,0.0,,93.52
2020-03-19,88.0,26.0,1.0,0.429,4.889,1.444,0.056,0.024,93.52
2020-03-20,168.0,50.0,2.0,0.714,9.333,2.778,0.111,0.04,93.52
2020-03-21,139.0,68.286,2.0,0.714,7.722,3.793,0.111,0.04,93.52
2020-03-22,283.0,108.714,7.0,1.714,15.721,6.039,0.389,0.095,93.52
2020-03-23,192.0,134.857,4.0,2.286,10.666,7.492,0.222,0.127,93.52
2020-03-24,101.0,146.286,9.0,3.571,5.611,8.127,0.5,0.198,93.52
2020-03-25,91.0,151.714,1.0,3.714,5.055,8.428,0.056,0.206,93.52
2020-03-26,230.0,172.0,6.0,4.429,12.777,9.555,0.333,0.246,93.52
2020-03-27,192.0,175.429,2.0,4.429,10.666,9.745,0.111,0.246,93.52
2020-03-28,228.0,188.143,12.0,5.857,12.666,10.452,0.667,0.325,93.52
2020-03-29,101.0,162.143,10.0,6.286,5.611,9.007,0.556,0.349,93.52
2020-03-30,38.0,140.143,2.0,6.0,2.111,7.785,0.111,0.333,93.52
