time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-19,1.0,,,,0.158,,,,65.74
2020-03-20,0.0,,,,0.0,,,,65.74
2020-03-21,2.0,,,,0.316,,,,88.89
2020-03-22,0.0,,,,0.0,,,,88.89
2020-03-23,0.0,,,,0.0,,,,88.89
2020-03-24,2.0,0.714,,,0.316,0.113,,,88.89
2020-03-25,4.0,1.286,,,0.631,0.203,,,88.89
2020-03-26,4.0,1.714,,,0.631,0.271,,,88.89
2020-03-27,0.0,1.714,,,0.0,0.271,,,88.89
2020-03-28,6.0,2.286,,,0.947,0.361,,,88.89
2020-03-29,5.0,3.0,,,0.789,0.473,,,88.89
2020-03-30,6.0,3.857,,,0.947,0.609,,,88.89
2020-03-31,2.0,3.857,1.0,,0.316,0.609,0.158,,88.89
2020-04-01,0.0,3.286,0.0,,0.0,0.519,0.0,,88.89
2020-04-02,9.0,4.0,1.0,,1.42,0.631,0.158,,88.89
2020-04-03,5.0,4.714,0.0,,0.789,0.744,0.0,,88.89
2020-04-04,10.0,5.286,1.0,,1.578,0.834,0.158,,88.89
2020-04-05,6.0,5.429,0.0,0.429,0.947,0.857,0.0,0.068,88.89
2020-04-06,7.0,5.571,1.0,0.571,1.105,0.879,0.158,0.09,88.89
2020-04-07,9.0,6.571,0.0,0.429,1.42,1.037,0.0,0.068,88.89
2020-04-08,15.0,8.714,1.0,0.571,2.367,1.375,0.158,0.09,88.89
2020-04-09,10.0,8.857,1.0,0.571,1.578,1.398,0.158,0.09,88.89
2020-04-10,14.0,10.143,0.0,0.571,2.209,1.601,0.0,0.09,88.89
2020-04-11,1.0,8.857,0.0,0.429,0.158,1.398,0.0,0.068,88.89
2020-04-12,7.0,9.0,0.0,0.429,1.105,1.42,0.0,0.068,88.89
2020-04-13,12.0,9.714,0.0,0.286,1.894,1.533,0.0,0.045,88.89
2020-04-14,12.0,10.143,0.0,0.286,1.894,1.601,0.0,0.045,88.89
2020-04-15,10.0,9.429,0.0,0.143,1.578,1.488,0.0,0.023,88.89
2020-04-16,5.0,8.714,0.0,0.0,0.789,1.375,0.0,0.0,88.89
2020-04-17,13.0,8.571,1.0,0.143,2.052,1.353,0.158,0.023,88.89
2020-04-18,13.0,10.286,0.0,0.143,2.052,1.623,0.0,0.023,88.89
2020-04-19,11.0,10.857,0.0,0.143,1.736,1.713,0.0,0.023,88.89
2020-04-20,17.0,11.571,0.0,0.143,2.683,1.826,0.0,0.023,88.89
2020-04-21,7.0,10.857,0.0,0.143,1.105,1.713,0.0,0.023,94.44
2020-04-22,12.0,11.143,0.0,0.143,1.894,1.759,0.0,0.023,94.44
2020-04-23,13.0,12.286,1.0,0.286,2.052,1.939,0.158,0.045,94.44
2020-04-24,24.0,13.857,0.0,0.143,3.788,2.187,0.0,0.023,94.44
2020-04-25,0.0,12.0,0.0,0.143,0.0,1.894,0.0,0.023,94.44
