time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-30,,,,,,,,,11.11
2020-01-31,,,,,,,,,11.11
2020-02-01,,,,,,,,,11.11
2020-02-02,,,,,,,,,11.11
2020-02-03,,,,,,,,,19.44
2020-02-04,,,,,,,,,19.44
2020-02-05,,,,,,,,,19.44
2020-02-06,,,,,,,,,19.44
2020-02-07,,,,,,,,,19.44
2020-02-08,,,,,,,,,19.44
2020-02-09,,,,,,,,,19.44
2020-02-10,,,,,,,,,19.44
2020-02-11,,,,,,,,,19.44
2020-02-12,,,,,,,,,19.44
2020-02-13,,,,,,,,,19.44
2020-02-14,,,,,,,,,19.44
2020-02-15,,,,,,,,,19.44
2020-02-16,,,,,,,,,19.44
2020-02-17,,,,,,,,,19.44
2020-02-18,,,,,,,,,19.44
2020-02-19,,,,,,,,,19.44
2020-02-20,,,,,,,,,19.44
2020-02-21,,,,,,,,,19.44
2020-02-22,,,,,,,,,19.44
2020-02-23,,,,,,,,,19.44
2020-02-24,,,,,,,,,19.44
2020-02-25,,,,,,,,,19.44
2020-02-26,,,,,,,,,19.44
2020-02-27,,,,,,,,,19.44
2020-02-28,,,,,,,,,19.44
2020-02-29,,,,,,,,,19.44
2020-03-01,,,,,,,,,19.44
2020-03-02,,,,,,,,,19.44
2020-03-03,,,,,,,,,19.44
2020-03-04,,,,,,,,,19.44
2020-03-05,,,,,,,,,19.44
2020-03-06,,,,,,,,,19.44
2020-03-07,,,,,,,,,19.44
2020-03-08,,,,,,,,,19.44
2020-03-09,,,,,,,,,19.44
2020-03-10,,,,,,,,,19.44
2020-03-11,,,,,,,,,19.44
2020-03-12,,,,,,,,,19.44
2020-03-13,,,,,,,,,19.44
2020-03-14,,,,,,,,,19.44
2020-03-15,,,,,,,,,19.44
2020-03-16,,,,,,,,,30.56
2020-03-17,,,,,,,,,30.56
2020-03-18,,,,,,,,,30.56
2020-03-19,1.0,,,,1.076,,,,79.63
2020-03-20,0.0,,,,0.0,,,,79.63
2020-03-21,0.0,,,,0.0,,,,79.63
2020-03-22,1.0,,,,1.076,,,,79.63
2020-03-23,1.0,,,,1.076,,,,81.48
2020-03-24,1.0,0.571,,,1.076,0.615,,,81.48
2020-03-25,1.0,0.714,,,1.076,0.768,,,81.48
2020-03-26,0.0,0.571,,,0.0,0.615,,,81.48
2020-03-27,0.0,0.571,,,0.0,0.615,,,81.48
2020-03-28,0.0,0.571,,,0.0,0.615,,,81.48
2020-03-29,0.0,0.429,,,0.0,0.461,,,84.26
2020-03-30,0.0,0.286,,,0.0,0.307,,,86.11
2020-03-31,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-01,0.0,0.0,,,0.0,0.0,,,86.11
2020-04-02,2.0,0.286,,,2.151,0.307,,,86.11
2020-04-03,0.0,0.286,,,0.0,0.307,,,86.11
2020-04-04,5.0,1.0,,,5.378,1.076,,,86.11
2020-04-05,0.0,1.0,,,0.0,1.076,,,86.11
2020-04-06,2.0,1.286,,,2.151,1.383,,,86.11
2020-04-07,1.0,1.429,,,1.076,1.536,,,86.11
2020-04-08,0.0,1.429,,,0.0,1.536,,,86.11
2020-04-09,0.0,1.143,,,0.0,1.229,,,86.11
2020-04-10,1.0,1.286,,,1.076,1.383,,,86.11
2020-04-11,0.0,0.571,,,0.0,0.615,,,86.11
2020-04-12,0.0,0.571,,,0.0,0.615,,,86.11
2020-04-13,0.0,0.286,,,0.0,0.307,,,86.11
2020-04-14,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-15,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-16,1.0,0.286,,,1.076,0.307,,,86.11
2020-04-17,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-18,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-19,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-20,1.0,0.286,,,1.076,0.307,,,86.11
2020-04-21,0.0,0.286,,,0.0,0.307,,,86.11
2020-04-22,0.0,0.286,,,0.0,0.307,,,86.11
2020-04-23,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-24,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-25,0.0,0.143,,,0.0,0.154,,,86.11
2020-04-26,0.0,0.143,,,0.0,0.154,,,80.56
2020-04-27,0.0,0.0,,,0.0,0.0,,,80.56
2020-04-28,0.0,0.0,,,0.0,0.0,,,80.56
2020-04-29,0.0,0.0,,,0.0,0.0,,,80.56
2020-04-30,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-01,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-02,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-03,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-04,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-05,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-06,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-07,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-08,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-09,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-10,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-11,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-12,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-13,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-14,0.0,0.0,,,0.0,0.0,,,80.56
2020-05-15,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-16,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-17,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-18,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-19,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-20,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-21,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-22,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-23,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-24,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-25,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-26,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-27,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-28,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-29,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-30,0.0,0.0,,,0.0,0.0,,,70.37
2020-05-31,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-01,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-02,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-03,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-04,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-05,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-06,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-07,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-08,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-09,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-10,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-11,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-12,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-13,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-14,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-15,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-16,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-17,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-18,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-19,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-20,0.0,0.0,,,0.0,0.0,,,70.37
2020-06-21,0.0,0.0,,,0.0,0.0,,,64.81
2020-06-22,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-23,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-24,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-25,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-26,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-27,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-28,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-29,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-30,0.0,0.0,,,0.0,0.0,,,58.33
2020-07-01,0.0,0.0,,,0.0,0.0,,,58.33
2020-07-02,0.0,0.0,,,0.0,0.0,,,58.33
2020-07-03,0.0,0.0,,,0.0,0.0,,,58.33
2020-07-04,0.0,0.0,,,0.0,0.0,,,58.33
2020-07-05,1.0,0.143,,,1.076,0.154,,,58.33
2020-07-06,2.0,0.429,,,2.151,0.461,,,54.63
2020-07-07,0.0,0.429,,,0.0,0.461,,,54.63
2020-07-08,0.0,0.429,,,0.0,0.461,,,54.63
2020-07-09,5.0,1.143,,,5.378,1.229,,,54.63
2020-07-10,0.0,1.143,,,0.0,1.229,,,54.63
2020-07-11,0.0,1.143,,,0.0,1.229,,,54.63
2020-07-12,0.0,1.0,,,0.0,1.076,,,54.63
2020-07-13,0.0,0.714,,,0.0,0.768,,,54.63
2020-07-14,0.0,0.714,,,0.0,0.768,,,54.63
2020-07-15,0.0,0.714,,,0.0,0.768,,,54.63
2020-07-16,0.0,0.0,,,0.0,0.0,,,54.63
2020-07-17,0.0,0.0,,,0.0,0.0,,,51.85
2020-07-18,0.0,0.0,,,0.0,0.0,,,51.85
2020-07-19,1.0,0.143,,,1.076,0.154,,,51.85
2020-07-20,0.0,0.143,,,0.0,0.154,,,51.85
2020-07-21,0.0,0.143,,,0.0,0.154,,,51.85
2020-07-22,0.0,0.143,,,0.0,0.154,,,51.85
2020-07-23,0.0,0.143,,,0.0,0.154,,,51.85
2020-07-24,0.0,0.143,,,0.0,0.154,,,51.85
2020-07-25,0.0,0.143,,,0.0,0.154,,,51.85
2020-07-26,0.0,0.0,,,0.0,0.0,,,51.85
2020-07-27,0.0,0.0,,,0.0,0.0,,,51.85
2020-07-28,0.0,0.0,,,0.0,0.0,,,51.85
2020-07-29,0.0,0.0,,,0.0,0.0,,,51.85
2020-07-30,0.0,0.0,,,0.0,0.0,,,51.85
2020-07-31,0.0,0.0,1.0,,0.0,0.0,1.076,,51.85
2020-08-01,0.0,0.0,0.0,,0.0,0.0,0.0,,51.85
2020-08-02,0.0,0.0,0.0,,0.0,0.0,0.0,,51.85
2020-08-03,0.0,0.0,0.0,,0.0,0.0,0.0,,51.85
2020-08-04,0.0,0.0,0.0,,0.0,0.0,0.0,,51.85
2020-08-05,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.154,51.85
2020-08-06,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.154,51.85
2020-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-13,1.0,0.143,0.0,0.0,1.076,0.154,0.0,0.0,51.85
2020-08-14,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-08-15,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-08-16,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-08-17,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-08-18,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-08-19,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-08-27,0.0,0.0,1.0,0.143,0.0,0.0,1.076,0.154,51.85
2020-08-28,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.154,51.85
2020-08-29,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.154,51.85
2020-08-30,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.154,51.85
2020-08-31,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.154,51.85
2020-09-01,1.0,0.143,0.0,0.143,1.076,0.154,0.0,0.154,51.85
2020-09-02,0.0,0.143,0.0,0.143,0.0,0.154,0.0,0.154,51.85
2020-09-03,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-09-04,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-09-05,2.0,0.429,0.0,0.0,2.151,0.461,0.0,0.0,51.85
2020-09-06,0.0,0.429,0.0,0.0,0.0,0.461,0.0,0.0,51.85
2020-09-07,0.0,0.429,0.0,0.0,0.0,0.461,0.0,0.0,51.85
2020-09-08,0.0,0.286,0.0,0.0,0.0,0.307,0.0,0.0,51.85
2020-09-09,1.0,0.429,0.0,0.0,1.076,0.461,0.0,0.0,51.85
2020-09-10,0.0,0.429,0.0,0.0,0.0,0.461,0.0,0.0,51.85
2020-09-11,0.0,0.429,0.0,0.0,0.0,0.461,0.0,0.0,51.85
2020-09-12,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-09-13,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-09-14,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-09-15,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,51.85
2020-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85
2020-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-21,1.0,0.143,0.0,0.0,1.076,0.154,0.0,0.0,49.07
2020-10-22,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-10-23,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-10-24,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-10-25,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-10-26,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-10-27,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-10-29,1.0,0.143,0.0,0.0,1.076,0.154,0.0,0.0,49.07
2020-10-30,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-10-31,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-11-01,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-11-02,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-11-03,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-11-04,0.0,0.143,0.0,0.0,0.0,0.154,0.0,0.0,49.07
2020-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07
