time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,1.0,,,,0.419,,,,33.33
2020-03-15,0.0,,,,0.0,,,,33.33
2020-03-16,0.0,,,,0.0,,,,44.44
2020-03-17,0.0,,,,0.0,,,,44.44
2020-03-18,0.0,,,,0.0,,,,44.44
2020-03-19,0.0,0.143,,,0.0,0.06,,,44.44
2020-03-20,2.0,0.429,1.0,,0.837,0.179,0.419,,62.96
2020-03-21,1.0,0.429,0.0,,0.419,0.179,0.0,,70.37
2020-03-22,1.0,0.571,0.0,,0.419,0.239,0.0,,70.37
2020-03-23,0.0,0.571,0.0,,0.0,0.239,0.0,,70.37
2020-03-24,1.0,0.714,0.0,,0.419,0.299,0.0,,70.37
2020-03-25,0.0,0.714,0.0,0.143,0.0,0.299,0.0,0.06,70.37
2020-03-26,1.0,0.857,0.0,0.143,0.419,0.359,0.0,0.06,70.37
2020-03-27,0.0,0.571,0.0,0.0,0.0,0.239,0.0,0.0,70.37
2020-03-28,0.0,0.429,0.0,0.0,0.0,0.179,0.0,0.0,70.37
2020-03-29,0.0,0.286,0.0,0.0,0.0,0.12,0.0,0.0,70.37
2020-03-30,0.0,0.286,0.0,0.0,0.0,0.12,0.0,0.0,70.37
2020-03-31,9.0,1.429,0.0,0.0,3.767,0.598,0.0,0.0,70.37
2020-04-01,2.0,1.714,0.0,0.0,0.837,0.718,0.0,0.0,70.37
2020-04-02,3.0,2.0,0.0,0.0,1.256,0.837,0.0,0.0,70.37
2020-04-03,0.0,2.0,0.0,0.0,0.0,0.837,0.0,0.0,70.37
2020-04-04,0.0,2.0,0.0,0.0,0.0,0.837,0.0,0.0,70.37
2020-04-05,0.0,2.0,0.0,0.0,0.0,0.837,0.0,0.0,70.37
2020-04-06,3.0,2.429,0.0,0.0,1.256,1.017,0.0,0.0,70.37
2020-04-07,6.0,2.0,0.0,0.0,2.512,0.837,0.0,0.0,70.37
2020-04-08,4.0,2.286,0.0,0.0,1.674,0.957,0.0,0.0,70.37
2020-04-09,10.0,3.286,0.0,0.0,4.186,1.375,0.0,0.0,70.37
2020-04-10,0.0,3.286,0.0,0.0,0.0,1.375,0.0,0.0,76.85
2020-04-11,2.0,3.571,0.0,0.0,0.837,1.495,0.0,0.0,76.85
2020-04-12,3.0,4.0,0.0,0.0,1.256,1.674,0.0,0.0,78.7
2020-04-13,8.0,4.714,0.0,0.0,3.349,1.973,0.0,0.0,78.7
2020-04-14,0.0,3.857,0.0,0.0,0.0,1.615,0.0,0.0,81.48
2020-04-15,23.0,6.571,0.0,0.0,9.627,2.751,0.0,0.0,81.48
2020-04-16,0.0,5.143,0.0,0.0,0.0,2.153,0.0,0.0,81.48
2020-04-17,28.0,9.143,0.0,0.0,11.72,3.827,0.0,0.0,81.48
2020-04-18,0.0,8.857,0.0,0.0,0.0,3.707,0.0,0.0,81.48
