male,female,total
2082.343,1976.336,4058.679
1970.345,1851.88,3822.225
1979.34,1832.305,3811.645
2150.221,1968.75,4118.971
2382.496,2170.94,4553.436
2521.798,2302.127,4823.925
2822.844,2619.021,5441.865
2774.455,2655.7,5430.155
2551.802,2507.865,5059.667
2607.67,2576.014,5183.684
3352.933,3328.288,6681.221
3393.206,3413.966,6807.172
2854.706,2965.997,5820.703
2291.081,2532.358,4823.439
1791.116,2042.707,3833.823
1631.884,2005.707,3637.591
1359.119,1899.975,3259.094
612.796,1022.253,1635.049
236.559,521.588,758.147
45.63,158.529,204.159
3.567,15.728,19.295
