time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,3.0,,,,0.09,,,,8.33
2020-03-15,3.0,,,,0.09,,,,13.89
2020-03-16,0.0,,,,0.0,,,,44.44
2020-03-17,1.0,,,,0.03,,,,50.0
2020-03-18,0.0,,,,0.0,,,,50.0
2020-03-19,4.0,1.571,,,0.119,0.047,,,50.0
2020-03-20,5.0,2.286,,,0.149,0.068,,,50.0
2020-03-21,3.0,2.286,1.0,,0.09,0.068,0.03,,50.0
2020-03-22,4.0,2.429,0.0,,0.119,0.073,0.0,,52.78
2020-03-23,4.0,3.0,1.0,,0.119,0.09,0.03,,52.78
2020-03-24,26.0,6.571,0.0,,0.777,0.196,0.0,,52.78
2020-03-25,40.0,12.286,2.0,,1.195,0.367,0.06,,52.78
2020-03-26,39.0,17.286,0.0,0.571,1.165,0.516,0.0,0.017,52.78
2020-03-27,5.0,17.286,0.0,0.571,0.149,0.516,0.0,0.017,52.78
2020-03-28,4.0,17.429,1.0,0.571,0.119,0.521,0.03,0.017,52.78
2020-03-29,11.0,18.429,0.0,0.571,0.329,0.551,0.0,0.017,52.78
2020-03-30,0.0,17.857,0.0,0.429,0.0,0.533,0.0,0.013,84.26
2020-03-31,9.0,15.429,0.0,0.429,0.269,0.461,0.0,0.013,84.26
2020-04-01,34.0,14.571,0.0,0.143,1.016,0.435,0.0,0.004,86.11
2020-04-02,9.0,10.286,0.0,0.143,0.269,0.307,0.0,0.004,86.11
2020-04-03,1.0,9.714,0.0,0.143,0.03,0.29,0.0,0.004,86.11
2020-04-04,0.0,9.143,0.0,0.0,0.0,0.273,0.0,0.0,86.11
2020-04-05,9.0,8.857,0.0,0.0,0.269,0.265,0.0,0.0,86.11
2020-04-06,0.0,8.857,0.0,0.0,0.0,0.265,0.0,0.0,86.11
2020-04-07,73.0,18.0,0.0,0.0,2.181,0.538,0.0,0.0,86.11
2020-04-08,26.0,16.857,1.0,0.143,0.777,0.504,0.03,0.004,86.11
