male,female,total
2129.11,2040.326,4169.436
1985.078,1903.357,3888.435
1776.454,1703.417,3479.871
1602.929,1533.921,3136.85
1462.45,1397.886,2860.336
1298.561,1239.694,2538.255
1158.508,1107.554,2266.062
979.065,945.291,1924.356
822.527,803.386,1625.913
706.123,699.214,1405.337
593.58,595.68,1189.26
465.904,479.815,945.719
321.423,345.889,667.312
199.79,223.965,423.755
137.932,160.412,298.344
69.822,88.624,158.446
29.964,39.677,69.641
9.05,12.362,21.412
1.586,2.254,3.84
0.138,0.212,0.35
0.005,0.01,0.015
