time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-11,2.0,,,,0.192,,,,11.11
2020-03-12,0.0,,,,0.0,,,,11.11
2020-03-13,0.0,,,,0.0,,,,33.33
2020-03-14,0.0,,,,0.0,,,,33.33
2020-03-15,1.0,,,,0.096,,,,33.33
2020-03-16,3.0,0.857,,,0.288,0.082,,,93.52
2020-03-17,2.0,1.143,,,0.192,0.11,,,93.52
2020-03-18,1.0,1.0,,,0.096,0.096,,,93.52
2020-03-19,3.0,1.429,,,0.288,0.137,,,93.52
2020-03-20,12.0,3.143,,,1.15,0.301,,,97.22
2020-03-21,0.0,3.143,,,0.0,0.301,,,100.0
2020-03-22,2.0,3.286,,,0.192,0.315,,,100.0
2020-03-23,4.0,3.429,,,0.383,0.329,,,100.0
2020-03-24,0.0,3.143,,,0.0,0.301,,,100.0
2020-03-25,6.0,3.857,,,0.575,0.37,,,100.0
2020-03-26,16.0,5.714,1.0,,1.534,0.548,0.096,,100.0
2020-03-27,16.0,6.286,0.0,,1.534,0.602,0.0,,100.0
2020-03-28,27.0,10.143,0.0,,2.588,0.972,0.0,,100.0
2020-03-29,15.0,12.0,2.0,,1.438,1.15,0.192,,100.0
2020-03-30,29.0,15.571,4.0,,2.78,1.493,0.383,,100.0
2020-03-31,2.0,15.857,0.0,1.0,0.192,1.52,0.0,0.096,100.0
2020-04-01,31.0,19.429,3.0,1.429,2.971,1.862,0.288,0.137,100.0
2020-04-02,47.0,23.857,4.0,1.857,4.505,2.287,0.383,0.178,100.0
2020-04-03,3.0,22.0,1.0,2.0,0.288,2.109,0.096,0.192,100.0
2020-04-04,42.0,24.143,0.0,2.0,4.026,2.314,0.0,0.192,100.0
2020-04-05,4.0,22.571,7.0,2.714,0.383,2.163,0.671,0.26,100.0
2020-04-06,30.0,22.714,0.0,2.143,2.876,2.177,0.0,0.205,100.0
2020-04-07,7.0,23.429,0.0,2.143,0.671,2.246,0.0,0.205,100.0
2020-04-08,7.0,20.0,0.0,1.714,0.671,1.917,0.0,0.164,100.0
2020-04-09,31.0,17.714,1.0,1.286,2.971,1.698,0.096,0.123,100.0
2020-04-10,39.0,22.857,0.0,1.143,3.738,2.191,0.0,0.11,100.0
2020-04-11,10.0,18.286,1.0,1.286,0.959,1.753,0.096,0.123,100.0
2020-04-12,1.0,17.857,1.0,0.429,0.096,1.712,0.096,0.041,100.0
2020-04-13,4.0,14.143,0.0,0.429,0.383,1.356,0.0,0.041,100.0
2020-04-14,10.0,14.571,1.0,0.571,0.959,1.397,0.096,0.055,100.0
2020-04-15,12.0,15.286,5.0,1.286,1.15,1.465,0.479,0.123,100.0
2020-04-16,7.0,11.857,4.0,1.714,0.671,1.137,0.383,0.164,100.0
2020-04-17,16.0,8.571,6.0,2.571,1.534,0.822,0.575,0.246,100.0
2020-04-18,15.0,9.286,5.0,3.143,1.438,0.89,0.479,0.301,100.0
2020-04-19,15.0,11.286,0.0,3.0,1.438,1.082,0.0,0.288,100.0
2020-04-20,5.0,11.429,0.0,3.0,0.479,1.095,0.0,0.288,100.0
2020-04-21,17.0,12.429,0.0,2.857,1.629,1.191,0.0,0.274,100.0
