time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-28,1.0,,,,2.682,,,,16.67
2020-02-29,0.0,,,,0.0,,,,16.67
2020-03-01,2.0,,,,5.363,,,,16.67
2020-03-02,3.0,,,,8.045,,,,16.67
2020-03-03,5.0,,,,13.408,,,,16.67
2020-03-04,15.0,3.714,,,40.225,9.96,,,16.67
2020-03-05,8.0,4.857,,,21.453,13.025,,,16.67
2020-03-06,9.0,6.0,,,24.135,16.09,,,16.67
2020-03-07,7.0,7.0,,,18.772,18.772,,,16.67
2020-03-08,0.0,6.714,,,0.0,18.005,,,16.67
2020-03-09,8.0,7.429,,,21.453,19.921,,,16.67
2020-03-10,11.0,8.286,,,29.498,22.219,,,16.67
2020-03-11,16.0,8.429,,,42.907,22.603,,,16.67
2020-03-12,18.0,9.857,,,48.27,26.434,,,16.67
2020-03-13,31.0,13.0,,,83.132,34.862,,,16.67
2020-03-14,22.0,15.143,,,58.997,40.608,,,16.67
2020-03-15,15.0,17.286,,,40.225,46.354,,,25.0
2020-03-16,9.0,17.429,,,24.135,46.738,,,50.93
2020-03-17,40.0,21.571,,,107.267,57.847,,,50.93
2020-03-18,30.0,23.571,,,80.45,63.211,,,50.93
2020-03-19,80.0,32.429,,,214.533,86.962,,,50.93
2020-03-20,79.0,39.286,,,211.851,105.351,,,53.7
2020-03-21,64.0,45.286,1.0,,171.626,121.441,2.682,,53.7
2020-03-22,95.0,56.714,0.0,,254.758,152.089,0.0,,53.7
2020-03-23,20.0,58.286,0.0,,53.633,156.303,0.0,,53.7
2020-03-24,60.0,61.143,1.0,,160.9,163.965,2.682,,53.7
2020-03-25,89.0,69.571,0.0,,238.668,186.567,0.0,,53.7
2020-03-26,65.0,67.429,0.0,0.286,174.308,180.821,0.0,0.766,53.7
2020-03-27,88.0,68.714,0.0,0.286,235.986,184.269,0.0,0.766,53.7
2020-03-28,73.0,70.0,0.0,0.143,195.761,187.716,0.0,0.383,53.7
2020-03-29,57.0,64.571,0.0,0.143,152.855,173.159,0.0,0.383,53.7
2020-03-30,66.0,71.143,0.0,0.143,176.99,190.781,0.0,0.383,53.7
2020-03-31,49.0,69.571,0.0,0.0,131.401,186.567,0.0,0.0,53.7
2020-04-01,85.0,69.0,0.0,0.0,227.941,185.035,0.0,0.0,53.7
2020-04-02,99.0,73.857,2.0,0.286,265.485,198.06,5.363,0.766,53.7
2020-04-03,45.0,67.714,0.0,0.286,120.675,181.587,0.0,0.766,53.7
2020-04-04,53.0,64.857,0.0,0.286,142.128,173.925,0.0,0.766,53.7
2020-04-05,69.0,66.571,0.0,0.286,185.035,178.522,0.0,0.766,53.7
2020-04-06,76.0,68.0,2.0,0.571,203.806,182.353,5.363,1.532,53.7
2020-04-07,24.0,64.429,0.0,0.571,64.36,172.776,0.0,1.532,53.7
2020-04-08,30.0,56.571,0.0,0.571,80.45,151.705,0.0,1.532,53.7
2020-04-09,32.0,47.0,0.0,0.286,85.813,126.038,0.0,0.766,53.7
2020-04-10,27.0,44.429,1.0,0.429,72.405,119.142,2.682,1.149,53.7
2020-04-11,14.0,38.857,1.0,0.571,37.543,104.202,2.682,1.532,53.7
2020-04-12,12.0,30.714,0.0,0.571,32.18,82.365,0.0,1.532,53.7
