time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-02,2.0,,,,0.007,,,,28.7
2020-03-03,0.0,,,,0.0,,,,37.04
2020-03-04,0.0,,,,0.0,,,,37.04
2020-03-05,0.0,,,,0.0,,,,37.04
2020-03-06,2.0,,,,0.007,,,,37.04
2020-03-07,0.0,0.571,,,0.0,0.002,,,37.04
2020-03-08,2.0,0.857,,,0.007,0.003,,,37.04
2020-03-09,13.0,2.429,,,0.047,0.009,,,37.04
2020-03-10,8.0,3.571,,,0.029,0.013,,,37.04
2020-03-11,7.0,4.571,1.0,,0.025,0.017,0.004,,37.04
2020-03-12,0.0,4.571,0.0,,0.0,0.017,0.0,,37.04
2020-03-13,35.0,9.286,3.0,,0.127,0.034,0.011,,37.04
2020-03-14,27.0,13.143,1.0,,0.098,0.048,0.004,,37.04
2020-03-15,21.0,15.857,0.0,,0.076,0.058,0.0,,40.74
2020-03-16,17.0,16.429,0.0,0.714,0.062,0.06,0.0,0.003,45.37
2020-03-17,38.0,20.714,0.0,0.714,0.138,0.075,0.0,0.003,42.59
2020-03-18,55.0,27.571,14.0,2.571,0.2,0.1,0.051,0.009,42.59
2020-03-19,84.0,39.571,6.0,3.429,0.305,0.144,0.022,0.012,45.37
2020-03-20,58.0,42.857,7.0,4.0,0.211,0.156,0.025,0.015,45.37
2020-03-21,81.0,50.571,6.0,4.714,0.294,0.184,0.022,0.017,45.37
2020-03-22,64.0,56.714,10.0,6.143,0.232,0.206,0.036,0.022,45.37
2020-03-23,65.0,63.571,1.0,6.286,0.236,0.231,0.004,0.023,48.15
2020-03-24,107.0,73.429,6.0,7.143,0.388,0.267,0.022,0.026,48.15
2020-03-25,104.0,80.429,3.0,5.571,0.377,0.292,0.011,0.02,48.15
2020-03-26,103.0,83.143,20.0,7.571,0.374,0.302,0.073,0.027,48.15
2020-03-27,153.0,96.714,9.0,7.857,0.555,0.351,0.033,0.029,48.15
2020-03-28,109.0,100.714,15.0,9.143,0.396,0.366,0.054,0.033,48.15
2020-03-29,130.0,110.143,12.0,9.429,0.472,0.4,0.044,0.034,50.93
2020-03-30,129.0,119.286,8.0,10.429,0.468,0.433,0.029,0.038,50.93
2020-03-31,114.0,120.286,14.0,11.571,0.414,0.437,0.051,0.042,50.93
2020-04-01,149.0,126.714,21.0,14.143,0.541,0.46,0.076,0.051,50.93
2020-04-02,113.0,128.143,13.0,13.143,0.41,0.465,0.047,0.048,50.93
2020-04-03,196.0,134.286,11.0,13.429,0.711,0.487,0.04,0.049,50.93
2020-04-04,106.0,133.857,10.0,12.714,0.385,0.486,0.036,0.046,50.93
2020-04-05,181.0,141.143,7.0,12.0,0.657,0.512,0.025,0.044,50.93
2020-04-06,218.0,153.857,11.0,12.429,0.791,0.558,0.04,0.045,50.93
2020-04-07,247.0,172.857,12.0,12.143,0.897,0.627,0.044,0.044,60.65
2020-04-08,218.0,182.714,19.0,11.857,0.791,0.663,0.069,0.043,60.65
2020-04-09,337.0,214.714,40.0,15.714,1.223,0.779,0.145,0.057,60.65
2020-04-10,219.0,218.0,26.0,17.857,0.795,0.791,0.094,0.065,71.76
2020-04-11,330.0,250.0,21.0,19.429,1.198,0.907,0.076,0.071,71.76
2020-04-12,399.0,281.143,46.0,25.0,1.448,1.02,0.167,0.091,71.76
2020-04-13,316.0,295.143,26.0,27.143,1.147,1.071,0.094,0.099,71.76
2020-04-14,282.0,300.143,60.0,34.0,1.024,1.089,0.218,0.123,71.76
2020-04-15,297.0,311.429,10.0,32.714,1.078,1.13,0.036,0.119,71.76
2020-04-16,380.0,317.571,27.0,30.857,1.379,1.153,0.098,0.112,71.76
2020-04-17,407.0,344.429,24.0,30.571,1.477,1.25,0.087,0.111,71.76
2020-04-18,325.0,343.714,15.0,29.714,1.18,1.248,0.054,0.108,71.76
2020-04-19,327.0,333.429,47.0,29.857,1.187,1.21,0.171,0.108,71.76
2020-04-20,185.0,314.714,8.0,27.286,0.672,1.142,0.029,0.099,71.76
2020-04-21,375.0,328.0,26.0,22.429,1.361,1.191,0.094,0.081,71.76
2020-04-22,283.0,326.0,19.0,23.714,1.027,1.183,0.069,0.086,71.76
2020-04-23,357.0,322.714,12.0,21.571,1.296,1.171,0.044,0.078,71.76
2020-04-24,436.0,326.857,42.0,24.143,1.583,1.186,0.152,0.088,80.09
2020-04-25,396.0,337.0,31.0,26.429,1.437,1.223,0.113,0.096,80.09
2020-04-26,275.0,329.571,23.0,23.0,0.998,1.196,0.083,0.083,80.09
2020-04-27,214.0,333.714,22.0,25.0,0.777,1.211,0.08,0.091,80.09
2020-04-28,415.0,339.429,8.0,22.429,1.506,1.232,0.029,0.081,80.09
2020-04-29,260.0,336.143,11.0,21.286,0.944,1.22,0.04,0.077,80.09
2020-04-30,347.0,334.714,8.0,20.714,1.26,1.215,0.029,0.075,80.09
2020-05-01,433.0,334.286,8.0,15.857,1.572,1.213,0.029,0.058,80.09
2020-05-02,292.0,319.429,31.0,15.857,1.06,1.159,0.113,0.058,80.09
2020-05-03,349.0,330.0,14.0,14.571,1.267,1.198,0.051,0.053,74.54
2020-05-04,395.0,355.857,19.0,14.143,1.434,1.292,0.069,0.051,74.54
2020-05-05,484.0,365.714,8.0,14.143,1.757,1.327,0.029,0.051,74.54
2020-05-06,367.0,381.0,23.0,15.857,1.332,1.383,0.083,0.058,74.54
2020-05-07,338.0,379.714,35.0,19.714,1.227,1.378,0.127,0.072,74.54
2020-05-08,336.0,365.857,13.0,20.429,1.22,1.328,0.047,0.074,74.54
2020-05-09,533.0,400.286,16.0,18.286,1.935,1.453,0.058,0.066,74.54
2020-05-10,387.0,405.714,14.0,18.286,1.405,1.473,0.051,0.066,74.54
2020-05-11,233.0,382.571,18.0,18.143,0.846,1.389,0.065,0.066,74.54
2020-05-12,484.0,382.571,16.0,19.286,1.757,1.389,0.058,0.07,74.54
2020-05-13,689.0,428.571,21.0,19.0,2.501,1.556,0.076,0.069,74.54
2020-05-14,568.0,461.429,15.0,16.143,2.062,1.675,0.054,0.059,74.54
2020-05-15,490.0,483.429,33.0,19.0,1.779,1.755,0.12,0.069,74.54
2020-05-16,529.0,482.857,13.0,18.571,1.92,1.753,0.047,0.067,74.54
2020-05-17,489.0,497.429,59.0,25.0,1.775,1.806,0.214,0.091,74.54
2020-05-18,496.0,535.0,43.0,28.571,1.8,1.942,0.156,0.104,74.54
2020-05-19,486.0,535.286,30.0,30.571,1.764,1.943,0.109,0.111,74.54
2020-05-20,693.0,535.857,21.0,30.571,2.515,1.945,0.076,0.111,71.76
2020-05-21,973.0,593.714,36.0,33.571,3.532,2.155,0.131,0.122,71.76
2020-05-22,634.0,614.286,48.0,35.714,2.301,2.23,0.174,0.13,71.76
2020-05-23,949.0,674.286,25.0,37.429,3.445,2.447,0.091,0.136,71.76
2020-05-24,526.0,679.571,21.0,32.0,1.909,2.467,0.076,0.116,71.76
2020-05-25,479.0,677.143,19.0,28.571,1.739,2.458,0.069,0.104,71.76
2020-05-26,415.0,667.0,27.0,28.143,1.506,2.421,0.098,0.102,71.76
2020-05-27,686.0,666.0,55.0,33.0,2.49,2.417,0.2,0.12,71.76
2020-05-28,687.0,625.143,23.0,31.143,2.494,2.269,0.083,0.113,71.76
2020-05-29,678.0,631.429,24.0,27.714,2.461,2.292,0.087,0.101,71.76
2020-05-30,557.0,575.429,53.0,31.714,2.022,2.089,0.192,0.115,71.76
2020-05-31,700.0,600.286,40.0,34.429,2.541,2.179,0.145,0.125,71.76
2020-06-01,467.0,598.571,28.0,35.714,1.695,2.173,0.102,0.13,71.76
2020-06-02,609.0,626.286,22.0,35.0,2.211,2.273,0.08,0.127,71.76
2020-06-03,684.0,626.0,35.0,32.143,2.483,2.272,0.127,0.117,71.76
2020-06-04,585.0,611.429,23.0,32.143,2.123,2.219,0.083,0.117,71.76
2020-06-05,703.0,615.0,49.0,35.714,2.552,2.232,0.178,0.13,71.76
2020-06-06,993.0,677.286,31.0,32.571,3.604,2.458,0.113,0.118,71.76
2020-06-07,672.0,673.286,50.0,34.0,2.439,2.444,0.181,0.123,71.76
2020-06-08,847.0,727.571,32.0,34.571,3.074,2.641,0.116,0.125,68.06
2020-06-09,1043.0,789.571,40.0,37.143,3.786,2.866,0.145,0.135,68.06
2020-06-10,1240.0,869.0,36.0,37.286,4.501,3.154,0.131,0.135,68.06
2020-06-11,979.0,925.286,41.0,39.857,3.554,3.359,0.149,0.145,68.06
2020-06-12,1111.0,983.571,48.0,39.714,4.033,3.57,0.174,0.144,68.06
2020-06-13,1014.0,986.571,43.0,41.429,3.681,3.581,0.156,0.15,68.06
2020-06-14,857.0,1013.0,43.0,40.429,3.111,3.677,0.156,0.147,68.06
2020-06-15,1017.0,1037.286,64.0,45.0,3.691,3.765,0.232,0.163,68.06
2020-06-16,1106.0,1046.286,33.0,44.0,4.014,3.798,0.12,0.16,68.06
2020-06-17,1031.0,1016.429,45.0,45.286,3.742,3.689,0.163,0.164,68.06
2020-06-18,1331.0,1066.714,63.0,48.429,4.831,3.872,0.229,0.176,68.06
2020-06-19,1041.0,1056.714,34.0,46.429,3.779,3.836,0.123,0.169,68.06
2020-06-20,1226.0,1087.0,56.0,48.286,4.45,3.946,0.203,0.175,68.06
2020-06-21,862.0,1087.714,36.0,47.286,3.129,3.948,0.131,0.172,68.06
2020-06-22,954.0,1078.714,35.0,43.143,3.463,3.915,0.127,0.157,68.06
2020-06-23,1051.0,1070.857,35.0,43.429,3.815,3.887,0.127,0.158,68.06
2020-06-24,1113.0,1082.571,38.0,42.429,4.04,3.929,0.138,0.154,68.06
2020-06-25,1178.0,1060.714,47.0,40.143,4.276,3.85,0.171,0.146,68.06
2020-06-26,1240.0,1089.143,63.0,44.286,4.501,3.953,0.229,0.161,68.06
2020-06-27,1385.0,1111.857,37.0,41.571,5.027,4.036,0.134,0.151,68.06
2020-06-28,1198.0,1159.857,34.0,41.286,4.348,4.21,0.123,0.15,68.06
2020-06-29,1082.0,1178.143,51.0,43.571,3.927,4.276,0.185,0.158,68.06
2020-06-30,1293.0,1212.714,71.0,48.714,4.693,4.402,0.258,0.177,62.5
2020-07-01,1385.0,1251.571,58.0,51.571,5.027,4.543,0.211,0.187,62.5
2020-07-02,1624.0,1315.286,53.0,52.429,5.895,4.774,0.192,0.19,62.5
2020-07-03,1301.0,1324.0,49.0,50.429,4.722,4.806,0.178,0.183,62.5
2020-07-04,1447.0,1332.857,53.0,52.714,5.252,4.838,0.192,0.191,62.5
2020-07-05,1607.0,1391.286,82.0,59.571,5.833,5.05,0.298,0.216,62.5
2020-07-06,1209.0,1409.429,70.0,62.286,4.388,5.116,0.254,0.226,62.5
2020-07-07,1268.0,1405.857,68.0,61.857,4.603,5.103,0.247,0.225,62.5
2020-07-08,1853.0,1472.714,50.0,60.714,6.726,5.346,0.181,0.22,62.5
2020-07-09,2657.0,1620.286,58.0,61.429,9.644,5.881,0.211,0.223,62.5
2020-07-10,1611.0,1664.571,52.0,61.857,5.848,6.042,0.189,0.225,62.5
2020-07-11,1671.0,1696.571,66.0,63.714,6.065,6.158,0.24,0.231,62.5
2020-07-12,1681.0,1707.143,71.0,62.143,6.102,6.196,0.258,0.226,62.5
2020-07-13,1282.0,1717.571,50.0,59.286,4.653,6.234,0.181,0.215,62.5
2020-07-14,1591.0,1763.714,54.0,57.286,5.775,6.402,0.196,0.208,62.5
2020-07-15,1522.0,1716.429,87.0,62.571,5.524,6.23,0.316,0.227,62.5
2020-07-16,1574.0,1561.714,76.0,65.143,5.713,5.669,0.276,0.236,62.5
2020-07-17,1462.0,1540.429,84.0,69.714,5.307,5.591,0.305,0.253,62.5
2020-07-18,1752.0,1552.0,59.0,68.714,6.359,5.633,0.214,0.249,62.5
2020-07-19,1639.0,1546.0,127.0,76.714,5.949,5.612,0.461,0.278,62.5
2020-07-20,1693.0,1604.714,96.0,83.286,6.145,5.825,0.348,0.302,62.5
2020-07-21,1655.0,1613.857,81.0,87.143,6.007,5.858,0.294,0.316,62.5
2020-07-22,1882.0,1665.286,139.0,94.571,6.831,6.045,0.505,0.343,62.5
