time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-24,1.0,,,,0.022,,,,19.44
2020-02-25,0.0,,,,0.0,,,,50.93
2020-02-26,4.0,,,,0.09,,,,50.93
2020-02-27,2.0,,,,0.045,,,,52.78
2020-02-28,0.0,,,,0.0,,,,52.78
2020-02-29,6.0,1.857,,,0.135,0.042,,,52.78
2020-03-01,6.0,2.714,,,0.135,0.061,,,52.78
2020-03-02,7.0,3.571,,,0.157,0.08,,,52.78
2020-03-03,6.0,4.429,,,0.135,0.1,,,52.78
2020-03-04,3.0,4.286,2.0,,0.067,0.096,0.045,,52.78
2020-03-05,0.0,4.0,0.0,,0.0,0.09,0.0,,52.78
2020-03-06,5.0,4.714,1.0,,0.112,0.106,0.022,,52.78
2020-03-07,14.0,5.857,1.0,,0.315,0.132,0.022,,52.78
2020-03-08,6.0,5.857,2.0,,0.135,0.132,0.045,,52.78
2020-03-09,0.0,4.857,0.0,0.857,0.0,0.109,0.0,0.019,52.78
2020-03-10,11.0,5.571,1.0,1.0,0.247,0.125,0.022,0.022,52.78
2020-03-11,0.0,5.143,0.0,0.714,0.0,0.116,0.0,0.016,61.11
2020-03-12,0.0,5.143,1.0,0.857,0.0,0.116,0.022,0.019,61.11
2020-03-13,30.0,8.714,1.0,0.857,0.674,0.196,0.022,0.019,75.0
2020-03-14,9.0,8.0,1.0,0.857,0.202,0.18,0.022,0.019,75.0
2020-03-15,6.0,8.0,0.0,0.571,0.135,0.18,0.0,0.013,75.0
2020-03-16,8.0,9.143,0.0,0.571,0.18,0.205,0.0,0.013,77.78
2020-03-17,30.0,11.857,1.0,0.571,0.674,0.266,0.022,0.013,89.81
2020-03-18,10.0,13.286,1.0,0.714,0.225,0.299,0.022,0.016,89.81
2020-03-19,28.0,17.286,1.0,0.714,0.629,0.388,0.022,0.016,89.81
2020-03-20,16.0,15.286,4.0,1.143,0.36,0.344,0.09,0.026,89.81
2020-03-21,6.0,14.857,0.0,1.0,0.135,0.334,0.0,0.022,89.81
2020-03-22,19.0,16.714,3.0,1.429,0.427,0.376,0.067,0.032,94.44
2020-03-23,33.0,20.286,3.0,1.857,0.742,0.456,0.067,0.042,94.44
2020-03-24,50.0,23.143,4.0,2.286,1.124,0.52,0.09,0.051,94.44
2020-03-25,30.0,26.0,2.0,2.429,0.674,0.584,0.045,0.055,94.44
2020-03-26,36.0,27.143,7.0,3.286,0.809,0.61,0.157,0.074,96.3
2020-03-27,76.0,35.714,4.0,3.286,1.708,0.803,0.09,0.074,96.3
2020-03-28,48.0,41.714,2.0,3.571,1.079,0.937,0.045,0.08,96.3
2020-03-29,41.0,44.857,0.0,3.143,0.921,1.008,0.0,0.071,96.3
2020-03-30,83.0,52.0,4.0,3.286,1.865,1.169,0.09,0.074,96.3
2020-03-31,64.0,54.0,4.0,3.286,1.438,1.214,0.09,0.074,96.3
2020-04-01,34.0,54.571,2.0,3.286,0.764,1.226,0.045,0.074,96.3
2020-04-02,44.0,55.714,2.0,2.571,0.989,1.252,0.045,0.058,96.3
2020-04-03,48.0,51.714,0.0,2.0,1.079,1.162,0.0,0.045,96.3
2020-04-04,58.0,53.143,2.0,2.0,1.303,1.194,0.045,0.045,96.3
2020-04-05,83.0,59.143,5.0,2.714,1.865,1.329,0.112,0.061,96.3
2020-04-06,70.0,57.286,3.0,2.571,1.573,1.287,0.067,0.058,96.3
2020-04-07,91.0,61.143,1.0,2.143,2.045,1.374,0.022,0.048,96.3
2020-04-08,80.0,67.714,4.0,2.429,1.798,1.522,0.09,0.055,96.3
2020-04-09,30.0,65.714,0.0,2.143,0.674,1.477,0.0,0.048,96.3
2020-04-10,47.0,65.571,1.0,2.286,1.056,1.474,0.022,0.051,96.3
2020-04-11,39.0,62.857,2.0,2.286,0.876,1.413,0.045,0.051,96.3
2020-04-12,34.0,55.857,4.0,2.143,0.764,1.255,0.09,0.048,96.3
2020-04-13,26.0,49.571,2.0,2.0,0.584,1.114,0.045,0.045,96.3
2020-04-14,22.0,39.714,0.0,1.857,0.494,0.893,0.0,0.042,96.3
2020-04-15,15.0,30.429,1.0,1.429,0.337,0.684,0.022,0.032,96.3
2020-04-16,19.0,28.857,1.0,1.571,0.427,0.649,0.022,0.035,96.3
2020-04-17,48.0,29.0,1.0,1.571,1.079,0.652,0.022,0.035,96.3
2020-04-18,31.0,27.857,1.0,1.429,0.697,0.626,0.022,0.032,96.3
2020-04-19,26.0,26.714,0.0,0.857,0.584,0.6,0.0,0.019,96.3
2020-04-20,35.0,28.0,0.0,0.571,0.787,0.629,0.0,0.013,96.3
2020-04-21,28.0,28.857,1.0,0.714,0.629,0.649,0.022,0.016,85.19
2020-04-22,29.0,30.857,0.0,0.571,0.652,0.693,0.0,0.013,85.19
2020-04-23,46.0,34.714,0.0,0.429,1.034,0.78,0.0,0.01,85.19
2020-04-24,31.0,32.286,3.0,0.714,0.697,0.726,0.067,0.016,85.19
2020-04-25,55.0,35.714,0.0,0.571,1.236,0.803,0.0,0.013,85.19
2020-04-26,57.0,40.143,1.0,0.714,1.281,0.902,0.022,0.016,85.19
2020-04-27,27.0,39.0,1.0,0.857,0.607,0.876,0.022,0.019,85.19
2020-04-28,81.0,46.571,2.0,1.0,1.82,1.047,0.045,0.022,85.19
2020-04-29,75.0,53.143,2.0,1.286,1.686,1.194,0.045,0.029,85.19
2020-04-30,82.0,58.286,1.0,1.429,1.843,1.31,0.022,0.032,85.19
2020-05-01,68.0,63.571,1.0,1.143,1.528,1.429,0.022,0.026,85.19
2020-05-02,66.0,65.143,1.0,1.286,1.483,1.464,0.022,0.029,85.19
2020-05-03,77.0,68.0,2.0,1.429,1.73,1.528,0.045,0.032,85.19
2020-05-04,50.0,71.286,1.0,1.429,1.124,1.602,0.022,0.032,85.19
2020-05-05,85.0,71.857,4.0,1.714,1.91,1.615,0.09,0.039,85.19
2020-05-06,49.0,68.143,0.0,1.429,1.101,1.531,0.0,0.032,85.19
2020-05-07,63.0,65.429,0.0,1.286,1.416,1.47,0.0,0.029,85.19
2020-05-08,60.0,64.286,2.0,1.429,1.348,1.445,0.045,0.032,85.19
