time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-31,2.0,,,,0.034,,,,19.44
2020-02-01,0.0,,,,0.0,,,,19.44
2020-02-02,0.0,,,,0.0,,,,19.44
2020-02-03,0.0,,,,0.0,,,,19.44
2020-02-04,0.0,,,,0.0,,,,19.44
2020-02-05,0.0,0.286,,,0.0,0.005,,,19.44
2020-02-06,0.0,0.286,,,0.0,0.005,,,19.44
2020-02-07,1.0,0.143,,,0.017,0.002,,,19.44
2020-02-08,0.0,0.143,,,0.0,0.002,,,19.44
2020-02-09,0.0,0.143,,,0.0,0.002,,,19.44
2020-02-10,0.0,0.143,,,0.0,0.002,,,19.44
2020-02-11,0.0,0.143,,,0.0,0.002,,,19.44
2020-02-12,0.0,0.143,,,0.0,0.002,,,19.44
2020-02-13,0.0,0.143,,,0.0,0.002,,,19.44
2020-02-14,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-15,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-16,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-17,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-18,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-19,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-20,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-21,17.0,2.429,1.0,,0.288,0.041,0.017,,27.78
2020-02-22,42.0,8.429,1.0,,0.711,0.143,0.017,,37.04
2020-02-23,93.0,21.714,1.0,,1.575,0.368,0.017,,64.35
2020-02-24,74.0,32.286,4.0,,1.253,0.547,0.068,,64.35
2020-02-25,93.0,45.571,3.0,,1.575,0.772,0.051,,64.35
2020-02-26,131.0,64.286,2.0,1.714,2.219,1.089,0.034,0.029,64.35
2020-02-27,202.0,93.143,5.0,2.429,3.422,1.578,0.085,0.041,64.35
2020-02-28,233.0,124.0,4.0,2.857,3.947,2.1,0.068,0.048,64.35
2020-02-29,240.0,152.286,8.0,3.857,4.065,2.579,0.136,0.065,64.35
2020-03-01,566.0,219.857,5.0,4.429,9.587,3.724,0.085,0.075,64.35
2020-03-02,342.0,258.143,18.0,6.429,5.793,4.373,0.305,0.109,69.91
2020-03-03,466.0,311.429,27.0,9.857,7.893,5.275,0.457,0.167,69.91
2020-03-04,587.0,376.571,28.0,13.571,9.943,6.379,0.474,0.23,72.69
2020-03-05,769.0,457.571,41.0,18.714,13.026,7.751,0.694,0.317,74.54
2020-03-06,778.0,535.429,49.0,25.143,13.178,9.069,0.83,0.426,74.54
2020-03-07,1247.0,679.286,36.0,29.143,21.122,11.506,0.61,0.494,74.54
2020-03-08,1492.0,811.571,133.0,47.429,25.272,13.747,2.253,0.803,74.54
2020-03-09,1797.0,1019.429,97.0,58.714,30.438,17.267,1.643,0.995,74.54
2020-03-10,977.0,1092.429,168.0,78.857,16.549,18.504,2.846,1.336,79.63
2020-03-11,2313.0,1339.0,196.0,102.857,39.179,22.681,3.32,1.742,82.41
2020-03-12,2651.0,1607.857,189.0,124.0,44.904,27.235,3.201,2.1,82.41
2020-03-13,2547.0,1860.571,250.0,152.714,43.142,31.515,4.235,2.587,82.41
2020-03-14,3497.0,2182.0,175.0,172.571,59.234,36.96,2.964,2.923,82.41
2020-03-15,3590.0,2481.714,368.0,206.143,60.809,42.036,6.233,3.492,82.41
2020-03-16,3233.0,2686.857,349.0,242.143,54.762,45.511,5.911,4.102,82.41
2020-03-17,3526.0,3051.0,345.0,267.429,59.725,51.679,5.844,4.53,82.41
2020-03-18,4207.0,3321.571,475.0,307.286,71.26,56.262,8.046,5.205,82.41
2020-03-19,5322.0,3703.143,427.0,341.286,90.146,62.725,7.233,5.781,82.41
2020-03-20,5986.0,4194.429,627.0,395.143,101.393,71.047,10.62,6.693,85.19
2020-03-21,6557.0,4631.571,793.0,483.429,111.065,78.451,13.432,8.189,85.19
2020-03-22,5560.0,4913.0,651.0,523.857,94.177,83.218,11.027,8.873,85.19
2020-03-23,4789.0,5135.286,601.0,559.857,81.118,86.983,10.18,9.483,85.19
2020-03-24,5249.0,5381.429,743.0,616.714,88.91,91.153,12.585,10.446,85.19
2020-03-25,5210.0,5524.714,683.0,646.429,88.249,93.58,11.569,10.949,85.19
2020-03-26,6203.0,5650.571,712.0,687.143,105.069,95.712,12.06,11.639,85.19
2020-03-27,5909.0,5639.571,919.0,728.857,100.089,95.525,15.566,12.346,85.19
2020-03-28,5974.0,5556.286,889.0,742.571,101.19,94.115,15.058,12.578,85.19
2020-03-29,5217.0,5507.286,756.0,757.571,88.368,93.285,12.805,12.832,85.19
2020-03-30,4050.0,5401.714,812.0,787.714,68.6,91.496,13.754,13.343,85.19
2020-03-31,4053.0,5230.857,837.0,801.143,68.651,88.602,14.177,13.57,85.19
2020-04-01,4782.0,5169.714,727.0,807.429,80.999,87.567,12.314,13.677,85.19
2020-04-02,4668.0,4950.429,760.0,814.286,79.068,83.852,12.873,13.793,85.19
2020-04-03,4585.0,4761.286,766.0,792.429,77.663,80.649,12.975,13.422,85.19
2020-04-04,4805.0,4594.286,681.0,762.714,81.389,77.82,11.535,12.919,85.19
2020-04-05,4316.0,4465.571,525.0,729.714,73.106,75.64,8.893,12.36,85.19
2020-04-06,3599.0,4401.143,636.0,704.571,60.961,74.548,10.773,11.934,85.19
2020-04-07,3039.0,4256.286,604.0,671.286,51.476,72.095,10.231,11.371,87.96
2020-04-08,3836.0,4121.143,542.0,644.857,64.976,69.806,9.181,10.923,87.96
2020-04-09,4204.0,4054.857,610.0,623.429,71.209,68.683,10.332,10.56,87.96
2020-04-10,3951.0,3964.286,570.0,595.429,66.924,67.149,9.655,10.086,87.96
2020-04-11,4694.0,3948.429,619.0,586.571,79.509,66.88,10.485,9.936,87.96
2020-04-12,4092.0,3916.429,431.0,573.143,69.312,66.338,7.3,9.708,93.52
2020-04-13,3153.0,3852.714,566.0,563.143,53.407,65.259,9.587,9.539,93.52
2020-04-14,2972.0,3843.143,602.0,562.857,50.341,65.097,10.197,9.534,93.52
2020-04-15,2667.0,3676.143,578.0,568.0,45.175,62.268,9.79,9.621,93.52
2020-04-16,3786.0,3616.429,525.0,555.857,64.129,61.256,8.893,9.415,93.52
2020-04-17,3493.0,3551.0,575.0,556.571,59.166,60.148,9.74,9.427,93.52
2020-04-18,3491.0,3379.143,482.0,537.0,59.132,57.237,8.164,9.096,93.52
2020-04-19,3047.0,3229.857,433.0,537.286,51.611,54.709,7.334,9.101,93.52
2020-04-20,2256.0,3101.714,454.0,521.286,38.213,52.538,7.69,8.83,93.52
2020-04-21,2729.0,3067.0,534.0,511.571,46.225,51.95,9.045,8.665,93.52
2020-04-22,3370.0,3167.429,437.0,491.429,57.082,53.651,7.402,8.324,93.52
2020-04-23,2646.0,3004.571,464.0,482.714,44.819,50.893,7.859,8.176,93.52
2020-04-24,3021.0,2937.143,420.0,460.571,51.171,49.75,7.114,7.801,93.52
2020-04-25,2357.0,2775.143,415.0,451.0,39.924,47.006,7.029,7.639,93.52
2020-04-26,2324.0,2671.857,260.0,426.286,39.365,45.257,4.404,7.221,93.52
