time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-11,1.0,,,,0.354,,,,30.56
2020-03-12,1.0,,,,0.354,,,,30.56
2020-03-13,6.0,,,,2.122,,,,59.26
2020-03-14,0.0,,,,0.0,,,,59.26
2020-03-15,2.0,,,,0.707,,,,59.26
2020-03-16,0.0,1.429,,,0.0,0.505,,,59.26
2020-03-17,2.0,1.714,,,0.707,0.606,,,59.26
2020-03-18,1.0,1.714,,,0.354,0.606,,,71.3
2020-03-19,2.0,1.857,1.0,,0.707,0.657,0.354,,71.3
2020-03-20,1.0,1.143,0.0,,0.354,0.404,0.0,,71.3
2020-03-21,0.0,1.143,0.0,,0.0,0.404,0.0,,74.07
2020-03-22,3.0,1.286,0.0,,1.061,0.455,0.0,,74.07
2020-03-23,0.0,1.286,0.0,,0.0,0.455,0.0,,74.07
2020-03-24,2.0,1.286,0.0,0.143,0.707,0.455,0.0,0.051,74.07
2020-03-25,5.0,1.857,0.0,0.143,1.768,0.657,0.0,0.051,75.0
2020-03-26,0.0,1.571,0.0,0.0,0.0,0.556,0.0,0.0,75.0
2020-03-27,0.0,1.429,0.0,0.0,0.0,0.505,0.0,0.0,75.0
2020-03-28,4.0,2.0,0.0,0.0,1.415,0.707,0.0,0.0,75.0
2020-03-29,2.0,1.857,0.0,0.0,0.707,0.657,0.0,0.0,75.0
2020-03-30,4.0,2.429,0.0,0.0,1.415,0.859,0.0,0.0,75.0
2020-03-31,0.0,2.143,0.0,0.0,0.0,0.758,0.0,0.0,75.0
2020-04-01,8.0,2.571,2.0,0.286,2.829,0.909,0.707,0.101,87.04
2020-04-02,3.0,3.0,0.0,0.286,1.061,1.061,0.0,0.101,87.04
2020-04-03,0.0,3.0,0.0,0.286,0.0,1.061,0.0,0.101,87.04
2020-04-04,6.0,3.286,0.0,0.286,2.122,1.162,0.0,0.101,87.04
2020-04-05,5.0,3.714,0.0,0.286,1.768,1.314,0.0,0.101,87.04
2020-04-06,0.0,3.143,0.0,0.286,0.0,1.112,0.0,0.101,87.04
2020-04-07,5.0,3.857,0.0,0.286,1.768,1.364,0.0,0.101,87.04
2020-04-08,0.0,2.714,1.0,0.143,0.0,0.96,0.354,0.051,87.04
2020-04-09,0.0,2.286,0.0,0.143,0.0,0.808,0.0,0.051,87.04
