male,female,total
2453.834,2324.647,4778.481
2773.482,2628.006,5401.488
2856.888,2707.638,5564.526
2926.787,2775.858,5702.645
3075.58,2921.297,5996.877
3151.556,2998.892,6150.448
3475.526,3314.219,6789.745
3918.085,3747.586,7665.671
4307.199,4161.222,8468.421
5088.697,4915.957,10004.654
4364.792,4293.819,8658.611
3964.557,3918.347,7882.904
3733.454,3762.668,7496.122
4095.95,4283.163,8379.113
4312.462,4814.856,9127.318
3160.764,3897.293,7058.057
2209.841,3129.208,5339.049
1282.793,2347.551,3630.344
495.632,1290.191,1785.823
95.394,422.131,517.525
9.772,68.864,78.636
