time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-03,1.0,,,,0.089,,,,0.0
2020-03-04,0.0,,,,0.0,,,,0.0
2020-03-05,0.0,,,,0.0,,,,11.11
2020-03-06,0.0,,,,0.0,,,,11.11
2020-03-07,0.0,,,,0.0,,,,11.11
2020-03-08,0.0,0.143,,,0.0,0.013,,,11.11
2020-03-09,0.0,0.143,,,0.0,0.013,,,11.11
2020-03-10,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-11,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-12,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-13,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-14,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-15,7.0,1.0,,,0.62,0.089,,,33.33
2020-03-16,9.0,2.286,,,0.797,0.203,,,33.33
2020-03-17,17.0,4.714,,,1.506,0.418,,,33.33
2020-03-18,18.0,7.286,,,1.595,0.646,,,100.0
2020-03-19,17.0,9.714,,,1.506,0.861,,,100.0
2020-03-20,16.0,12.0,,,1.418,1.063,,,100.0
2020-03-21,0.0,12.0,,,0.0,1.063,,,100.0
2020-03-22,27.0,14.857,,,2.392,1.316,,,100.0
2020-03-23,15.0,15.714,,,1.329,1.392,,,100.0
2020-03-24,27.0,17.143,,,2.392,1.519,,,100.0
2020-03-25,18.0,17.143,,,1.595,1.519,,,100.0
2020-03-26,40.0,20.429,,,3.544,1.81,,,100.0
2020-03-27,23.0,21.429,1.0,,2.038,1.899,0.089,,100.0
2020-03-28,11.0,23.0,0.0,,0.975,2.038,0.0,,100.0
2020-03-29,13.0,21.0,2.0,,1.152,1.861,0.177,,100.0
2020-03-30,9.0,20.143,2.0,,0.797,1.785,0.177,,100.0
2020-03-31,6.0,17.143,0.0,,0.532,1.519,0.0,,100.0
2020-04-01,4.0,15.143,0.0,0.714,0.354,1.342,0.0,0.063,100.0
2020-04-02,21.0,12.429,0.0,0.714,1.861,1.101,0.0,0.063,100.0
2020-04-03,11.0,10.714,0.0,0.571,0.975,0.949,0.0,0.051,100.0
2020-04-04,13.0,11.0,0.0,0.571,1.152,0.975,0.0,0.051,100.0
2020-04-05,22.0,12.286,0.0,0.286,1.949,1.089,0.0,0.025,100.0
2020-04-06,4.0,11.571,1.0,0.143,0.354,1.025,0.089,0.013,100.0
2020-04-07,4.0,11.286,0.0,0.143,0.354,1.0,0.0,0.013,100.0
2020-04-08,5.0,11.429,0.0,0.143,0.443,1.013,0.0,0.013,100.0
2020-04-09,14.0,10.429,1.0,0.286,1.24,0.924,0.089,0.025,100.0
2020-04-10,0.0,8.857,0.0,0.286,0.0,0.785,0.0,0.025,100.0
2020-04-11,9.0,8.286,0.0,0.286,0.797,0.734,0.0,0.025,100.0
2020-04-12,8.0,6.286,0.0,0.286,0.709,0.557,0.0,0.025,100.0
2020-04-13,2.0,6.0,0.0,0.143,0.177,0.532,0.0,0.013,100.0
2020-04-14,6.0,6.286,0.0,0.143,0.532,0.557,0.0,0.013,100.0
2020-04-15,4.0,6.143,0.0,0.143,0.354,0.544,0.0,0.013,100.0
2020-04-16,1.0,4.286,0.0,0.0,0.089,0.38,0.0,0.0,100.0
2020-04-17,5.0,5.0,0.0,0.0,0.443,0.443,0.0,0.0,100.0
2020-04-18,6.0,4.571,0.0,0.0,0.532,0.405,0.0,0.0,100.0
2020-04-19,4.0,4.0,0.0,0.0,0.354,0.354,0.0,0.0,100.0
2020-04-20,8.0,4.857,0.0,0.0,0.709,0.43,0.0,0.0,100.0
2020-04-21,3.0,4.429,0.0,0.0,0.266,0.392,0.0,0.0,96.3
2020-04-22,7.0,4.857,0.0,0.0,0.62,0.43,0.0,0.0,96.3
2020-04-23,2.0,5.0,0.0,0.0,0.177,0.443,0.0,0.0,96.3
2020-04-24,4.0,4.857,0.0,0.0,0.354,0.43,0.0,0.0,96.3
2020-04-25,3.0,4.429,0.0,0.0,0.266,0.392,0.0,0.0,96.3
2020-04-26,3.0,4.286,0.0,0.0,0.266,0.38,0.0,0.0,96.3
2020-04-27,2.0,3.429,0.0,0.0,0.177,0.304,0.0,0.0,89.81
2020-04-28,0.0,3.0,1.0,0.143,0.0,0.266,0.089,0.013,89.81
2020-04-29,2.0,2.286,0.0,0.143,0.177,0.203,0.0,0.013,89.81
2020-04-30,2.0,2.286,0.0,0.143,0.177,0.203,0.0,0.013,89.81
2020-05-01,6.0,2.571,0.0,0.143,0.532,0.228,0.0,0.013,89.81
2020-05-02,1.0,2.286,1.0,0.286,0.089,0.203,0.089,0.025,89.81
2020-05-03,1.0,2.0,0.0,0.286,0.089,0.177,0.0,0.025,89.81
2020-05-04,4.0,2.286,0.0,0.286,0.354,0.203,0.0,0.025,87.04
2020-05-05,6.0,3.143,0.0,0.143,0.532,0.278,0.0,0.013,87.04
2020-05-06,2.0,3.143,0.0,0.143,0.177,0.278,0.0,0.013,87.04
2020-05-07,21.0,5.857,0.0,0.143,1.861,0.519,0.0,0.013,87.04
2020-05-08,14.0,7.0,0.0,0.143,1.24,0.62,0.0,0.013,87.04
2020-05-09,14.0,8.857,0.0,0.0,1.24,0.785,0.0,0.0,87.04
2020-05-10,18.0,11.286,0.0,0.0,1.595,1.0,0.0,0.0,87.04
2020-05-11,22.0,13.857,0.0,0.0,1.949,1.228,0.0,0.0,87.04
2020-05-12,14.0,15.0,0.0,0.0,1.24,1.329,0.0,0.0,77.78
2020-05-13,6.0,15.571,0.0,0.0,0.532,1.38,0.0,0.0,77.78
2020-05-14,4.0,13.143,0.0,0.0,0.354,1.165,0.0,0.0,77.78
2020-05-15,10.0,12.571,0.0,0.0,0.886,1.114,0.0,0.0,77.78
2020-05-16,11.0,12.143,0.0,0.0,0.975,1.076,0.0,0.0,77.78
