time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,4.0,,,,0.206,,,,22.22
2020-03-14,2.0,,,,0.103,,,,22.22
2020-03-15,3.0,,,,0.155,,,,22.22
2020-03-16,1.0,,,,0.052,,,,47.22
2020-03-17,23.0,,,,1.186,,,,47.22
2020-03-18,2.0,5.0,,,0.103,0.258,,,55.56
2020-03-19,9.0,6.286,,,0.464,0.324,,,80.09
2020-03-20,5.0,6.429,,,0.258,0.331,,,80.09
2020-03-21,4.0,6.714,,,0.206,0.346,,,80.09
2020-03-22,8.0,7.429,,,0.412,0.383,,,80.09
2020-03-23,1.0,7.429,,,0.052,0.383,,,80.09
2020-03-24,10.0,5.571,,,0.516,0.287,,,80.09
2020-03-25,9.0,6.571,,,0.464,0.339,,,80.09
2020-03-26,30.0,9.571,,,1.547,0.493,,,80.09
2020-03-27,39.0,14.429,1.0,,2.011,0.744,0.052,,80.09
2020-03-28,78.0,25.0,0.0,,4.021,1.289,0.0,,80.09
2020-03-29,56.0,31.857,0.0,,2.887,1.642,0.0,,82.87
2020-03-30,18.0,34.286,0.0,,0.928,1.767,0.0,,92.13
2020-03-31,41.0,38.714,1.0,,2.114,1.996,0.052,,92.13
2020-04-01,37.0,42.714,1.0,0.429,1.907,2.202,0.052,0.022,92.13
2020-04-02,55.0,46.286,0.0,0.429,2.835,2.386,0.0,0.022,92.13
2020-04-03,29.0,44.857,0.0,0.286,1.495,2.312,0.0,0.015,92.13
2020-04-04,67.0,43.286,2.0,0.571,3.454,2.231,0.103,0.029,92.13
2020-04-05,53.0,42.857,0.0,0.571,2.732,2.209,0.0,0.029,92.13
2020-04-06,78.0,51.429,1.0,0.714,4.021,2.651,0.052,0.037,92.13
2020-04-07,35.0,50.571,0.0,0.571,1.804,2.607,0.0,0.029,92.13
2020-04-08,30.0,49.571,1.0,0.571,1.547,2.555,0.052,0.029,92.13
2020-04-09,54.0,49.429,2.0,0.857,2.784,2.548,0.103,0.044,92.13
2020-04-10,31.0,49.714,1.0,1.0,1.598,2.563,0.052,0.052,92.13
2020-04-11,53.0,47.714,0.0,0.714,2.732,2.46,0.0,0.037,92.13
2020-04-12,86.0,52.429,2.0,1.0,4.433,2.703,0.103,0.052,92.13
2020-04-13,140.0,61.286,0.0,0.857,7.217,3.159,0.0,0.044,92.13
2020-04-14,141.0,76.429,0.0,0.857,7.269,3.94,0.0,0.044,92.13
2020-04-15,63.0,81.143,4.0,1.286,3.248,4.183,0.206,0.066,92.13
2020-04-16,107.0,88.714,0.0,1.0,5.516,4.573,0.0,0.052,92.13
2020-04-17,144.0,104.857,1.0,1.0,7.423,5.406,0.052,0.052,92.13
2020-04-18,69.0,107.143,2.0,1.286,3.557,5.523,0.103,0.066,92.13
2020-04-19,61.0,103.571,0.0,1.0,3.145,5.339,0.0,0.052,92.13
2020-04-20,176.0,108.714,0.0,1.0,9.073,5.604,0.0,0.052,92.13
2020-04-21,143.0,109.0,0.0,1.0,7.372,5.619,0.0,0.052,92.13
2020-04-22,140.0,120.0,0.0,0.429,7.217,6.186,0.0,0.022,92.13
2020-04-23,154.0,126.714,0.0,0.429,7.939,6.532,0.0,0.022,92.13
2020-04-24,193.0,133.714,6.0,1.143,9.949,6.893,0.309,0.059,92.13
2020-04-25,119.0,140.857,0.0,0.857,6.135,7.261,0.0,0.044,92.13
2020-04-26,116.0,148.714,0.0,0.857,5.98,7.666,0.0,0.044,92.13
2020-04-27,118.0,140.429,0.0,0.857,6.083,7.239,0.0,0.044,92.13
2020-04-28,192.0,147.429,0.0,0.857,9.898,7.6,0.0,0.044,92.13
2020-04-29,111.0,143.286,0.0,0.857,5.722,7.387,0.0,0.044,92.13
