male,female,total
3558.343,3486.021,7044.364
3508.267,3461.279,6969.546
3395.31,3340.913,6736.223
3021.861,2988.795,6010.656
2619.202,2617.391,5236.593
2167.181,2190.5,4357.681
1992.648,2030.044,4022.692
1704.425,1743.029,3447.454
1362.401,1397.049,2759.45
1055.166,1088.429,2143.595
782.098,821.975,1604.073
573.691,627.839,1201.53
410.863,477.352,888.215
279.481,351.13,630.611
161.035,220.032,381.067
76.404,116.868,193.272
36.529,65.195,101.724
11.823,24.571,36.394
1.702,4.106,5.808
0.095,0.248,0.343
0.002,0.007,0.009
