time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-18,3.0,,,,0.452,,,,63.89
2020-03-19,0.0,,,,0.0,,,,63.89
2020-03-20,3.0,,,,0.452,,,,63.89
2020-03-21,8.0,,,,1.207,,,,63.89
2020-03-22,0.0,,,,0.0,,,,69.44
2020-03-23,2.0,2.286,,,0.302,0.345,,,69.44
2020-03-24,26.0,6.0,,,3.921,0.905,,,69.44
2020-03-25,2.0,5.857,,,0.302,0.883,,,92.13
2020-03-26,0.0,5.857,,,0.0,0.883,,,92.13
2020-03-27,14.0,7.429,,,2.111,1.12,,,92.13
2020-03-28,0.0,6.286,,,0.0,0.948,,,92.13
2020-03-29,26.0,10.0,,,3.921,1.508,,,92.13
2020-03-30,10.0,11.143,,,1.508,1.681,,,92.13
2020-03-31,13.0,9.286,,,1.961,1.4,,,92.13
2020-04-01,4.0,9.571,,,0.603,1.444,,,92.13
2020-04-02,5.0,10.286,,,0.754,1.551,,,92.13
2020-04-03,14.0,10.286,1.0,,2.111,1.551,0.151,,92.13
2020-04-04,14.0,12.286,0.0,,2.111,1.853,0.0,,92.13
2020-04-05,3.0,9.0,0.0,,0.452,1.357,0.0,,92.13
2020-04-06,69.0,17.429,3.0,,10.406,2.628,0.452,,92.13
2020-04-07,12.0,17.286,0.0,,1.81,2.607,0.0,,92.13
2020-04-08,42.0,22.714,0.0,0.571,6.334,3.426,0.0,0.086,92.13
2020-04-09,10.0,23.429,0.0,0.571,1.508,3.533,0.0,0.086,92.13
2020-04-10,18.0,24.0,1.0,0.571,2.715,3.62,0.151,0.086,92.13
2020-04-11,41.0,27.857,0.0,0.571,6.183,4.201,0.0,0.086,92.13
2020-04-12,38.0,32.857,0.0,0.571,5.731,4.955,0.0,0.086,92.13
2020-04-13,42.0,29.0,0.0,0.143,6.334,4.374,0.0,0.022,92.13
2020-04-14,11.0,28.857,0.0,0.143,1.659,4.352,0.0,0.022,92.13
2020-04-15,19.0,25.571,0.0,0.143,2.865,3.857,0.0,0.022,92.13
2020-04-16,17.0,26.571,0.0,0.143,2.564,4.007,0.0,0.022,92.13
2020-04-17,23.0,27.286,0.0,0.0,3.469,4.115,0.0,0.0,92.13
2020-04-18,17.0,23.857,0.0,0.0,2.564,3.598,0.0,0.0,92.13
2020-04-19,48.0,25.286,0.0,0.0,7.239,3.813,0.0,0.0,92.13
2020-04-20,14.0,21.286,2.0,0.286,2.111,3.21,0.302,0.043,92.13
2020-04-21,22.0,22.857,0.0,0.286,3.318,3.447,0.0,0.043,92.13
2020-04-22,22.0,23.286,0.0,0.286,3.318,3.512,0.0,0.043,92.13
2020-04-23,19.0,23.571,1.0,0.429,2.865,3.555,0.151,0.065,92.13
2020-04-24,34.0,25.143,0.0,0.429,5.128,3.792,0.0,0.065,92.13
2020-04-25,0.0,22.714,0.0,0.429,0.0,3.426,0.0,0.065,92.13
2020-04-26,17.0,18.286,0.0,0.429,2.564,2.758,0.0,0.065,92.13
2020-04-27,13.0,18.143,0.0,0.143,1.961,2.736,0.0,0.022,92.13
2020-04-28,13.0,16.857,0.0,0.143,1.961,2.542,0.0,0.022,92.13
2020-04-29,21.0,16.714,0.0,0.143,3.167,2.521,0.0,0.022,92.13
2020-04-30,17.0,16.429,0.0,0.0,2.564,2.478,0.0,0.0,88.43
2020-05-01,10.0,13.0,0.0,0.0,1.508,1.961,0.0,0.0,88.43
2020-05-02,13.0,14.857,0.0,0.0,1.961,2.241,0.0,0.0,88.43
2020-05-03,26.0,16.143,2.0,0.286,3.921,2.435,0.302,0.043,88.43
2020-05-04,35.0,19.286,0.0,0.286,5.279,2.909,0.0,0.043,85.65
2020-05-05,13.0,19.286,1.0,0.429,1.961,2.909,0.151,0.065,85.65
2020-05-06,28.0,20.286,1.0,0.571,4.223,3.059,0.151,0.086,85.65
2020-05-07,24.0,21.286,0.0,0.571,3.62,3.21,0.0,0.086,85.65
2020-05-08,11.0,21.429,0.0,0.571,1.659,3.232,0.0,0.086,85.65
2020-05-09,25.0,23.143,0.0,0.571,3.77,3.49,0.0,0.086,85.65
2020-05-10,71.0,29.571,0.0,0.286,10.708,4.46,0.0,0.043,85.65
2020-05-11,14.0,26.571,0.0,0.286,2.111,4.007,0.0,0.043,81.94
