time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-05-13,1.0,,,,0.434,,,,62.04
2020-05-14,0.0,,,,0.0,,,,62.04
2020-05-15,0.0,,,,0.0,,,,62.04
2020-05-16,0.0,,,,0.0,,,,62.04
2020-05-17,0.0,,,,0.0,,,,62.04
2020-05-18,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-19,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-20,0.0,0.0,,,0.0,0.0,,,62.04
2020-05-21,0.0,0.0,,,0.0,0.0,,,62.04
2020-05-22,1.0,0.143,,,0.434,0.062,,,62.04
2020-05-23,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-24,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-25,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-26,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-27,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-28,0.0,0.143,,,0.0,0.062,,,62.04
2020-05-29,0.0,0.0,,,0.0,0.0,,,62.04
2020-05-30,0.0,0.0,,,0.0,0.0,,,62.04
2020-05-31,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-01,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-02,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-03,2.0,0.286,,,0.867,0.124,,,62.04
2020-06-04,0.0,0.286,,,0.0,0.124,,,62.04
2020-06-05,0.0,0.286,,,0.0,0.124,,,62.04
2020-06-06,0.0,0.286,,,0.0,0.124,,,62.04
2020-06-07,0.0,0.286,,,0.0,0.124,,,62.04
2020-06-08,0.0,0.286,,,0.0,0.124,,,62.04
2020-06-09,0.0,0.286,,,0.0,0.124,,,62.04
2020-06-10,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-11,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-12,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-13,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-14,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-15,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-16,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-17,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-18,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-19,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-20,0.0,0.0,,,0.0,0.0,,,62.04
2020-06-21,0.0,0.0,,,0.0,0.0,,,54.63
2020-06-22,8.0,1.143,,,3.469,0.496,,,54.63
2020-06-23,5.0,1.857,,,2.168,0.805,,,54.63
2020-06-24,0.0,1.857,,,0.0,0.805,,,54.63
2020-06-25,0.0,1.857,,,0.0,0.805,,,54.63
2020-06-26,7.0,2.857,,,3.036,1.239,,,54.63
2020-06-27,0.0,2.857,,,0.0,1.239,,,54.63
2020-06-28,3.0,3.286,,,1.301,1.425,,,54.63
2020-06-29,0.0,2.143,,,0.0,0.929,,,54.63
2020-06-30,0.0,1.429,,,0.0,0.62,,,54.63
2020-07-01,8.0,2.571,,,3.469,1.115,,,54.63
2020-07-02,0.0,2.571,,,0.0,1.115,,,54.63
2020-07-03,0.0,1.571,,,0.0,0.682,,,54.63
2020-07-04,0.0,1.571,,,0.0,0.682,,,54.63
2020-07-05,44.0,7.429,,,19.082,3.222,,,54.63
2020-07-06,12.0,9.143,,,5.204,3.965,,,54.63
2020-07-07,0.0,9.143,,,0.0,3.965,,,54.63
2020-07-08,0.0,8.0,,,0.0,3.469,,,54.63
2020-07-09,43.0,14.143,1.0,,18.648,6.134,0.434,,54.63
2020-07-10,50.0,21.286,0.0,,21.684,9.231,0.0,,54.63
2020-07-11,0.0,21.286,0.0,,0.0,9.231,0.0,,54.63
2020-07-12,49.0,22.0,1.0,,21.251,9.541,0.434,,54.63
2020-07-13,12.0,22.0,1.0,,5.204,9.541,0.434,,54.63
2020-07-14,11.0,23.571,0.0,0.429,4.771,10.223,0.0,0.186,54.63
2020-07-15,0.0,23.571,0.0,0.429,0.0,10.223,0.0,0.186,58.33
2020-07-16,0.0,17.429,0.0,0.286,0.0,7.558,0.0,0.124,58.33
2020-07-17,55.0,18.143,3.0,0.714,23.853,7.868,1.301,0.31,58.33
2020-07-18,48.0,25.0,0.0,0.714,20.817,10.842,0.0,0.31,58.33
2020-07-19,0.0,18.0,0.0,0.571,0.0,7.806,0.0,0.248,71.3
2020-07-20,0.0,16.286,0.0,0.429,0.0,7.063,0.0,0.186,71.3
2020-07-21,0.0,14.714,0.0,0.429,0.0,6.381,0.0,0.186,71.3
2020-07-22,0.0,14.714,0.0,0.429,0.0,6.381,0.0,0.186,71.3
2020-07-23,0.0,14.714,0.0,0.429,0.0,6.381,0.0,0.186,71.3
2020-07-24,0.0,6.857,0.0,0.0,0.0,2.974,0.0,0.0,71.3
2020-07-25,60.0,8.571,3.0,0.429,26.021,3.717,1.301,0.186,71.3
2020-07-26,86.0,20.857,3.0,0.857,37.297,9.045,1.301,0.372,71.3
2020-07-27,0.0,20.857,0.0,0.857,0.0,9.045,0.0,0.372,71.3
2020-07-28,0.0,20.857,0.0,0.857,0.0,9.045,0.0,0.372,71.3
2020-07-29,71.0,31.0,1.0,1.0,30.792,13.444,0.434,0.434,71.3
2020-07-30,28.0,35.0,0.0,1.0,12.143,15.179,0.0,0.434,71.3
2020-07-31,0.0,35.0,0.0,1.0,0.0,15.179,0.0,0.434,71.3
2020-08-01,98.0,40.429,1.0,0.714,42.501,17.533,0.434,0.31,71.3
2020-08-02,16.0,30.429,5.0,1.0,6.939,13.196,2.168,0.434,71.3
2020-08-03,0.0,30.429,0.0,1.0,0.0,13.196,0.0,0.434,71.3
2020-08-04,8.0,31.571,2.0,1.286,3.469,13.692,0.867,0.558,71.3
2020-08-05,0.0,21.429,0.0,1.143,0.0,9.293,0.0,0.496,71.3
2020-08-06,16.0,19.714,2.0,1.429,6.939,8.55,0.867,0.62,71.3
2020-08-07,0.0,19.714,0.0,1.429,0.0,8.55,0.0,0.62,71.3
2020-08-08,0.0,5.714,0.0,1.286,0.0,2.478,0.0,0.558,71.3
2020-08-09,0.0,3.429,0.0,0.571,0.0,1.487,0.0,0.248,71.3
2020-08-10,39.0,9.0,1.0,0.714,16.914,3.903,0.434,0.31,71.3
2020-08-11,0.0,7.857,0.0,0.429,0.0,3.408,0.0,0.186,71.3
2020-08-12,17.0,10.286,0.0,0.429,7.373,4.461,0.0,0.186,71.3
2020-08-13,86.0,20.286,1.0,0.286,37.297,8.798,0.434,0.124,71.3
2020-08-14,0.0,20.286,0.0,0.286,0.0,8.798,0.0,0.124,71.3
2020-08-15,19.0,23.0,0.0,0.286,8.24,9.975,0.0,0.124,71.3
2020-08-16,0.0,23.0,0.0,0.286,0.0,9.975,0.0,0.124,71.3
2020-08-17,43.0,23.571,5.0,0.857,18.648,10.223,2.168,0.372,71.3
2020-08-18,0.0,23.571,0.0,0.857,0.0,10.223,0.0,0.372,71.3
2020-08-19,0.0,21.143,0.0,0.857,0.0,9.169,0.0,0.372,71.3
2020-08-20,50.0,16.0,0.0,0.714,21.684,6.939,0.0,0.31,71.3
2020-08-21,19.0,18.714,0.0,0.714,8.24,8.116,0.0,0.31,71.3
2020-08-22,0.0,16.0,0.0,0.714,0.0,6.939,0.0,0.31,71.3
2020-08-23,0.0,16.0,0.0,0.714,0.0,6.939,0.0,0.31,71.3
2020-08-24,0.0,9.857,0.0,0.0,0.0,4.275,0.0,0.0,71.3
2020-08-25,34.0,14.714,0.0,0.0,14.745,6.381,0.0,0.0,71.3
2020-08-26,2.0,15.0,1.0,0.143,0.867,6.505,0.434,0.062,71.3
2020-08-27,0.0,7.857,0.0,0.143,0.0,3.408,0.0,0.062,71.3
2020-08-28,0.0,5.143,0.0,0.143,0.0,2.23,0.0,0.062,71.3
2020-08-29,0.0,5.143,0.0,0.143,0.0,2.23,0.0,0.062,71.3
2020-08-30,34.0,10.0,0.0,0.143,14.745,4.337,0.0,0.062,71.3
2020-08-31,0.0,10.0,0.0,0.143,0.0,4.337,0.0,0.062,71.3
2020-09-01,0.0,5.143,0.0,0.143,0.0,2.23,0.0,0.062,71.3
2020-09-02,0.0,4.857,0.0,0.0,0.0,2.106,0.0,0.0,71.3
2020-09-03,0.0,4.857,0.0,0.0,0.0,2.106,0.0,0.0,71.3
2020-09-04,63.0,13.857,0.0,0.0,27.322,6.01,0.0,0.0,71.3
2020-09-05,0.0,13.857,0.0,0.0,0.0,6.01,0.0,0.0,71.3
2020-09-06,0.0,9.0,0.0,0.0,0.0,3.903,0.0,0.0,71.3
2020-09-07,0.0,9.0,0.0,0.0,0.0,3.903,0.0,0.0,65.74
2020-09-08,0.0,9.0,0.0,0.0,0.0,3.903,0.0,0.0,65.74
2020-09-09,16.0,11.286,0.0,0.0,6.939,4.894,0.0,0.0,65.74
2020-09-10,0.0,11.286,0.0,0.0,0.0,4.894,0.0,0.0,65.74
2020-09-11,81.0,13.857,2.0,0.286,35.128,6.01,0.867,0.124,65.74
2020-09-12,0.0,13.857,0.0,0.286,0.0,6.01,0.0,0.124,65.74
2020-09-13,0.0,13.857,0.0,0.286,0.0,6.01,0.0,0.124,65.74
2020-09-14,0.0,13.857,0.0,0.286,0.0,6.01,0.0,0.124,65.74
2020-09-15,82.0,25.571,0.0,0.286,35.562,11.09,0.0,0.124,65.74
2020-09-16,0.0,23.286,0.0,0.286,0.0,10.099,0.0,0.124,65.74
2020-09-17,0.0,23.286,0.0,0.286,0.0,10.099,0.0,0.124,65.74
2020-09-18,63.0,20.714,0.0,0.0,27.322,8.983,0.0,0.0,65.74
2020-09-19,0.0,20.714,0.0,0.0,0.0,8.983,0.0,0.0,65.74
2020-09-20,34.0,25.571,0.0,0.0,14.745,11.09,0.0,0.0,65.74
2020-09-21,0.0,25.571,0.0,0.0,0.0,11.09,0.0,0.0,65.74
2020-09-22,0.0,13.857,0.0,0.0,0.0,6.01,0.0,0.0,59.26
