time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-17,5.0,,,,0.943,,,,30.56
2020-03-18,1.0,,,,0.189,,,,30.56
2020-03-19,0.0,,,,0.0,,,,30.56
2020-03-20,0.0,,,,0.0,,,,30.56
2020-03-21,,,,,,,,,44.44
2020-03-22,0.0,,,,0.0,,,,74.07
2020-03-23,0.0,0.857,,,0.0,0.162,,,74.07
2020-03-24,0.0,0.143,,,0.0,0.027,,,79.63
2020-03-25,0.0,0.0,,,0.0,0.0,,,79.63
2020-03-26,0.0,0.0,,,0.0,0.0,,,79.63
2020-03-27,0.0,0.0,,,0.0,0.0,,,79.63
2020-03-28,0.0,0.0,,,0.0,0.0,,,79.63
2020-03-29,0.0,0.0,,,0.0,0.0,,,79.63
2020-03-30,0.0,0.0,,,0.0,0.0,,,79.63
2020-03-31,0.0,0.0,,,0.0,0.0,,,79.63
2020-04-01,3.0,0.429,,,0.566,0.081,,,79.63
2020-04-02,0.0,0.429,,,0.0,0.081,,,79.63
2020-04-03,0.0,0.429,,,0.0,0.081,,,79.63
2020-04-04,1.0,0.571,,,0.189,0.108,,,79.63
2020-04-05,3.0,1.0,1.0,,0.566,0.189,0.189,,79.63
2020-04-06,3.0,1.429,2.0,,0.566,0.269,0.377,,79.63
2020-04-07,1.0,1.571,0.0,,0.189,0.296,0.0,,79.63
2020-04-08,0.0,1.143,0.0,,0.0,0.216,0.0,,81.48
2020-04-09,17.0,3.571,1.0,,3.206,0.674,0.189,,81.48
2020-04-10,0.0,3.571,0.0,0.571,0.0,0.674,0.0,0.108,84.26
2020-04-11,6.0,4.286,1.0,0.714,1.132,0.808,0.189,0.135,84.26
2020-04-12,11.0,5.429,0.0,0.571,2.074,1.024,0.0,0.108,87.96
2020-04-13,2.0,5.286,0.0,0.286,0.377,0.997,0.0,0.054,87.96
2020-04-14,1.0,5.286,1.0,0.429,0.189,0.997,0.189,0.081,87.96
2020-04-15,8.0,6.429,0.0,0.429,1.509,1.212,0.0,0.081,87.96
2020-04-16,0.0,4.0,0.0,0.286,0.0,0.754,0.0,0.054,87.96
2020-04-17,14.0,6.0,0.0,0.286,2.64,1.132,0.0,0.054,87.96
2020-04-18,3.0,5.571,1.0,0.286,0.566,1.051,0.189,0.054,87.96
2020-04-19,5.0,4.714,0.0,0.286,0.943,0.889,0.0,0.054,87.96
2020-04-20,10.0,5.857,1.0,0.429,1.886,1.105,0.189,0.081,87.96
2020-04-21,8.0,6.857,0.0,0.286,1.509,1.293,0.0,0.054,87.96
2020-04-22,2.0,6.0,0.0,0.286,0.377,1.132,0.0,0.054,87.96
2020-04-23,0.0,6.0,0.0,0.286,0.0,1.132,0.0,0.054,87.96
2020-04-24,0.0,4.0,0.0,0.286,0.0,0.754,0.0,0.054,87.96
2020-04-25,16.0,5.857,0.0,0.143,3.017,1.105,0.0,0.027,87.96
2020-04-26,3.0,5.571,3.0,0.571,0.566,1.051,0.566,0.108,87.96
2020-04-27,4.0,4.714,1.0,0.571,0.754,0.889,0.189,0.108,87.96
2020-04-28,9.0,4.857,4.0,1.143,1.697,0.916,0.754,0.216,87.96
2020-04-29,8.0,5.714,0.0,1.143,1.509,1.078,0.0,0.216,87.96
2020-04-30,0.0,5.714,0.0,1.143,0.0,1.078,0.0,0.216,87.96
2020-05-01,0.0,5.714,0.0,1.143,0.0,1.078,0.0,0.216,87.96
2020-05-02,11.0,5.0,2.0,1.429,2.074,0.943,0.377,0.269,87.96
2020-05-03,2.0,4.857,0.0,1.0,0.377,0.916,0.0,0.189,87.96
2020-05-04,4.0,4.857,0.0,0.857,0.754,0.916,0.0,0.162,87.96
2020-05-05,8.0,4.714,0.0,0.286,1.509,0.889,0.0,0.054,87.96
2020-05-06,4.0,4.143,2.0,0.571,0.754,0.781,0.377,0.108,87.96
2020-05-07,8.0,5.286,0.0,0.571,1.509,0.997,0.0,0.108,87.96
2020-05-08,11.0,6.857,0.0,0.571,2.074,1.293,0.0,0.108,87.96
2020-05-09,10.0,6.714,0.0,0.286,1.886,1.266,0.0,0.054,87.96
2020-05-10,0.0,6.429,0.0,0.286,0.0,1.212,0.0,0.054,87.96
2020-05-11,5.0,6.571,0.0,0.286,0.943,1.239,0.0,0.054,87.96
2020-05-12,7.0,6.429,0.0,0.286,1.32,1.212,0.0,0.054,87.96
2020-05-13,1.0,6.0,0.0,0.0,0.189,1.132,0.0,0.0,87.96
2020-05-14,1.0,5.0,0.0,0.0,0.189,0.943,0.0,0.0,87.96
2020-05-15,2.0,3.714,0.0,0.0,0.377,0.7,0.0,0.0,87.96
2020-05-16,4.0,2.857,0.0,0.0,0.754,0.539,0.0,0.0,87.96
2020-05-17,4.0,3.429,0.0,0.0,0.754,0.647,0.0,0.0,87.96
2020-05-18,3.0,3.143,1.0,0.143,0.566,0.593,0.189,0.027,87.96
2020-05-19,3.0,2.571,1.0,0.286,0.566,0.485,0.189,0.054,87.96
2020-05-20,4.0,3.0,1.0,0.429,0.754,0.566,0.189,0.081,87.96
2020-05-21,5.0,3.571,0.0,0.429,0.943,0.674,0.0,0.081,87.96
2020-05-22,2.0,3.571,0.0,0.429,0.377,0.674,0.0,0.081,87.96
2020-05-23,9.0,4.286,1.0,0.571,1.697,0.808,0.189,0.108,84.26
2020-05-24,6.0,4.571,2.0,0.857,1.132,0.862,0.377,0.162,84.26
2020-05-25,10.0,5.571,0.0,0.714,1.886,1.051,0.0,0.135,84.26
2020-05-26,0.0,5.143,0.0,0.571,0.0,0.97,0.0,0.108,84.26
2020-05-27,1.0,4.714,0.0,0.429,0.189,0.889,0.0,0.081,84.26
2020-05-28,0.0,4.0,1.0,0.571,0.0,0.754,0.189,0.108,84.26
2020-05-29,3.0,4.143,0.0,0.571,0.566,0.781,0.0,0.108,84.26
2020-05-30,4.0,3.429,0.0,0.429,0.754,0.647,0.0,0.081,84.26
2020-05-31,7.0,3.571,0.0,0.143,1.32,0.674,0.0,0.027,84.26
2020-06-01,8.0,3.286,0.0,0.143,1.509,0.62,0.0,0.027,84.26
2020-06-02,8.0,4.429,0.0,0.143,1.509,0.835,0.0,0.027,84.26
2020-06-03,15.0,6.429,1.0,0.286,2.829,1.212,0.189,0.054,84.26
2020-06-04,5.0,7.143,0.0,0.143,0.943,1.347,0.0,0.027,87.04
2020-06-05,5.0,7.429,0.0,0.143,0.943,1.401,0.0,0.027,79.63
2020-06-06,13.0,8.714,2.0,0.429,2.452,1.643,0.377,0.081,79.63
2020-06-07,11.0,9.286,0.0,0.429,2.074,1.751,0.0,0.081,79.63
2020-06-08,14.0,10.143,0.0,0.429,2.64,1.913,0.0,0.081,79.63
2020-06-09,11.0,10.571,0.0,0.429,2.074,1.994,0.0,0.081,79.63
2020-06-10,13.0,10.286,1.0,0.429,2.452,1.94,0.189,0.081,79.63
2020-06-11,14.0,11.571,0.0,0.429,2.64,2.182,0.0,0.081,79.63
2020-06-12,13.0,12.714,0.0,0.429,2.452,2.398,0.0,0.081,79.63
2020-06-13,11.0,12.429,1.0,0.286,2.074,2.344,0.189,0.054,79.63
2020-06-14,25.0,14.429,0.0,0.286,4.715,2.721,0.0,0.054,79.63
2020-06-15,12.0,14.143,0.0,0.286,2.263,2.667,0.0,0.054,79.63
2020-06-16,40.0,18.286,1.0,0.429,7.543,3.448,0.189,0.081,79.63
2020-06-17,11.0,18.0,0.0,0.286,2.074,3.395,0.0,0.054,79.63
2020-06-18,7.0,17.0,0.0,0.286,1.32,3.206,0.0,0.054,79.63
2020-06-19,26.0,18.857,0.0,0.286,4.903,3.556,0.0,0.054,79.63
2020-06-20,39.0,22.857,0.0,0.143,7.355,4.31,0.0,0.027,79.63
2020-06-21,20.0,22.143,0.0,0.143,3.772,4.176,0.0,0.027,79.63
2020-06-22,25.0,24.0,1.0,0.286,4.715,4.526,0.189,0.054,79.63
2020-06-23,24.0,21.714,0.0,0.143,4.526,4.095,0.0,0.027,79.63
2020-06-24,2.0,20.429,0.0,0.143,0.377,3.852,0.0,0.027,79.63
2020-06-25,10.0,20.857,0.0,0.143,1.886,3.933,0.0,0.027,79.63
2020-06-26,19.0,19.857,0.0,0.143,3.583,3.745,0.0,0.027,79.63
2020-06-27,3.0,14.714,0.0,0.143,0.566,2.775,0.0,0.027,79.63
2020-06-28,0.0,11.857,0.0,0.143,0.0,2.236,0.0,0.027,79.63
2020-06-29,84.0,20.286,0.0,0.0,15.841,3.826,0.0,0.0,75.93
2020-06-30,2.0,17.143,2.0,0.286,0.377,3.233,0.377,0.054,75.93
2020-07-01,10.0,18.286,0.0,0.286,1.886,3.448,0.0,0.054,75.93
2020-07-02,24.0,20.286,1.0,0.429,4.526,3.826,0.189,0.081,75.93
2020-07-03,15.0,19.714,0.0,0.429,2.829,3.718,0.0,0.081,75.93
2020-07-04,14.0,21.286,0.0,0.429,2.64,4.014,0.0,0.081,75.93
2020-07-05,0.0,21.286,0.0,0.429,0.0,4.014,0.0,0.081,75.93
2020-07-06,41.0,15.143,0.0,0.429,7.732,2.856,0.0,0.081,75.93
2020-07-07,17.0,17.286,2.0,0.429,3.206,3.26,0.377,0.081,75.93
2020-07-08,26.0,19.571,2.0,0.714,4.903,3.691,0.377,0.135,75.93
2020-07-09,9.0,17.429,0.0,0.571,1.697,3.287,0.0,0.108,73.15
2020-07-10,31.0,19.714,1.0,0.714,5.846,3.718,0.189,0.135,73.15
2020-07-11,6.0,18.571,5.0,1.429,1.132,3.502,0.943,0.269,73.15
2020-07-12,35.0,23.571,0.0,1.429,6.6,4.445,0.0,0.269,73.15
2020-07-13,12.0,19.429,4.0,2.0,2.263,3.664,0.754,0.377,73.15
2020-07-14,14.0,19.0,0.0,1.714,2.64,3.583,0.0,0.323,73.15
