time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-19,1.0,,,,0.364,,,,81.48
2020-03-20,0.0,,,,0.0,,,,81.48
2020-03-21,6.0,,,,2.182,,,,81.48
2020-03-22,37.0,,,,13.454,,,,81.48
2020-03-23,14.0,,,,5.091,,,,81.48
2020-03-24,30.0,12.571,1.0,,10.909,4.571,0.364,,81.48
2020-03-25,24.0,16.0,1.0,,8.727,5.818,0.364,,81.48
2020-03-26,55.0,23.714,1.0,,20.0,8.623,0.364,,81.48
2020-03-27,16.0,26.0,1.0,,5.818,9.454,0.364,,81.48
2020-03-28,44.0,31.429,0.0,,16.0,11.428,0.0,,81.48
2020-03-29,36.0,31.286,0.0,0.571,13.091,11.376,0.0,0.208,81.48
2020-03-30,17.0,31.714,0.0,0.571,6.182,11.532,0.0,0.208,81.48
2020-03-31,73.0,37.857,0.0,0.429,26.545,13.766,0.0,0.156,81.48
2020-04-01,44.0,40.714,2.0,0.571,16.0,14.805,0.727,0.208,81.48
2020-04-02,73.0,43.286,0.0,0.429,26.545,15.74,0.0,0.156,81.48
2020-04-03,58.0,49.286,0.0,0.286,21.09,17.922,0.0,0.104,81.48
2020-04-04,43.0,49.143,1.0,0.429,15.636,17.87,0.364,0.156,81.48
2020-04-05,46.0,50.571,1.0,0.571,16.727,18.389,0.364,0.208,81.48
2020-04-06,31.0,52.571,2.0,0.857,11.272,19.116,0.727,0.312,81.48
2020-04-07,40.0,47.857,1.0,1.0,14.545,17.402,0.364,0.364,81.48
2020-04-08,33.0,46.286,0.0,0.714,12.0,16.831,0.0,0.26,81.48
2020-04-09,50.0,43.0,0.0,0.714,18.181,15.636,0.0,0.26,81.48
2020-04-10,38.0,40.143,1.0,0.857,13.818,14.597,0.364,0.312,87.04
2020-04-11,39.0,39.571,1.0,0.857,14.182,14.389,0.364,0.312,87.04
2020-04-12,33.0,37.714,1.0,0.857,12.0,13.714,0.364,0.312,87.04
2020-04-13,19.0,36.0,1.0,0.714,6.909,13.091,0.364,0.26,87.04
2020-04-14,6.0,31.143,1.0,0.714,2.182,11.324,0.364,0.26,81.48
2020-04-15,18.0,29.0,4.0,1.286,6.545,10.545,1.455,0.468,81.48
2020-04-16,27.0,25.714,0.0,1.286,9.818,9.35,0.0,0.468,81.48
2020-04-17,26.0,24.0,1.0,1.286,9.454,8.727,0.364,0.468,81.48
2020-04-18,49.0,25.429,1.0,1.286,17.818,9.247,0.364,0.468,81.48
2020-04-19,93.0,34.0,1.0,1.286,33.817,12.363,0.364,0.468,81.48
2020-04-20,21.0,34.286,3.0,1.571,7.636,12.467,1.091,0.571,81.48
2020-04-21,26.0,37.143,0.0,1.429,9.454,13.506,0.0,0.519,81.48
2020-04-22,22.0,37.714,1.0,1.0,8.0,13.714,0.364,0.364,81.48
2020-04-23,18.0,36.429,0.0,1.0,6.545,13.246,0.0,0.364,81.48
2020-04-24,16.0,35.0,1.0,1.0,5.818,12.727,0.364,0.364,81.48
2020-04-25,13.0,29.857,1.0,1.0,4.727,10.857,0.364,0.364,81.48
2020-04-26,11.0,18.143,2.0,1.143,4.0,6.597,0.727,0.416,81.48
2020-04-27,15.0,17.286,1.0,0.857,5.454,6.286,0.364,0.312,77.78
2020-04-28,2.0,13.857,0.0,0.857,0.727,5.039,0.0,0.312,77.78
2020-04-29,29.0,14.857,0.0,0.714,10.545,5.402,0.0,0.26,77.78
2020-04-30,19.0,15.0,0.0,0.714,6.909,5.454,0.0,0.26,77.78
2020-05-01,6.0,13.571,0.0,0.571,2.182,4.935,0.0,0.208,77.78
2020-05-02,4.0,12.286,1.0,0.571,1.455,4.467,0.364,0.208,77.78
2020-05-03,7.0,11.714,0.0,0.286,2.545,4.26,0.0,0.104,77.78
2020-05-04,7.0,10.571,0.0,0.143,2.545,3.844,0.0,0.052,77.78
2020-05-05,4.0,10.857,0.0,0.143,1.455,3.948,0.0,0.052,77.78
2020-05-06,7.0,7.714,1.0,0.286,2.545,2.805,0.364,0.104,77.78
2020-05-07,4.0,5.571,1.0,0.429,1.455,2.026,0.364,0.156,77.78
2020-05-08,11.0,6.286,0.0,0.429,4.0,2.286,0.0,0.156,77.78
2020-05-09,25.0,9.286,0.0,0.286,9.091,3.377,0.0,0.104,77.78
2020-05-10,14.0,10.286,1.0,0.429,5.091,3.74,0.364,0.156,77.78
2020-05-11,9.0,10.571,0.0,0.429,3.273,3.844,0.0,0.156,75.0
2020-05-12,9.0,11.286,3.0,0.857,3.273,4.104,1.091,0.312,75.0
2020-05-13,13.0,12.143,0.0,0.714,4.727,4.415,0.0,0.26,75.0
2020-05-14,9.0,12.857,0.0,0.571,3.273,4.675,0.0,0.208,75.0
2020-05-15,12.0,13.0,2.0,0.857,4.364,4.727,0.727,0.312,75.0
2020-05-16,14.0,11.429,1.0,1.0,5.091,4.156,0.364,0.364,75.0
2020-05-17,10.0,10.857,1.0,1.0,3.636,3.948,0.364,0.364,75.0
2020-05-18,6.0,10.429,2.0,1.286,2.182,3.792,0.727,0.468,71.3
2020-05-19,12.0,10.857,0.0,0.857,4.364,3.948,0.0,0.312,71.3
