time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-24,,,,,,,,,11.11
2020-01-25,4.0,,,,0.118,,,,11.11
2020-01-26,0.0,,,,0.0,,,,11.11
2020-01-27,0.0,,,,0.0,,,,11.11
2020-01-28,0.0,,,,0.0,,,,11.11
2020-01-29,3.0,,,,0.088,,,,11.11
2020-01-30,1.0,1.143,,,0.029,0.034,,,19.44
2020-01-31,0.0,1.143,,,0.0,0.034,,,19.44
2020-02-01,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-02,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-03,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-04,2.0,0.857,,,0.059,0.025,,,19.44
2020-02-05,2.0,0.714,,,0.059,0.021,,,19.44
2020-02-06,2.0,0.857,,,0.059,0.025,,,19.44
2020-02-07,1.0,1.0,,,0.029,0.029,,,19.44
2020-02-08,1.0,1.143,,,0.029,0.034,,,19.44
2020-02-09,1.0,1.286,,,0.029,0.038,,,19.44
2020-02-10,1.0,1.429,,,0.029,0.042,,,19.44
2020-02-11,0.0,1.143,,,0.0,0.034,,,19.44
2020-02-12,0.0,0.857,,,0.0,0.025,,,19.44
2020-02-13,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-14,1.0,0.571,,,0.029,0.017,,,19.44
2020-02-15,3.0,0.857,,,0.088,0.025,,,19.44
2020-02-16,0.0,0.714,,,0.0,0.021,,,19.44
2020-02-17,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-18,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-19,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-20,0.0,0.571,,,0.0,0.017,,,19.44
2020-02-21,0.0,0.429,,,0.0,0.013,,,19.44
2020-02-22,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-23,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-24,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-25,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-26,0.0,0.0,,,0.0,0.0,,,19.44
2020-02-27,1.0,0.143,,,0.029,0.004,,,19.44
2020-02-28,2.0,0.429,,,0.059,0.013,,,19.44
2020-02-29,4.0,1.0,,,0.118,0.029,,,19.44
2020-03-01,0.0,1.0,,,0.0,0.029,,,19.44
2020-03-02,0.0,1.0,,,0.0,0.029,,,19.44
2020-03-03,7.0,2.0,,,0.206,0.059,,,19.44
2020-03-04,14.0,4.0,,,0.413,0.118,,,19.44
2020-03-05,5.0,4.571,,,0.147,0.135,,,19.44
2020-03-06,28.0,8.286,,,0.825,0.244,,,19.44
2020-03-07,10.0,9.143,,,0.295,0.269,,,22.22
2020-03-08,6.0,10.0,,,0.177,0.295,,,22.22
2020-03-09,18.0,12.571,,,0.53,0.37,,,22.22
2020-03-10,12.0,13.286,,,0.354,0.391,,,22.22
2020-03-11,20.0,14.143,,,0.589,0.417,,,22.22
2020-03-12,9.0,14.714,,,0.265,0.434,,,27.78
2020-03-13,39.0,16.286,,,1.149,0.48,,,27.78
2020-03-14,41.0,20.714,,,1.208,0.61,,,38.89
2020-03-15,190.0,47.0,,,5.598,1.385,,,38.89
2020-03-16,125.0,62.286,,,3.683,1.835,,,38.89
2020-03-17,120.0,77.714,2.0,,3.536,2.29,0.059,,38.89
2020-03-18,117.0,91.571,0.0,,3.447,2.698,0.0,,73.15
2020-03-19,110.0,106.0,0.0,,3.241,3.123,0.0,,73.15
2020-03-20,130.0,119.0,1.0,,3.83,3.506,0.029,,73.15
2020-03-21,153.0,135.0,4.0,,4.508,3.978,0.118,,73.15
2020-03-22,123.0,125.429,4.0,1.571,3.624,3.696,0.118,0.046,73.15
2020-03-23,212.0,137.857,5.0,2.286,6.247,4.062,0.147,0.067,73.15
2020-03-24,106.0,135.857,2.0,2.286,3.123,4.003,0.059,0.067,73.15
2020-03-25,172.0,143.714,3.0,2.714,5.068,4.235,0.088,0.08,73.15
2020-03-26,235.0,161.571,5.0,3.429,6.924,4.761,0.147,0.101,73.15
2020-03-27,130.0,161.571,2.0,3.571,3.83,4.761,0.059,0.105,78.7
2020-03-28,159.0,162.429,6.0,3.857,4.685,4.786,0.177,0.114,78.7
2020-03-29,150.0,166.286,5.0,4.0,4.42,4.9,0.147,0.118,78.7
2020-03-30,156.0,158.286,4.0,3.857,4.597,4.664,0.118,0.114,78.7
