time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-08,4.0,,,,7.637,,,,
2020-03-09,0.0,,,,0.0,,,,
2020-03-10,2.0,,,,3.818,,,,
2020-03-11,2.0,,,,3.818,,,,
2020-03-12,0.0,,,,0.0,,,,
2020-03-13,1.0,1.286,,,1.909,2.455,,,
2020-03-14,1.0,1.429,,,1.909,2.727,,,
2020-03-15,3.0,1.286,,,5.727,2.455,,,
2020-03-16,0.0,1.286,,,0.0,2.455,,,
2020-03-17,0.0,1.0,,,0.0,1.909,,,
2020-03-18,0.0,0.714,,,0.0,1.364,,,
2020-03-19,0.0,0.714,,,0.0,1.364,,,
2020-03-20,0.0,0.571,,,0.0,1.091,,,
2020-03-21,0.0,0.429,,,0.0,0.818,,,
2020-03-22,0.0,0.0,,,0.0,0.0,,,
2020-03-23,0.0,0.0,,,0.0,0.0,,,
2020-03-24,0.0,0.0,,,0.0,0.0,,,
2020-03-25,0.0,0.0,,,0.0,0.0,,,
2020-03-26,0.0,0.0,,,0.0,0.0,,,
2020-03-27,3.0,0.429,,,5.727,0.818,,,
2020-03-28,0.0,0.429,,,0.0,0.818,,,
2020-03-29,1.0,0.571,,,1.909,1.091,,,
2020-03-30,0.0,0.571,,,0.0,1.091,,,
2020-03-31,1.0,0.714,,,1.909,1.364,,,
2020-04-01,1.0,0.857,,,1.909,1.636,,,
2020-04-02,0.0,0.857,,,0.0,1.636,,,
2020-04-03,0.0,0.429,,,0.0,0.818,,,
2020-04-04,0.0,0.429,,,0.0,0.818,,,
2020-04-05,0.0,0.286,,,0.0,0.545,,,
2020-04-06,0.0,0.286,,,0.0,0.545,,,
2020-04-07,0.0,0.143,,,0.0,0.273,,,
2020-04-08,0.0,0.0,,,0.0,0.0,,,
2020-04-09,0.0,0.0,,,0.0,0.0,,,
2020-04-10,0.0,0.0,,,0.0,0.0,,,
2020-04-11,0.0,0.0,,,0.0,0.0,,,
2020-04-12,1.0,0.143,,,1.909,0.273,,,
2020-04-13,0.0,0.143,,,0.0,0.273,,,
2020-04-14,0.0,0.143,,,0.0,0.273,,,
2020-04-15,2.0,0.429,,,3.818,0.818,,,
2020-04-16,3.0,0.857,,,5.727,1.636,,,
2020-04-17,3.0,1.286,,,5.727,2.455,,,
2020-04-18,7.0,2.286,,,13.364,4.364,,,
2020-04-19,17.0,4.571,,,32.455,8.727,,,
2020-04-20,17.0,7.0,,,32.455,13.364,,,
2020-04-21,14.0,9.0,,,26.728,17.182,,,
2020-04-22,3.0,9.143,,,5.727,17.455,,,
2020-04-23,22.0,11.857,,,42.001,22.637,,,
2020-04-24,21.0,14.429,,,40.092,27.546,,,
2020-04-25,48.0,20.286,,,91.638,38.728,,,
2020-04-26,37.0,23.143,,,70.638,44.183,,,
2020-04-27,12.0,22.429,,,22.91,42.819,,,
2020-04-28,24.0,23.857,,,45.819,45.546,,,
2020-04-29,28.0,27.429,1.0,,53.456,52.365,1.909,,
2020-04-30,190.0,51.429,0.0,,362.735,98.184,0.0,,
2020-05-01,23.0,51.714,0.0,,43.91,98.729,0.0,,
2020-05-02,28.0,48.857,0.0,,53.456,93.275,0.0,,
2020-05-03,8.0,44.714,0.0,,15.273,85.366,0.0,,
2020-05-04,14.0,45.0,0.0,0.143,26.728,85.911,0.0,0.273,
2020-05-05,32.0,46.143,1.0,0.286,61.092,88.093,1.909,0.545,
2020-05-06,44.0,48.429,0.0,0.143,84.002,92.457,0.0,0.273,
2020-05-07,31.0,25.714,1.0,0.286,59.183,49.092,1.909,0.545,
2020-05-08,96.0,36.143,0.0,0.286,183.277,69.002,0.0,0.545,
2020-05-09,46.0,38.714,0.0,0.286,87.82,73.911,0.0,0.545,
2020-05-10,45.0,44.0,0.0,0.286,85.911,84.002,0.0,0.545,
2020-05-11,62.0,50.857,0.0,0.286,118.366,97.093,0.0,0.545,
2020-05-12,7.0,47.286,0.0,0.143,13.364,90.275,0.0,0.273,
2020-05-13,51.0,48.286,1.0,0.286,97.366,92.184,1.909,0.545,
2020-05-14,27.0,47.714,0.0,0.143,51.547,91.093,0.0,0.273,
2020-05-15,49.0,41.0,0.0,0.143,93.548,78.274,0.0,0.273,
2020-05-16,47.0,41.143,0.0,0.143,89.729,78.547,0.0,0.273,
2020-05-17,16.0,37.0,0.0,0.143,30.546,70.638,0.0,0.273,
2020-05-18,12.0,29.857,0.0,0.143,22.91,57.001,0.0,0.273,
2020-05-19,37.0,34.143,0.0,0.143,70.638,65.183,0.0,0.273,
2020-05-20,43.0,33.0,0.0,0.0,82.093,63.001,0.0,0.0,
2020-05-21,30.0,33.429,0.0,0.0,57.274,63.82,0.0,0.0,
2020-05-22,58.0,34.714,0.0,0.0,110.73,66.274,0.0,0.0,
2020-05-23,39.0,33.571,0.0,0.0,74.456,64.092,0.0,0.0,
2020-05-24,58.0,39.571,0.0,0.0,110.73,75.547,0.0,0.0,
2020-05-25,24.0,41.286,0.0,0.0,45.819,78.82,0.0,0.0,
2020-05-26,43.0,42.143,1.0,0.143,82.093,80.456,1.909,0.273,
2020-05-27,19.0,38.714,0.0,0.143,36.274,73.911,0.0,0.273,
2020-05-28,56.0,42.429,0.0,0.143,106.911,81.002,0.0,0.273,
2020-05-29,78.0,45.286,0.0,0.143,148.912,86.456,0.0,0.273,
2020-05-30,81.0,51.286,0.0,0.143,154.64,97.911,0.0,0.273,
2020-05-31,101.0,57.429,0.0,0.143,192.822,109.639,0.0,0.273,
2020-06-01,56.0,62.0,1.0,0.286,106.911,118.366,1.909,0.545,
2020-06-02,12.0,57.571,1.0,0.286,22.91,109.912,1.909,0.545,
2020-06-03,9.0,56.143,0.0,0.286,17.182,107.184,0.0,0.545,
2020-06-04,22.0,51.286,0.0,0.286,42.001,97.911,0.0,0.545,
2020-06-05,11.0,41.714,0.0,0.286,21.0,79.638,0.0,0.545,
2020-06-06,18.0,32.714,1.0,0.429,34.364,62.456,1.909,0.818,
2020-06-07,2.0,18.571,0.0,0.429,3.818,35.455,0.0,0.818,
2020-06-08,13.0,12.429,0.0,0.286,24.819,23.728,0.0,0.545,
2020-06-09,26.0,14.429,0.0,0.143,49.637,27.546,0.0,0.273,
2020-06-10,20.0,16.0,0.0,0.143,38.183,30.546,0.0,0.273,
2020-06-11,14.0,14.857,0.0,0.143,26.728,28.364,0.0,0.273,
2020-06-12,27.0,17.143,0.0,0.143,51.547,32.728,0.0,0.273,
2020-06-13,10.0,16.0,0.0,0.0,19.091,30.546,0.0,0.0,
2020-06-14,22.0,18.857,0.0,0.0,42.001,36.001,0.0,0.0,
2020-06-15,30.0,21.286,0.0,0.0,57.274,40.637,0.0,0.0,
2020-06-16,29.0,21.714,0.0,0.0,55.365,41.455,0.0,0.0,
2020-06-17,26.0,22.571,0.0,0.0,49.637,43.092,0.0,0.0,
2020-06-18,17.0,23.0,0.0,0.0,32.455,43.91,0.0,0.0,
2020-06-19,13.0,21.0,0.0,0.0,24.819,40.092,0.0,0.0,
2020-06-20,37.0,24.857,0.0,0.0,70.638,47.456,0.0,0.0,
2020-06-21,16.0,24.0,0.0,0.0,30.546,45.819,0.0,0.0,
2020-06-22,14.0,21.714,0.0,0.0,26.728,41.455,0.0,0.0,
2020-06-23,21.0,20.571,0.0,0.0,40.092,39.274,0.0,0.0,
2020-06-24,23.0,20.143,0.0,0.0,43.91,38.455,0.0,0.0,
2020-06-25,16.0,20.0,0.0,0.0,30.546,38.183,0.0,0.0,
2020-06-26,6.0,19.0,0.0,0.0,11.455,36.274,0.0,0.0,
2020-06-27,22.0,16.857,0.0,0.0,42.001,32.183,0.0,0.0,
2020-06-28,19.0,17.286,0.0,0.0,36.274,33.001,0.0,0.0,
2020-06-29,13.0,17.143,0.0,0.0,24.819,32.728,0.0,0.0,
2020-06-30,24.0,17.571,1.0,0.143,45.819,33.546,1.909,0.273,
2020-07-01,21.0,17.286,0.0,0.143,40.092,33.001,0.0,0.273,
2020-07-02,18.0,17.571,1.0,0.286,34.364,33.546,1.909,0.545,
2020-07-03,10.0,18.143,0.0,0.286,19.091,34.637,0.0,0.545,
2020-07-04,25.0,18.571,0.0,0.286,47.728,35.455,0.0,0.545,
2020-07-05,33.0,20.571,1.0,0.429,63.001,39.274,1.909,0.818,
2020-07-06,23.0,22.0,1.0,0.571,43.91,42.001,1.909,1.091,
2020-07-07,10.0,20.0,0.0,0.429,19.091,38.183,0.0,0.818,
2020-07-08,16.0,19.286,1.0,0.571,30.546,36.819,1.909,1.091,
2020-07-09,36.0,21.857,0.0,0.429,68.729,41.728,0.0,0.818,
2020-07-10,64.0,29.571,0.0,0.429,122.185,56.456,0.0,0.818,
2020-07-11,47.0,32.714,0.0,0.429,89.729,62.456,0.0,0.818,
2020-07-12,67.0,37.571,0.0,0.286,127.912,71.729,0.0,0.545,
2020-07-13,31.0,38.714,0.0,0.143,59.183,73.911,0.0,0.273,
2020-07-14,39.0,42.857,1.0,0.286,74.456,81.82,1.909,0.545,
2020-07-15,30.0,44.857,0.0,0.143,57.274,85.638,0.0,0.273,
2020-07-16,68.0,49.429,1.0,0.286,129.821,94.366,1.909,0.545,
2020-07-17,14.0,42.286,0.0,0.286,26.728,80.729,0.0,0.545,
2020-07-18,17.0,38.0,0.0,0.286,32.455,72.547,0.0,0.545,
2020-07-19,36.0,33.571,0.0,0.286,68.729,64.092,0.0,0.545,
2020-07-20,33.0,33.857,0.0,0.286,63.001,64.638,0.0,0.545,
2020-07-21,45.0,34.714,0.0,0.143,85.911,66.274,0.0,0.273,
2020-07-22,59.0,38.857,0.0,0.143,112.639,74.183,0.0,0.273,
2020-07-23,17.0,31.571,0.0,0.0,32.455,60.274,0.0,0.0,
2020-07-24,55.0,37.429,0.0,0.0,105.002,71.456,0.0,0.0,
2020-07-25,77.0,46.0,0.0,0.0,147.003,87.82,0.0,0.0,
2020-07-26,50.0,48.0,0.0,0.0,95.457,91.638,0.0,0.0,
2020-07-27,67.0,52.857,0.0,0.0,127.912,100.911,0.0,0.0,
2020-07-28,137.0,66.0,0.0,0.0,261.551,126.003,0.0,0.0,
2020-07-29,61.0,66.286,0.0,0.0,116.457,126.548,0.0,0.0,
2020-07-30,152.0,85.571,1.0,0.143,290.188,163.367,1.909,0.273,
2020-07-31,74.0,88.286,0.0,0.143,141.276,168.549,0.0,0.273,
2020-08-01,156.0,99.571,1.0,0.286,297.825,190.095,1.909,0.545,
2020-08-02,215.0,123.143,1.0,0.429,410.464,235.096,1.909,0.818,
2020-08-03,129.0,132.0,0.0,0.429,246.278,252.006,0.0,0.818,
2020-08-04,153.0,134.286,1.0,0.571,292.097,256.369,1.909,1.091,
2020-08-05,148.0,146.714,0.0,0.571,282.552,280.097,0.0,1.091,
2020-08-06,86.0,137.286,0.0,0.429,164.185,262.097,0.0,0.818,
2020-08-07,89.0,139.429,0.0,0.429,169.913,266.188,0.0,0.818,
2020-08-08,129.0,135.571,0.0,0.286,246.278,258.824,0.0,0.545,
2020-08-09,143.0,125.286,0.0,0.143,273.006,239.187,0.0,0.273,
2020-08-10,116.0,123.429,0.0,0.143,221.459,235.642,0.0,0.273,
2020-08-11,66.0,111.0,1.0,0.143,126.003,211.914,1.909,0.273,
2020-08-12,143.0,110.286,1.0,0.286,273.006,210.55,1.909,0.545,
2020-08-13,128.0,116.286,0.0,0.286,244.369,222.005,0.0,0.545,
2020-08-14,78.0,114.714,1.0,0.429,148.912,219.005,1.909,0.818,
2020-08-15,107.0,111.571,0.0,0.429,204.277,213.005,0.0,0.818,
2020-08-16,106.0,106.286,0.0,0.429,202.368,202.914,0.0,0.818,
2020-08-17,124.0,107.429,1.0,0.571,236.732,205.095,1.909,1.091,
2020-08-18,170.0,122.286,1.0,0.571,324.553,233.46,1.909,1.091,
2020-08-19,146.0,122.714,0.0,0.429,278.733,234.278,0.0,0.818,
2020-08-20,145.0,125.143,0.0,0.429,276.824,238.914,0.0,0.818,
2020-08-21,194.0,141.714,2.0,0.571,370.372,270.551,3.818,1.091,
2020-08-22,96.0,140.143,0.0,0.571,183.277,267.551,0.0,1.091,
2020-08-23,119.0,142.0,0.0,0.571,227.187,271.097,0.0,1.091,
2020-08-24,133.0,143.286,1.0,0.571,253.915,273.551,1.909,1.091,
2020-08-25,135.0,138.286,1.0,0.571,257.733,264.006,1.909,1.091,
2020-08-26,178.0,142.857,0.0,0.571,339.826,272.733,0.0,1.091,
2020-08-27,104.0,137.0,0.0,0.571,198.55,261.551,0.0,1.091,
2020-08-28,140.0,129.286,0.0,0.286,267.279,246.824,0.0,0.545,
2020-08-29,109.0,131.143,0.0,0.286,208.095,250.369,0.0,0.545,
2020-08-30,89.0,126.857,0.0,0.286,169.913,242.187,0.0,0.545,
2020-08-31,137.0,127.429,0.0,0.143,261.551,243.278,0.0,0.273,
2020-09-01,199.0,136.571,1.0,0.143,379.917,260.733,1.909,0.273,
2020-09-02,137.0,130.714,0.0,0.143,261.551,249.551,0.0,0.273,
2020-09-03,141.0,136.0,0.0,0.143,269.188,259.642,0.0,0.273,
2020-09-04,80.0,127.429,0.0,0.143,152.731,243.278,0.0,0.273,
2020-09-05,125.0,129.714,0.0,0.143,238.642,247.642,0.0,0.273,
2020-09-06,98.0,131.0,0.0,0.143,187.095,250.096,0.0,0.273,
2020-09-07,83.0,123.286,0.0,0.143,158.458,235.369,0.0,0.273,
2020-09-08,74.0,105.429,0.0,0.0,141.276,201.277,0.0,0.0,
2020-09-09,93.0,99.143,2.0,0.286,177.549,189.277,3.818,0.545,
2020-09-10,66.0,88.429,0.0,0.286,126.003,168.822,0.0,0.545,
2020-09-11,90.0,89.857,0.0,0.286,171.822,171.549,0.0,0.545,
2020-09-12,62.0,80.857,0.0,0.286,118.366,154.367,0.0,0.545,
2020-09-13,121.0,84.143,1.0,0.429,231.005,160.64,1.909,0.818,
2020-09-14,70.0,82.286,1.0,0.571,133.639,157.094,1.909,1.091,
2020-09-15,85.0,83.857,0.0,0.571,162.276,160.094,0.0,1.091,
2020-09-16,99.0,84.714,0.0,0.286,189.004,161.731,0.0,0.545,
2020-09-17,67.0,84.857,0.0,0.286,127.912,162.004,0.0,0.545,
2020-09-18,74.0,82.571,0.0,0.286,141.276,157.64,0.0,0.545,
2020-09-19,81.0,85.286,0.0,0.286,154.64,162.822,0.0,0.545,
2020-09-20,75.0,78.714,0.0,0.143,143.185,150.276,0.0,0.273,
2020-09-21,46.0,75.286,1.0,0.143,87.82,143.73,1.909,0.273,
2020-09-22,48.0,70.0,0.0,0.143,91.638,133.639,0.0,0.273,
2020-09-23,67.0,65.429,0.0,0.143,127.912,124.912,0.0,0.273,
2020-09-24,54.0,63.571,0.0,0.143,103.093,121.366,0.0,0.273,
2020-09-25,75.0,63.714,0.0,0.143,143.185,121.639,0.0,0.273,
2020-09-26,31.0,56.571,0.0,0.143,59.183,108.002,0.0,0.273,
2020-09-27,53.0,53.429,0.0,0.143,101.184,102.002,0.0,0.273,
2020-09-28,59.0,55.286,0.0,0.0,112.639,105.548,0.0,0.0,
2020-09-29,37.0,53.714,0.0,0.0,70.638,102.548,0.0,0.0,
2020-09-30,97.0,58.0,0.0,0.0,185.186,110.73,0.0,0.0,
2020-10-01,63.0,59.286,0.0,0.0,120.275,113.184,0.0,0.0,
2020-10-02,44.0,54.857,0.0,0.0,84.002,104.73,0.0,0.0,
2020-10-03,67.0,60.0,0.0,0.0,127.912,114.548,0.0,0.0,
2020-10-04,65.0,61.714,0.0,0.0,124.094,117.821,0.0,0.0,
2020-10-05,37.0,58.571,0.0,0.0,70.638,111.821,0.0,0.0,
2020-10-06,54.0,61.0,0.0,0.0,103.093,116.457,0.0,0.0,
2020-10-07,35.0,52.143,0.0,0.0,66.82,99.548,0.0,0.0,
2020-10-08,86.0,55.429,0.0,0.0,164.185,105.821,0.0,0.0,
2020-10-09,66.0,58.571,0.0,0.0,126.003,111.821,0.0,0.0,
2020-10-10,51.0,56.286,0.0,0.0,97.366,107.457,0.0,0.0,
2020-10-11,35.0,52.0,1.0,0.143,66.82,99.275,1.909,0.273,
2020-10-12,49.0,53.714,0.0,0.143,93.548,102.548,0.0,0.273,
2020-10-13,50.0,53.143,0.0,0.143,95.457,101.457,0.0,0.273,
2020-10-14,69.0,58.0,0.0,0.143,131.73,110.73,0.0,0.273,
2020-10-15,51.0,53.0,0.0,0.143,97.366,101.184,0.0,0.273,
2020-10-16,41.0,49.429,0.0,0.143,78.274,94.366,0.0,0.273,
2020-10-17,24.0,45.571,1.0,0.286,45.819,87.002,1.909,0.545,
2020-10-18,32.0,45.143,1.0,0.286,61.092,86.184,1.909,0.545,
2020-10-19,22.0,41.286,0.0,0.286,42.001,78.82,0.0,0.545,
2020-10-20,39.0,39.714,0.0,0.286,74.456,75.82,0.0,0.545,
2020-10-21,45.0,36.286,0.0,0.286,85.911,69.274,0.0,0.545,
2020-10-22,42.0,35.0,0.0,0.286,80.184,66.82,0.0,0.545,
2020-10-23,33.0,33.857,0.0,0.286,63.001,64.638,0.0,0.545,
2020-10-24,30.0,34.714,0.0,0.143,57.274,66.274,0.0,0.273,
2020-10-25,84.0,42.143,0.0,0.0,160.367,80.456,0.0,0.0,
2020-10-26,27.0,42.857,0.0,0.0,51.547,81.82,0.0,0.0,
2020-10-27,35.0,42.286,0.0,0.0,66.82,80.729,0.0,0.0,
2020-10-28,24.0,39.286,0.0,0.0,45.819,75.002,0.0,0.0,
2020-10-29,25.0,36.857,0.0,0.0,47.728,70.365,0.0,0.0,
2020-10-30,27.0,36.0,0.0,0.0,51.547,68.729,0.0,0.0,
2020-10-31,16.0,34.0,1.0,0.143,30.546,64.911,1.909,0.273,
2020-11-01,42.0,28.0,0.0,0.143,80.184,53.456,0.0,0.273,
2020-11-02,36.0,29.286,0.0,0.143,68.729,55.91,0.0,0.273,
2020-11-03,59.0,32.714,0.0,0.143,112.639,62.456,0.0,0.273,
2020-11-04,26.0,33.0,0.0,0.143,49.637,63.001,0.0,0.273,
2020-11-05,71.0,39.571,0.0,0.143,135.548,75.547,0.0,0.273,
2020-11-06,39.0,41.286,1.0,0.286,74.456,78.82,1.909,0.545,
2020-11-07,30.0,43.286,0.0,0.143,57.274,82.638,0.0,0.273,
2020-11-08,24.0,40.714,0.0,0.143,45.819,77.729,0.0,0.273,
2020-11-09,23.0,38.857,1.0,0.286,43.91,74.183,1.909,0.545,
2020-11-10,21.0,33.429,1.0,0.429,40.092,63.82,1.909,0.818,
2020-11-11,29.0,33.857,0.0,0.429,55.365,64.638,0.0,0.818,
2020-11-12,26.0,27.429,0.0,0.429,49.637,52.365,0.0,0.818,
2020-11-13,27.0,25.714,0.0,0.286,51.547,49.092,0.0,0.545,
2020-11-14,42.0,27.429,1.0,0.429,80.184,52.365,1.909,0.818,
2020-11-15,50.0,31.143,1.0,0.571,95.457,59.456,1.909,1.091,
2020-11-16,110.0,43.571,1.0,0.571,210.005,83.184,1.909,1.091,
2020-11-17,41.0,46.429,1.0,0.571,78.274,88.638,1.909,1.091,
2020-11-18,29.0,46.429,0.0,0.571,55.365,88.638,0.0,1.091,
2020-11-19,68.0,52.429,0.0,0.571,129.821,100.093,0.0,1.091,
2020-11-20,94.0,62.0,0.0,0.571,179.458,118.366,0.0,1.091,
2020-11-21,32.0,60.571,0.0,0.429,61.092,115.639,0.0,0.818,
2020-11-22,30.0,57.714,1.0,0.429,57.274,110.184,1.909,0.818,
2020-11-23,150.0,63.429,0.0,0.286,286.37,121.094,0.0,0.545,
2020-11-24,52.0,65.0,0.0,0.143,99.275,124.094,0.0,0.273,
2020-11-25,44.0,67.143,0.0,0.143,84.002,128.185,0.0,0.273,
2020-11-26,35.0,62.429,0.0,0.143,66.82,119.184,0.0,0.273,
2020-11-27,44.0,55.286,0.0,0.143,84.002,105.548,0.0,0.273,
2020-11-28,14.0,52.714,0.0,0.143,26.728,100.639,0.0,0.273,
2020-11-29,47.0,55.143,0.0,0.0,89.729,105.275,0.0,0.0,
2020-11-30,17.0,36.143,0.0,0.0,32.455,69.002,0.0,0.0,
2020-12-01,38.0,34.143,1.0,0.143,72.547,65.183,1.909,0.273,
2020-12-02,21.0,30.857,0.0,0.143,40.092,58.91,0.0,0.273,
2020-12-03,36.0,31.0,0.0,0.143,68.729,59.183,0.0,0.273,
2020-12-04,37.0,30.0,0.0,0.143,70.638,57.274,0.0,0.273,
2020-12-05,16.0,30.286,0.0,0.143,30.546,57.819,0.0,0.273,
2020-12-06,39.0,29.143,0.0,0.143,74.456,55.638,0.0,0.273,
2020-12-07,15.0,28.857,0.0,0.143,28.637,55.092,0.0,0.273,
2020-12-08,35.0,28.429,0.0,0.0,66.82,54.274,0.0,0.0,
2020-12-09,26.0,29.143,0.0,0.0,49.637,55.638,0.0,0.0,
2020-12-10,34.0,28.857,0.0,0.0,64.911,55.092,0.0,0.0,
2020-12-11,18.0,26.143,1.0,0.143,34.364,49.91,1.909,0.273,
2020-12-12,22.0,27.0,0.0,0.143,42.001,51.547,0.0,0.273,
2020-12-13,20.0,24.286,0.0,0.143,38.183,46.365,0.0,0.273,
2020-12-14,11.0,23.714,0.0,0.143,21.0,45.274,0.0,0.273,
2020-12-15,13.0,20.571,0.0,0.143,24.819,39.274,0.0,0.273,
2020-12-16,10.0,18.286,0.0,0.143,19.091,34.91,0.0,0.273,
2020-12-17,16.0,15.714,0.0,0.143,30.546,30.001,0.0,0.273,
2020-12-18,26.0,16.857,0.0,0.0,49.637,32.183,0.0,0.0,
2020-12-19,30.0,18.0,0.0,0.0,57.274,34.364,0.0,0.0,
2020-12-20,19.0,17.857,0.0,0.0,36.274,34.092,0.0,0.0,
2020-12-21,8.0,17.429,0.0,0.0,15.273,33.273,0.0,0.0,
2020-12-22,23.0,18.857,0.0,0.0,43.91,36.001,0.0,0.0,
2020-12-23,13.0,19.286,0.0,0.0,24.819,36.819,0.0,0.0,
2020-12-24,21.0,20.0,0.0,0.0,40.092,38.183,0.0,0.0,
2020-12-25,25.0,19.857,0.0,0.0,47.728,37.91,0.0,0.0,
2020-12-26,35.0,20.571,0.0,0.0,66.82,39.274,0.0,0.0,
2020-12-27,26.0,21.571,0.0,0.0,49.637,41.183,0.0,0.0,
2020-12-28,16.0,22.714,0.0,0.0,30.546,43.365,0.0,0.0,
2020-12-29,31.0,23.857,0.0,0.0,59.183,45.546,0.0,0.0,
2020-12-30,47.0,28.714,0.0,0.0,89.729,54.819,0.0,0.0,
2020-12-31,19.0,28.429,0.0,0.0,36.274,54.274,0.0,0.0,
2021-01-01,47.0,31.571,0.0,0.0,89.729,60.274,0.0,0.0,
2021-01-02,30.0,30.857,0.0,0.0,57.274,58.91,0.0,0.0,
2021-01-03,33.0,31.857,0.0,0.0,63.001,60.82,0.0,0.0,
2021-01-04,26.0,33.286,0.0,0.0,49.637,63.547,0.0,0.0,
2021-01-05,37.0,34.143,0.0,0.0,70.638,65.183,0.0,0.0,
2021-01-06,37.0,32.714,0.0,0.0,70.638,62.456,0.0,0.0,
2021-01-07,21.0,33.0,1.0,0.143,40.092,63.001,1.909,0.273,
2021-01-08,52.0,33.714,0.0,0.143,99.275,64.365,0.0,0.273,
2021-01-09,25.0,33.0,0.0,0.143,47.728,63.001,0.0,0.273,
2021-01-10,44.0,34.571,0.0,0.143,84.002,66.001,0.0,0.273,
2021-01-11,50.0,38.0,0.0,0.143,95.457,72.547,0.0,0.273,
2021-01-12,59.0,41.143,0.0,0.143,112.639,78.547,0.0,0.273,
2021-01-13,59.0,44.286,0.0,0.143,112.639,84.547,0.0,0.273,
2021-01-14,48.0,48.143,0.0,0.0,91.638,91.911,0.0,0.0,
2021-01-15,50.0,47.857,0.0,0.0,95.457,91.366,0.0,0.0,
2021-01-16,51.0,51.571,0.0,0.0,97.366,98.457,0.0,0.0,
2021-01-17,87.0,57.714,0.0,0.0,166.095,110.184,0.0,0.0,
2021-01-18,69.0,60.429,0.0,0.0,131.73,115.366,0.0,0.0,
2021-01-19,51.0,59.286,0.0,0.0,97.366,113.184,0.0,0.0,
2021-01-20,79.0,62.143,0.0,0.0,150.821,118.639,0.0,0.0,
2021-01-21,53.0,62.857,1.0,0.143,101.184,120.003,1.909,0.273,
2021-01-22,65.0,65.0,0.0,0.143,124.094,124.094,0.0,0.273,
2021-01-23,55.0,65.571,0.0,0.143,105.002,125.185,0.0,0.273,
2021-01-24,108.0,68.571,1.0,0.286,206.186,130.912,1.909,0.545,
2021-01-25,109.0,74.286,0.0,0.286,208.095,141.821,0.0,0.545,
