time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-25,2.0,,,,0.089,,,,75.0
2020-03-26,2.0,,,,0.089,,,,75.0
2020-03-27,7.0,,,,0.31,,,,75.0
2020-03-28,7.0,,,,0.31,,,,75.0
2020-03-29,0.0,,1.0,,0.0,,0.044,,75.0
2020-03-30,7.0,3.571,1.0,,0.31,0.158,0.044,,75.0
2020-03-31,3.0,4.0,0.0,,0.133,0.177,0.0,,75.0
2020-04-01,3.0,4.143,1.0,,0.133,0.183,0.044,,75.0
2020-04-02,5.0,4.571,0.0,,0.221,0.202,0.0,,75.0
2020-04-03,3.0,4.0,0.0,0.429,0.133,0.177,0.0,0.019,75.0
2020-04-04,2.0,3.286,0.0,0.429,0.089,0.145,0.0,0.019,75.0
2020-04-05,4.0,3.857,2.0,0.571,0.177,0.171,0.089,0.025,75.0
2020-04-06,2.0,3.143,0.0,0.429,0.089,0.139,0.0,0.019,75.0
2020-04-07,9.0,4.0,0.0,0.429,0.398,0.177,0.0,0.019,75.0
2020-04-08,3.0,4.0,2.0,0.571,0.133,0.177,0.089,0.025,75.0
2020-04-09,15.0,5.429,0.0,0.571,0.664,0.24,0.0,0.025,75.0
2020-04-10,13.0,6.857,0.0,0.571,0.575,0.303,0.0,0.025,75.0
2020-04-11,0.0,6.571,0.0,0.571,0.0,0.291,0.0,0.025,75.0
2020-04-12,18.0,8.571,2.0,0.571,0.797,0.379,0.089,0.025,75.0
2020-04-13,18.0,10.857,1.0,0.714,0.797,0.481,0.044,0.032,75.0
2020-04-14,21.0,12.571,3.0,1.143,0.929,0.556,0.133,0.051,75.0
2020-04-15,4.0,12.714,0.0,0.857,0.177,0.563,0.0,0.038,75.0
2020-04-16,23.0,13.857,0.0,0.857,1.018,0.613,0.0,0.038,75.0
2020-04-17,0.0,12.0,0.0,0.857,0.0,0.531,0.0,0.038,75.0
2020-04-18,45.0,18.429,0.0,0.857,1.992,0.816,0.0,0.038,75.0
2020-04-19,8.0,17.0,1.0,0.714,0.354,0.752,0.044,0.032,75.0
2020-04-20,22.0,17.571,0.0,0.571,0.974,0.778,0.0,0.025,75.0
2020-04-21,12.0,16.286,0.0,0.143,0.531,0.721,0.0,0.006,75.0
2020-04-22,35.0,20.714,3.0,0.571,1.549,0.917,0.133,0.025,75.0
2020-04-23,16.0,19.714,4.0,1.143,0.708,0.873,0.177,0.051,75.0
2020-04-24,16.0,22.0,0.0,1.143,0.708,0.974,0.0,0.051,75.0
2020-04-25,45.0,22.0,0.0,1.143,1.992,0.974,0.0,0.051,75.0
2020-04-26,19.0,23.571,2.0,1.286,0.841,1.043,0.089,0.057,75.0
2020-04-27,19.0,23.143,0.0,1.286,0.841,1.024,0.0,0.057,75.0
2020-04-28,16.0,23.714,1.0,1.429,0.708,1.05,0.044,0.063,75.0
2020-04-29,58.0,27.0,1.0,1.143,2.567,1.195,0.044,0.051,75.0
2020-04-30,8.0,25.857,1.0,0.714,0.354,1.144,0.044,0.032,75.0
2020-05-01,18.0,26.143,0.0,0.714,0.797,1.157,0.0,0.032,69.44
2020-05-02,36.0,24.857,0.0,0.714,1.593,1.1,0.0,0.032,69.44
2020-05-03,19.0,24.857,1.0,0.571,0.841,1.1,0.044,0.025,69.44
2020-05-04,17.0,24.571,2.0,0.857,0.752,1.088,0.089,0.038,69.44
2020-05-05,32.0,26.857,3.0,1.143,1.416,1.189,0.133,0.051,69.44
2020-05-06,19.0,21.286,0.0,1.0,0.841,0.942,0.0,0.044,69.44
2020-05-07,19.0,22.857,0.0,0.857,0.841,1.012,0.0,0.038,69.44
2020-05-08,18.0,22.857,3.0,1.286,0.797,1.012,0.133,0.057,69.44
2020-05-09,24.0,21.143,2.0,1.571,1.062,0.936,0.089,0.07,69.44
2020-05-10,12.0,20.143,1.0,1.571,0.531,0.892,0.044,0.07,56.48
2020-05-11,8.0,18.857,1.0,1.429,0.354,0.835,0.044,0.063,56.48
2020-05-12,18.0,16.857,1.0,1.143,0.797,0.746,0.044,0.051,56.48
2020-05-13,28.0,18.143,4.0,1.714,1.239,0.803,0.177,0.076,56.48
2020-05-14,21.0,18.429,2.0,2.0,0.929,0.816,0.089,0.089,56.48
2020-05-15,27.0,19.714,0.0,1.571,1.195,0.873,0.0,0.07,56.48
2020-05-16,29.0,20.429,2.0,1.571,1.284,0.904,0.089,0.07,56.48
2020-05-17,25.0,22.286,4.0,2.0,1.107,0.986,0.177,0.089,56.48
2020-05-18,14.0,23.143,0.0,1.857,0.62,1.024,0.0,0.082,56.48
2020-05-19,27.0,24.429,1.0,1.857,1.195,1.081,0.044,0.082,56.48
2020-05-20,30.0,24.714,2.0,1.571,1.328,1.094,0.089,0.07,56.48
2020-05-21,16.0,24.0,5.0,2.0,0.708,1.062,0.221,0.089,56.48
2020-05-22,22.0,23.286,2.0,2.286,0.974,1.031,0.089,0.101,56.48
2020-05-23,46.0,25.714,1.0,2.143,2.036,1.138,0.044,0.095,56.48
2020-05-24,15.0,24.286,2.0,1.857,0.664,1.075,0.089,0.082,56.48
2020-05-25,29.0,26.429,2.0,2.143,1.284,1.17,0.089,0.095,56.48
2020-05-26,18.0,25.143,3.0,2.429,0.797,1.113,0.133,0.107,56.48
2020-05-27,39.0,26.429,0.0,2.143,1.726,1.17,0.0,0.095,56.48
2020-05-28,78.0,35.286,2.0,1.714,3.452,1.562,0.089,0.076,56.48
2020-05-29,32.0,36.714,1.0,1.571,1.416,1.625,0.044,0.07,56.48
2020-05-30,24.0,33.571,3.0,1.857,1.062,1.486,0.133,0.082,56.48
2020-05-31,15.0,33.571,1.0,1.714,0.664,1.486,0.044,0.076,56.48
2020-06-01,50.0,36.571,1.0,1.571,2.213,1.619,0.044,0.07,56.48
2020-06-02,36.0,39.143,0.0,1.143,1.593,1.732,0.0,0.051,52.78
2020-06-03,35.0,38.571,1.0,1.286,1.549,1.707,0.044,0.057,52.78
2020-06-04,75.0,38.143,6.0,1.857,3.32,1.688,0.266,0.082,52.78
2020-06-05,24.0,37.0,2.0,2.0,1.062,1.638,0.089,0.089,52.78
2020-06-06,38.0,39.0,3.0,2.0,1.682,1.726,0.133,0.089,52.78
2020-06-07,10.0,38.286,0.0,1.857,0.443,1.695,0.0,0.082,52.78
2020-06-08,14.0,33.143,2.0,2.0,0.62,1.467,0.089,0.089,52.78
2020-06-09,39.0,33.571,2.0,2.286,1.726,1.486,0.089,0.101,52.78
2020-06-10,81.0,40.143,2.0,2.429,3.585,1.777,0.089,0.107,52.78
2020-06-11,55.0,37.286,1.0,1.714,2.434,1.65,0.044,0.076,52.78
2020-06-12,30.0,38.143,4.0,2.0,1.328,1.688,0.177,0.089,52.78
2020-06-13,24.0,36.143,3.0,2.0,1.062,1.6,0.133,0.089,52.78
2020-06-14,33.0,39.429,0.0,2.0,1.461,1.745,0.0,0.089,52.78
2020-06-15,51.0,44.714,0.0,1.714,2.257,1.979,0.0,0.076,52.78
2020-06-16,25.0,42.714,0.0,1.429,1.107,1.891,0.0,0.063,52.78
2020-06-17,5.0,31.857,3.0,1.571,0.221,1.41,0.133,0.07,52.78
2020-06-18,16.0,26.286,0.0,1.429,0.708,1.163,0.0,0.063,52.78
2020-06-19,17.0,24.429,1.0,1.0,0.752,1.081,0.044,0.044,52.78
