time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-18,3.0,,,,2.309,,,,5.56
2020-03-19,0.0,,,,0.0,,,,22.22
2020-03-20,4.0,,,,3.078,,,,50.0
2020-03-21,5.0,,,,3.848,,,,50.0
2020-03-22,2.0,,,,1.539,,,,50.0
2020-03-23,10.0,3.429,,,7.695,2.638,,,71.3
2020-03-24,12.0,5.143,,,9.234,3.958,,,71.3
2020-03-25,6.0,5.571,2.0,,4.617,4.287,1.539,,71.3
2020-03-26,6.0,6.429,0.0,,4.617,4.947,0.0,,82.41
2020-03-27,34.0,10.714,0.0,,26.164,8.245,0.0,,82.41
2020-03-28,12.0,11.714,0.0,,9.234,9.015,0.0,,82.41
2020-03-29,8.0,12.571,0.0,,6.156,9.674,0.0,,82.41
2020-03-30,5.0,11.857,0.0,0.286,3.848,9.125,0.0,0.22,82.41
2020-03-31,18.0,12.714,1.0,0.429,13.852,9.784,0.77,0.33,82.41
2020-04-01,18.0,14.429,2.0,0.429,13.852,11.103,1.539,0.33,82.41
2020-04-02,11.0,15.143,0.0,0.429,8.465,11.653,0.0,0.33,82.41
2020-04-03,17.0,12.714,2.0,0.714,13.082,9.784,1.539,0.55,82.41
2020-04-04,15.0,13.143,0.0,0.714,11.543,10.114,0.0,0.55,82.41
2020-04-05,10.0,13.429,0.0,0.714,7.695,10.334,0.0,0.55,82.41
2020-04-06,31.0,17.143,0.0,0.714,23.856,13.192,0.0,0.55,82.41
2020-04-07,17.0,17.0,0.0,0.571,13.082,13.082,0.0,0.44,82.41
2020-04-08,24.0,17.857,0.0,0.286,18.469,13.742,0.0,0.22,82.41
2020-04-09,5.0,17.0,0.0,0.286,3.848,13.082,0.0,0.22,82.41
2020-04-10,41.0,20.429,0.0,0.0,31.551,15.721,0.0,0.0,82.41
2020-04-11,4.0,18.857,2.0,0.286,3.078,14.511,1.539,0.22,82.41
2020-04-12,1.0,17.571,0.0,0.286,0.77,13.522,0.0,0.22,82.41
2020-04-13,5.0,13.857,0.0,0.286,3.848,10.664,0.0,0.22,82.41
2020-04-14,0.0,11.429,0.0,0.286,0.0,8.795,0.0,0.22,82.41
2020-04-15,0.0,8.0,0.0,0.286,0.0,6.156,0.0,0.22,82.41
2020-04-16,0.0,7.286,0.0,0.286,0.0,5.607,0.0,0.22,82.41
2020-04-17,0.0,1.429,0.0,0.286,0.0,1.099,0.0,0.22,82.41
2020-04-18,0.0,0.857,0.0,0.0,0.0,0.66,0.0,0.0,82.41
2020-04-19,1.0,0.857,0.0,0.0,0.77,0.66,0.0,0.0,82.41
2020-04-20,3.0,0.571,0.0,0.0,2.309,0.44,0.0,0.0,82.41
2020-04-21,0.0,0.571,0.0,0.0,0.0,0.44,0.0,0.0,82.41
2020-04-22,0.0,0.571,0.0,0.0,0.0,0.44,0.0,0.0,82.41
2020-04-23,1.0,0.714,0.0,0.0,0.77,0.55,0.0,0.0,82.41
2020-04-24,2.0,1.0,0.0,0.0,1.539,0.77,0.0,0.0,82.41
2020-04-25,0.0,1.0,0.0,0.0,0.0,0.77,0.0,0.0,82.41
2020-04-26,0.0,0.857,0.0,0.0,0.0,0.66,0.0,0.0,82.41
2020-04-27,1.0,0.571,0.0,0.0,0.77,0.44,0.0,0.0,82.41
2020-04-28,0.0,0.571,0.0,0.0,0.0,0.44,0.0,0.0,82.41
2020-04-29,0.0,0.571,1.0,0.143,0.0,0.44,0.77,0.11,82.41
