time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-17,2.0,,,,3.189,,,,
2020-03-18,0.0,,,,0.0,,,,
2020-03-19,1.0,,,,1.595,,,,
2020-03-20,11.0,,,,17.542,,,,
2020-03-21,0.0,,,,0.0,,,,
2020-03-22,7.0,3.0,,,11.163,4.784,,,
2020-03-23,6.0,3.857,1.0,,9.568,6.151,1.595,,
2020-03-24,20.0,6.429,0.0,,31.894,10.252,0.0,,
2020-03-25,5.0,7.143,0.0,,7.973,11.391,0.0,,
2020-03-26,17.0,9.429,0.0,,27.11,15.036,0.0,,
2020-03-27,13.0,9.714,0.0,,20.731,15.491,0.0,,
2020-03-28,2.0,10.0,0.0,0.143,3.189,15.947,0.0,0.228,
2020-03-29,1.0,9.143,0.0,0.143,1.595,14.58,0.0,0.228,
2020-03-30,6.0,9.143,0.0,0.0,9.568,14.58,0.0,0.0,
2020-03-31,18.0,8.857,1.0,0.143,28.704,14.124,1.595,0.228,
2020-04-01,14.0,10.143,0.0,0.143,22.326,16.175,0.0,0.228,
2020-04-02,21.0,10.714,0.0,0.143,33.488,17.086,0.0,0.228,
2020-04-03,30.0,13.143,0.0,0.143,47.841,20.959,0.0,0.228,
2020-04-04,27.0,16.714,0.0,0.143,43.057,26.654,0.0,0.228,
2020-04-05,13.0,18.429,0.0,0.143,20.731,29.388,0.0,0.228,
2020-04-06,19.0,20.286,0.0,0.143,30.299,32.349,0.0,0.228,
2020-04-07,8.0,18.857,0.0,0.0,12.758,30.071,0.0,0.0,
2020-04-08,7.0,17.857,0.0,0.0,11.163,28.477,0.0,0.0,
2020-04-09,4.0,15.429,0.0,0.0,6.379,24.604,0.0,0.0,
2020-04-10,3.0,11.571,0.0,0.0,4.784,18.453,0.0,0.0,
2020-04-11,8.0,8.857,0.0,0.0,12.758,14.124,0.0,0.0,
2020-04-12,9.0,8.286,1.0,0.143,14.352,13.213,1.595,0.228,
2020-04-13,2.0,5.857,0.0,0.143,3.189,9.34,0.0,0.228,
2020-04-14,9.0,6.0,1.0,0.286,14.352,9.568,1.595,0.456,
2020-04-15,5.0,5.714,0.0,0.286,7.973,9.113,0.0,0.456,
2020-04-16,15.0,7.286,0.0,0.286,23.92,11.618,0.0,0.456,
2020-04-17,0.0,6.857,1.0,0.429,0.0,10.935,1.595,0.683,
2020-04-18,4.0,6.286,0.0,0.429,6.379,10.024,0.0,0.683,
2020-04-19,1.0,5.143,0.0,0.286,1.595,8.201,0.0,0.456,
2020-04-20,4.0,5.429,0.0,0.286,6.379,8.657,0.0,0.456,
2020-04-21,1.0,4.286,0.0,0.143,1.595,6.834,0.0,0.228,
2020-04-22,2.0,3.857,0.0,0.143,3.189,6.151,0.0,0.228,
2020-04-23,1.0,1.857,0.0,0.143,1.595,2.962,0.0,0.228,
2020-04-24,3.0,2.286,1.0,0.143,4.784,3.645,1.595,0.228,
2020-04-25,1.0,1.857,0.0,0.143,1.595,2.962,0.0,0.228,
2020-04-26,1.0,1.857,1.0,0.286,1.595,2.962,1.595,0.456,
2020-04-27,0.0,1.286,0.0,0.286,0.0,2.05,0.0,0.456,
2020-04-28,0.0,1.143,0.0,0.286,0.0,1.823,0.0,0.456,
2020-04-29,1.0,1.0,0.0,0.286,1.595,1.595,0.0,0.456,
2020-04-30,0.0,0.857,0.0,0.286,0.0,1.367,0.0,0.456,
2020-05-01,0.0,0.429,0.0,0.143,0.0,0.683,0.0,0.228,
2020-05-02,0.0,0.286,1.0,0.286,0.0,0.456,1.595,0.456,
2020-05-03,0.0,0.143,0.0,0.143,0.0,0.228,0.0,0.228,
2020-05-04,1.0,0.286,0.0,0.143,1.595,0.456,0.0,0.228,
2020-05-05,1.0,0.429,0.0,0.143,1.595,0.683,0.0,0.228,
2020-05-06,0.0,0.286,0.0,0.143,0.0,0.456,0.0,0.228,
2020-05-07,0.0,0.286,0.0,0.143,0.0,0.456,0.0,0.228,
2020-05-08,0.0,0.286,0.0,0.143,0.0,0.456,0.0,0.228,
2020-05-09,0.0,0.286,0.0,0.0,0.0,0.456,0.0,0.0,
2020-05-10,0.0,0.286,1.0,0.143,0.0,0.456,1.595,0.228,
2020-05-11,0.0,0.143,0.0,0.143,0.0,0.228,0.0,0.228,
2020-05-12,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.228,
2020-05-13,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.228,
2020-05-14,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.228,
2020-05-15,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.228,
2020-05-16,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.228,
2020-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-06-14,1.0,0.143,0.0,0.0,1.595,0.228,0.0,0.0,
2020-06-15,1.0,0.286,0.0,0.0,1.595,0.456,0.0,0.0,
2020-06-16,0.0,0.286,0.0,0.0,0.0,0.456,0.0,0.0,
2020-06-17,7.0,1.286,0.0,0.0,11.163,2.05,0.0,0.0,
2020-06-18,4.0,1.857,0.0,0.0,6.379,2.962,0.0,0.0,
2020-06-19,18.0,4.429,0.0,0.0,28.704,7.062,0.0,0.0,
2020-06-20,4.0,5.0,0.0,0.0,6.379,7.973,0.0,0.0,
2020-06-21,3.0,5.286,0.0,0.0,4.784,8.429,0.0,0.0,
2020-06-22,5.0,5.857,0.0,0.0,7.973,9.34,0.0,0.0,
2020-06-23,11.0,7.429,0.0,0.0,17.542,11.846,0.0,0.0,
2020-06-24,11.0,8.0,0.0,0.0,17.542,12.758,0.0,0.0,
2020-06-25,25.0,11.0,0.0,0.0,39.867,17.542,0.0,0.0,
2020-06-26,25.0,12.0,0.0,0.0,39.867,19.136,0.0,0.0,
2020-06-27,30.0,15.714,0.0,0.0,47.841,25.059,0.0,0.0,
2020-06-28,12.0,17.0,2.0,0.286,19.136,27.11,3.189,0.456,
2020-06-29,20.0,19.143,0.0,0.286,31.894,30.527,0.0,0.456,
2020-06-30,47.0,24.286,1.0,0.429,74.95,38.728,1.595,0.683,
2020-07-01,28.0,26.714,0.0,0.429,44.651,42.601,0.0,0.683,
2020-07-02,40.0,28.857,0.0,0.429,63.788,46.018,0.0,0.683,
2020-07-03,47.0,32.0,1.0,0.571,74.95,51.03,1.595,0.911,
2020-07-04,57.0,35.857,1.0,0.714,90.897,57.181,1.595,1.139,
2020-07-05,61.0,42.857,0.0,0.429,97.276,68.344,0.0,0.683,
2020-07-06,60.0,48.571,0.0,0.429,95.681,77.456,0.0,0.683,
2020-07-07,66.0,51.286,3.0,0.714,105.249,81.785,4.784,1.139,
2020-07-08,53.0,54.857,0.0,0.714,84.518,87.48,0.0,1.139,
2020-07-09,59.0,57.571,2.0,1.0,94.087,91.808,3.189,1.595,
2020-07-10,0.0,50.857,0.0,0.857,0.0,81.101,0.0,1.367,
2020-07-11,145.0,63.429,4.0,1.286,231.23,101.149,6.379,2.05,
2020-07-12,57.0,62.857,0.0,1.286,90.897,100.238,0.0,2.05,
2020-07-13,66.0,63.714,1.0,1.429,105.249,101.604,1.595,2.278,
2020-07-14,0.0,54.286,0.0,1.0,0.0,86.569,0.0,1.595,
2020-07-15,0.0,46.714,0.0,1.0,0.0,74.495,0.0,1.595,
2020-07-16,0.0,38.286,0.0,0.714,0.0,61.054,0.0,1.139,
2020-07-17,678.0,135.143,2.0,1.0,1081.198,215.511,3.189,1.595,
