time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-07,,,,,,,,,11.11
2020-02-08,,,,,,,,,11.11
2020-02-09,,,,,,,,,11.11
2020-02-10,,,,,,,,,0.0
2020-02-11,,,,,,,,,0.0
2020-02-12,,,,,,,,,0.0
2020-02-13,,,,,,,,,0.0
2020-02-14,,,,,,,,,0.0
2020-02-15,,,,,,,,,0.0
2020-02-16,,,,,,,,,0.0
2020-02-17,,,,,,,,,0.0
2020-02-18,,,,,,,,,0.0
2020-02-19,,,,,,,,,0.0
2020-02-20,,,,,,,,,0.0
2020-02-21,,,,,,,,,0.0
2020-02-22,,,,,,,,,0.0
2020-02-23,,,,,,,,,0.0
2020-02-24,,,,,,,,,0.0
2020-02-25,,,,,,,,,0.0
2020-02-26,,,,,,,,,0.0
2020-02-27,,,,,,,,,0.0
2020-02-28,,,,,,,,,0.0
2020-02-29,,,,,,,,,0.0
2020-03-01,,,,,,,,,0.0
2020-03-02,1.0,,,,0.027,,,,0.0
2020-03-03,0.0,,,,0.0,,,,0.0
2020-03-04,0.0,,,,0.0,,,,5.56
2020-03-05,1.0,,,,0.027,,,,5.56
2020-03-06,0.0,,,,0.0,,,,5.56
2020-03-07,0.0,0.286,,,0.0,0.008,,,5.56
2020-03-08,0.0,0.286,,,0.0,0.008,,,5.56
2020-03-09,0.0,0.143,,,0.0,0.004,,,5.56
2020-03-10,1.0,0.286,1.0,,0.027,0.008,0.027,,5.56
2020-03-11,2.0,0.571,0.0,,0.053,0.015,0.0,,5.56
2020-03-12,1.0,0.571,0.0,,0.027,0.015,0.0,,5.56
2020-03-13,1.0,0.714,0.0,,0.027,0.019,0.0,,25.0
2020-03-14,10.0,2.143,0.0,,0.267,0.057,0.0,,44.44
2020-03-15,11.0,3.714,0.0,0.143,0.294,0.099,0.0,0.004,44.44
2020-03-16,1.0,3.857,0.0,0.143,0.027,0.103,0.0,0.004,55.56
2020-03-17,9.0,5.0,1.0,0.143,0.24,0.133,0.027,0.004,55.56
2020-03-18,11.0,6.286,0.0,0.143,0.294,0.168,0.0,0.004,55.56
2020-03-19,14.0,8.143,0.0,0.143,0.374,0.217,0.0,0.004,55.56
2020-03-20,14.0,10.0,1.0,0.286,0.374,0.267,0.027,0.008,90.74
2020-03-21,19.0,11.286,0.0,0.286,0.507,0.301,0.0,0.008,90.74
2020-03-22,19.0,12.429,1.0,0.429,0.507,0.332,0.027,0.011,90.74
2020-03-23,28.0,16.286,0.0,0.429,0.748,0.435,0.0,0.011,90.74
2020-03-24,27.0,18.857,1.0,0.429,0.721,0.503,0.027,0.011,90.74
2020-03-25,55.0,25.143,1.0,0.571,1.468,0.671,0.027,0.015,93.52
2020-03-26,50.0,30.286,5.0,1.286,1.335,0.809,0.133,0.034,93.52
2020-03-27,70.0,38.286,12.0,2.857,1.869,1.022,0.32,0.076,93.52
2020-03-28,57.0,43.714,2.0,3.143,1.522,1.167,0.053,0.084,93.52
2020-03-29,77.0,52.0,1.0,3.143,2.056,1.388,0.027,0.084,93.52
2020-03-30,77.0,59.0,7.0,4.143,2.056,1.575,0.187,0.111,93.52
2020-03-31,61.0,63.857,3.0,4.429,1.628,1.705,0.08,0.118,93.52
2020-04-01,37.0,61.286,3.0,4.714,0.988,1.636,0.08,0.126,93.52
2020-04-02,54.0,61.857,5.0,4.714,1.442,1.651,0.133,0.126,93.52
2020-04-03,83.0,63.714,4.0,3.571,2.216,1.701,0.107,0.095,93.52
2020-04-04,128.0,73.857,11.0,4.857,3.417,1.972,0.294,0.13,93.52
2020-04-05,102.0,77.429,11.0,6.286,2.723,2.067,0.294,0.168,93.52
2020-04-06,99.0,80.571,10.0,6.714,2.643,2.151,0.267,0.179,93.52
2020-04-07,64.0,81.0,10.0,7.714,1.709,2.162,0.267,0.206,93.52
2020-04-08,91.0,88.714,3.0,7.714,2.429,2.368,0.08,0.206,93.52
2020-04-09,99.0,95.143,4.0,7.571,2.643,2.54,0.107,0.202,93.52
2020-04-10,74.0,93.857,10.0,8.429,1.976,2.506,0.267,0.225,93.52
2020-04-11,97.0,89.429,4.0,7.429,2.59,2.387,0.107,0.198,93.52
2020-04-12,116.0,91.429,7.0,6.857,3.097,2.441,0.187,0.183,93.52
2020-04-13,102.0,91.857,8.0,6.571,2.723,2.452,0.214,0.175,93.52
2020-04-14,125.0,100.571,0.0,5.143,3.337,2.685,0.0,0.137,93.52
2020-04-15,136.0,107.0,1.0,4.857,3.631,2.857,0.027,0.13,93.52
2020-04-16,259.0,129.857,3.0,4.714,6.914,3.467,0.08,0.126,93.52
2020-04-17,281.0,159.429,5.0,4.0,7.502,4.256,0.133,0.107,93.52
2020-04-18,121.0,162.857,2.0,3.714,3.23,4.348,0.053,0.099,93.52
2020-04-19,170.0,170.571,4.0,3.286,4.538,4.554,0.107,0.088,93.52
2020-04-20,191.0,183.286,2.0,2.429,5.099,4.893,0.053,0.065,93.52
2020-04-21,163.0,188.714,2.0,2.714,4.352,5.038,0.053,0.072,93.52
2020-04-22,237.0,203.143,4.0,3.143,6.327,5.423,0.107,0.084,93.52
2020-04-23,122.0,183.571,6.0,3.571,3.257,4.901,0.16,0.095,93.52
2020-04-24,190.0,170.571,3.0,3.286,5.072,4.554,0.08,0.088,93.52
2020-04-25,139.0,173.143,1.0,3.143,3.711,4.622,0.027,0.084,93.52
