time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-27,8.0,,,,0.148,,,,54.63
2020-03-28,0.0,,,,0.0,,,,54.63
2020-03-29,2.0,,,,0.037,,,,54.63
2020-03-30,4.0,,,,0.074,,,,57.41
2020-03-31,1.0,,1.0,,0.018,,0.018,,57.41
2020-04-01,0.0,2.143,0.0,,0.0,0.04,0.0,,65.74
2020-04-02,5.0,2.857,0.0,,0.092,0.053,0.0,,65.74
2020-04-03,0.0,1.714,0.0,,0.0,0.032,0.0,,65.74
2020-04-04,1.0,1.857,0.0,,0.018,0.034,0.0,,69.44
2020-04-05,0.0,1.571,0.0,0.143,0.0,0.029,0.0,0.003,69.44
2020-04-06,1.0,1.143,0.0,0.143,0.018,0.021,0.0,0.003,69.44
2020-04-07,0.0,1.0,0.0,0.0,0.0,0.018,0.0,0.0,77.78
2020-04-08,0.0,1.0,2.0,0.286,0.0,0.018,0.037,0.005,77.78
2020-04-09,1.0,0.429,0.0,0.286,0.018,0.008,0.0,0.005,77.78
2020-04-10,4.0,1.0,0.0,0.286,0.074,0.018,0.0,0.005,79.63
2020-04-11,11.0,2.429,0.0,0.286,0.203,0.045,0.0,0.005,79.63
2020-04-12,3.0,2.857,1.0,0.429,0.055,0.053,0.018,0.008,81.48
2020-04-13,21.0,5.714,0.0,0.429,0.388,0.105,0.0,0.008,81.48
2020-04-14,1.0,5.857,0.0,0.429,0.018,0.108,0.0,0.008,83.33
2020-04-15,11.0,7.429,0.0,0.143,0.203,0.137,0.0,0.003,83.33
2020-04-16,11.0,8.857,0.0,0.143,0.203,0.163,0.0,0.003,83.33
2020-04-17,3.0,8.714,0.0,0.143,0.055,0.161,0.0,0.003,86.11
2020-04-18,10.0,8.571,1.0,0.286,0.185,0.158,0.018,0.005,86.11
2020-04-19,13.0,10.0,0.0,0.143,0.24,0.185,0.0,0.003,86.11
2020-04-20,8.0,8.143,0.0,0.143,0.148,0.15,0.0,0.003,86.11
2020-04-21,2.0,8.286,0.0,0.143,0.037,0.153,0.0,0.003,86.11
2020-04-22,2.0,7.0,0.0,0.143,0.037,0.129,0.0,0.003,86.11
2020-04-23,16.0,7.714,0.0,0.143,0.295,0.142,0.0,0.003,86.11
2020-04-24,5.0,8.0,0.0,0.143,0.092,0.148,0.0,0.003,86.11
2020-04-25,2.0,6.857,0.0,0.0,0.037,0.127,0.0,0.0,86.11
2020-04-26,0.0,5.0,0.0,0.0,0.0,0.092,0.0,0.0,86.11
2020-04-27,0.0,3.857,0.0,0.0,0.0,0.071,0.0,0.0,86.11
2020-04-28,4.0,4.143,0.0,0.0,0.074,0.076,0.0,0.0,86.11
2020-04-29,0.0,3.857,1.0,0.143,0.0,0.071,0.018,0.003,86.11
2020-04-30,1.0,1.714,0.0,0.143,0.018,0.032,0.0,0.003,86.11
2020-05-01,0.0,1.0,0.0,0.143,0.0,0.018,0.0,0.003,86.11
2020-05-02,0.0,0.714,0.0,0.143,0.0,0.013,0.0,0.003,86.11
2020-05-03,4.0,1.286,0.0,0.143,0.074,0.024,0.0,0.003,84.26
2020-05-04,6.0,2.143,0.0,0.143,0.111,0.04,0.0,0.003,84.26
2020-05-05,0.0,1.571,0.0,0.143,0.0,0.029,0.0,0.003,84.26
2020-05-06,0.0,1.571,0.0,0.0,0.0,0.029,0.0,0.0,84.26
2020-05-07,15.0,3.571,0.0,0.0,0.277,0.066,0.0,0.0,84.26
2020-05-08,1.0,3.714,0.0,0.0,0.018,0.069,0.0,0.0,84.26
2020-05-09,1.0,3.857,0.0,0.0,0.018,0.071,0.0,0.0,84.26
2020-05-10,2.0,3.571,0.0,0.0,0.037,0.066,0.0,0.0,84.26
2020-05-11,0.0,2.714,0.0,0.0,0.0,0.05,0.0,0.0,84.26
2020-05-12,0.0,2.714,0.0,0.0,0.0,0.05,0.0,0.0,84.26
2020-05-13,1.0,2.857,0.0,0.0,0.018,0.053,0.0,0.0,84.26
2020-05-14,0.0,0.714,0.0,0.0,0.0,0.013,0.0,0.0,80.56
2020-05-15,1.0,0.714,0.0,0.0,0.018,0.013,0.0,0.0,80.56
2020-05-16,0.0,0.571,0.0,0.0,0.0,0.011,0.0,0.0,80.56
2020-05-17,2.0,0.571,0.0,0.0,0.037,0.011,0.0,0.0,80.56
2020-05-18,7.0,1.571,0.0,0.0,0.129,0.029,0.0,0.0,80.56
2020-05-19,2.0,1.857,0.0,0.0,0.037,0.034,0.0,0.0,80.56
2020-05-20,6.0,2.571,0.0,0.0,0.111,0.047,0.0,0.0,80.56
2020-05-21,0.0,2.571,0.0,0.0,0.0,0.047,0.0,0.0,80.56
2020-05-22,0.0,2.429,0.0,0.0,0.0,0.045,0.0,0.0,80.56
2020-05-23,2.0,2.714,0.0,0.0,0.037,0.05,0.0,0.0,80.56
2020-05-24,0.0,2.429,0.0,0.0,0.0,0.045,0.0,0.0,80.56
2020-05-25,2.0,1.714,0.0,0.0,0.037,0.032,0.0,0.0,80.56
2020-05-26,3.0,1.857,0.0,0.0,0.055,0.034,0.0,0.0,80.56
2020-05-27,0.0,1.0,0.0,0.0,0.0,0.018,0.0,0.0,80.56
2020-05-28,0.0,1.0,0.0,0.0,0.0,0.018,0.0,0.0,80.56
2020-05-29,1.0,1.143,0.0,0.0,0.018,0.021,0.0,0.0,80.56
2020-05-30,17.0,3.286,0.0,0.0,0.314,0.061,0.0,0.0,80.56
2020-05-31,0.0,3.286,0.0,0.0,0.0,0.061,0.0,0.0,80.56
2020-06-01,4.0,3.571,0.0,0.0,0.074,0.066,0.0,0.0,80.56
2020-06-02,4.0,3.714,0.0,0.0,0.074,0.069,0.0,0.0,80.56
2020-06-03,1.0,3.857,0.0,0.0,0.018,0.071,0.0,0.0,80.56
2020-06-04,3.0,4.286,0.0,0.0,0.055,0.079,0.0,0.0,80.56
2020-06-05,0.0,4.143,0.0,0.0,0.0,0.076,0.0,0.0,80.56
2020-06-06,4.0,2.286,0.0,0.0,0.074,0.042,0.0,0.0,80.56
2020-06-07,2.0,2.571,0.0,0.0,0.037,0.047,0.0,0.0,80.56
2020-06-08,2.0,2.286,0.0,0.0,0.037,0.042,0.0,0.0,80.56
2020-06-09,2.0,2.0,0.0,0.0,0.037,0.037,0.0,0.0,80.56
2020-06-10,2.0,2.143,0.0,0.0,0.037,0.04,0.0,0.0,80.56
2020-06-11,12.0,3.429,0.0,0.0,0.221,0.063,0.0,0.0,80.56
2020-06-12,1.0,3.571,0.0,0.0,0.018,0.066,0.0,0.0,80.56
2020-06-13,0.0,3.0,0.0,0.0,0.0,0.055,0.0,0.0,80.56
2020-06-14,0.0,2.714,0.0,0.0,0.0,0.05,0.0,0.0,80.56
2020-06-15,1.0,2.571,0.0,0.0,0.018,0.047,0.0,0.0,80.56
