time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-25,1.0,,,,0.033,,,,8.33
2020-01-26,0.0,,,,0.0,,,,8.33
2020-01-27,0.0,,,,0.0,,,,8.33
2020-01-28,0.0,,,,0.0,,,,13.89
2020-01-29,0.0,,,,0.0,,,,13.89
2020-01-30,0.0,0.143,,,0.0,0.005,,,13.89
2020-01-31,0.0,0.143,,,0.0,0.005,,,13.89
2020-02-01,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-02,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-03,0.0,0.0,,,0.0,0.0,,,13.89
2020-02-04,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-05,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-06,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-07,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-08,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-09,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-10,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-11,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-12,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-13,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-14,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-15,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-16,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-17,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-18,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-19,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-20,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-21,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-22,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-23,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-24,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-25,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-26,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-27,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-28,0.0,0.0,,,0.0,0.0,,,16.67
2020-02-29,0.0,0.0,,,0.0,0.0,,,16.67
2020-03-01,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-02,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-03,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-04,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-05,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-06,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-07,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-08,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-09,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-10,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-11,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-12,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-13,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-14,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-15,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-16,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-17,0.0,0.0,,,0.0,0.0,,,22.22
2020-03-18,0.0,0.0,,,0.0,0.0,,,36.11
2020-03-19,0.0,0.0,,,0.0,0.0,,,47.22
2020-03-20,0.0,0.0,,,0.0,0.0,,,58.33
2020-03-21,0.0,0.0,,,0.0,0.0,,,58.33
2020-03-22,0.0,0.0,,,0.0,0.0,,,78.7
2020-03-23,1.0,0.143,,,0.033,0.005,,,83.33
2020-03-24,0.0,0.143,,,0.0,0.005,,,96.3
2020-03-25,1.0,0.286,,,0.033,0.009,,,96.3
2020-03-26,0.0,0.286,,,0.0,0.009,,,96.3
2020-03-27,1.0,0.429,,,0.033,0.014,,,96.3
2020-03-28,1.0,0.571,,,0.033,0.019,,,96.3
2020-03-29,0.0,0.571,,,0.0,0.019,,,96.3
2020-03-30,0.0,0.429,,,0.0,0.014,,,96.3
2020-03-31,0.0,0.429,,,0.0,0.014,,,96.3
2020-04-01,0.0,0.286,,,0.0,0.009,,,96.3
2020-04-02,1.0,0.429,,,0.033,0.014,,,96.3
2020-04-03,0.0,0.286,,,0.0,0.009,,,96.3
2020-04-04,3.0,0.571,,,0.098,0.019,,,96.3
2020-04-05,0.0,0.571,,,0.0,0.019,,,96.3
2020-04-06,0.0,0.571,,,0.0,0.019,,,96.3
2020-04-07,0.0,0.571,,,0.0,0.019,,,96.3
2020-04-08,0.0,0.571,,,0.0,0.019,,,96.3
2020-04-09,0.0,0.429,,,0.0,0.014,,,96.3
2020-04-10,0.0,0.429,,,0.0,0.014,,,96.3
2020-04-11,0.0,0.0,,,0.0,0.0,,,96.3
2020-04-12,3.0,0.429,,,0.098,0.014,,,96.3
2020-04-13,2.0,0.714,,,0.065,0.023,,,96.3
2020-04-14,2.0,1.0,,,0.065,0.033,,,96.3
2020-04-15,0.0,1.0,,,0.0,0.033,,,96.3
2020-04-16,0.0,1.0,,,0.0,0.033,,,96.3
2020-04-17,14.0,3.0,,,0.458,0.098,,,96.3
2020-04-18,1.0,3.143,,,0.033,0.103,,,96.3
2020-04-19,0.0,2.714,,,0.0,0.089,,,96.3
2020-04-20,0.0,2.429,,,0.0,0.08,,,96.3
2020-04-21,12.0,3.857,,,0.393,0.126,,,96.3
2020-04-22,2.0,4.143,,,0.065,0.136,,,96.3
2020-04-23,3.0,4.571,,,0.098,0.15,,,96.3
2020-04-24,1.0,2.714,,,0.033,0.089,,,96.3
2020-04-25,0.0,2.571,,,0.0,0.084,,,96.3
2020-04-26,3.0,3.0,,,0.098,0.098,,,96.3
