male,female,total
440.38,418.52,858.9
458.893,434.97,893.863
481.729,455.971,937.7
521.581,494.411,1015.992
522.344,498.403,1020.747
548.471,528.262,1076.733
545.558,531.58,1077.138
515.17,505.223,1020.393
503.787,501.135,1004.922
572.54,573.974,1146.514
639.652,634.06,1273.712
630.637,619.723,1250.36
562.407,562.55,1124.957
494.644,509.9,1004.544
464.156,488.293,952.449
301.906,337.169,639.075
192.588,245.836,438.424
100.68,161.076,261.756
33.241,73.454,106.695
6.31,20.726,27.036
0.471,2.492,2.963
