time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-19,1.0,,,,0.144,,,,15.74
2020-03-20,0.0,,,,0.0,,,,15.74
2020-03-21,0.0,,,,0.0,,,,15.74
2020-03-22,1.0,,,,0.144,,,,15.74
2020-03-23,0.0,,,,0.0,,,,15.74
2020-03-24,0.0,0.286,,,0.0,0.041,,,15.74
2020-03-25,0.0,0.286,,,0.0,0.041,,,15.74
2020-03-26,0.0,0.143,,,0.0,0.021,,,15.74
2020-03-27,0.0,0.143,,,0.0,0.021,,,15.74
2020-03-28,0.0,0.143,1.0,,0.0,0.021,0.144,,15.74
2020-03-29,0.0,0.0,0.0,,0.0,0.0,0.0,,15.74
2020-03-30,2.0,0.286,0.0,,0.288,0.041,0.0,,15.74
2020-03-31,0.0,0.286,0.0,,0.0,0.041,0.0,,15.74
2020-04-01,1.0,0.429,0.0,,0.144,0.062,0.0,,15.74
2020-04-02,0.0,0.429,0.0,0.143,0.0,0.062,0.0,0.021,15.74
2020-04-03,0.0,0.429,0.0,0.143,0.0,0.062,0.0,0.021,15.74
2020-04-04,0.0,0.429,0.0,0.0,0.0,0.062,0.0,0.0,15.74
2020-04-05,0.0,0.429,0.0,0.0,0.0,0.062,0.0,0.0,15.74
2020-04-06,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,15.74
2020-04-07,1.0,0.286,0.0,0.0,0.144,0.041,0.0,0.0,15.74
2020-04-08,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,15.74
2020-04-09,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,15.74
2020-04-10,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,15.74
2020-04-11,1.0,0.286,0.0,0.0,0.144,0.041,0.0,0.0,15.74
2020-04-12,0.0,0.286,0.0,0.0,0.0,0.041,0.0,0.0,15.74
2020-04-13,2.0,0.571,0.0,0.0,0.288,0.082,0.0,0.0,15.74
2020-04-14,0.0,0.429,0.0,0.0,0.0,0.062,0.0,0.0,15.74
2020-04-15,0.0,0.429,0.0,0.0,0.0,0.062,0.0,0.0,24.07
2020-04-16,0.0,0.429,0.0,0.0,0.0,0.062,0.0,0.0,24.07
2020-04-17,0.0,0.429,0.0,0.0,0.0,0.062,0.0,0.0,24.07
2020-04-18,0.0,0.286,0.0,0.0,0.0,0.041,0.0,0.0,24.07
2020-04-19,0.0,0.286,0.0,0.0,0.0,0.041,0.0,0.0,24.07
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.07
2020-04-21,0.0,0.0,1.0,0.143,0.0,0.0,0.144,0.021,24.07
2020-04-22,1.0,0.143,0.0,0.143,0.144,0.021,0.0,0.021,24.07
2020-04-23,0.0,0.143,0.0,0.143,0.0,0.021,0.0,0.021,24.07
2020-04-24,0.0,0.143,0.0,0.143,0.0,0.021,0.0,0.021,24.07
2020-04-25,1.0,0.286,1.0,0.286,0.144,0.041,0.144,0.041,24.07
2020-04-26,0.0,0.286,0.0,0.286,0.0,0.041,0.0,0.041,24.07
2020-04-27,2.0,0.571,0.0,0.286,0.288,0.082,0.0,0.041,24.07
2020-04-28,0.0,0.571,0.0,0.143,0.0,0.082,0.0,0.021,24.07
2020-04-29,0.0,0.429,0.0,0.143,0.0,0.062,0.0,0.021,24.07
2020-04-30,0.0,0.429,0.0,0.143,0.0,0.062,0.0,0.021,24.07
2020-05-01,1.0,0.571,1.0,0.286,0.144,0.082,0.144,0.041,24.07
2020-05-02,0.0,0.429,0.0,0.143,0.0,0.062,0.0,0.021,24.07
2020-05-03,0.0,0.429,0.0,0.143,0.0,0.062,0.0,0.021,24.07
2020-05-04,0.0,0.143,0.0,0.143,0.0,0.021,0.0,0.021,24.07
2020-05-05,1.0,0.286,1.0,0.286,0.144,0.041,0.144,0.041,24.07
2020-05-06,0.0,0.286,0.0,0.286,0.0,0.041,0.0,0.041,24.07
2020-05-07,1.0,0.429,0.0,0.286,0.144,0.062,0.0,0.041,18.52
2020-05-08,0.0,0.286,0.0,0.143,0.0,0.041,0.0,0.021,18.52
2020-05-09,0.0,0.286,0.0,0.143,0.0,0.041,0.0,0.021,18.52
2020-05-10,0.0,0.286,0.0,0.143,0.0,0.041,0.0,0.021,18.52
2020-05-11,0.0,0.286,0.0,0.143,0.0,0.041,0.0,0.021,18.52
2020-05-12,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,18.52
2020-05-13,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,18.52
2020-05-14,9.0,1.286,3.0,0.429,1.295,0.185,0.432,0.062,18.52
2020-05-15,0.0,1.286,0.0,0.429,0.0,0.185,0.0,0.062,18.52
2020-05-16,0.0,1.286,0.0,0.429,0.0,0.185,0.0,0.062,18.52
2020-05-17,0.0,1.286,0.0,0.429,0.0,0.185,0.0,0.062,18.52
2020-05-18,0.0,1.286,0.0,0.429,0.0,0.185,0.0,0.062,18.52
2020-05-19,0.0,1.286,0.0,0.429,0.0,0.185,0.0,0.062,18.52
2020-05-20,0.0,1.286,0.0,0.429,0.0,0.185,0.0,0.062,18.52
2020-05-21,254.0,36.286,9.0,1.286,36.555,5.222,1.295,0.185,18.52
2020-05-22,0.0,36.286,0.0,1.286,0.0,5.222,0.0,0.185,18.52
2020-05-23,0.0,36.286,0.0,1.286,0.0,5.222,0.0,0.185,18.52
2020-05-24,0.0,36.286,0.0,1.286,0.0,5.222,0.0,0.185,18.52
2020-05-25,0.0,36.286,0.0,1.286,0.0,5.222,0.0,0.185,18.52
2020-05-26,0.0,36.286,0.0,1.286,0.0,5.222,0.0,0.185,18.52
2020-05-27,0.0,36.286,0.0,1.286,0.0,5.222,0.0,0.185,18.52
2020-05-28,480.0,68.571,18.0,2.571,69.081,9.869,2.591,0.37,18.52
2020-05-29,126.0,86.571,0.0,2.571,18.134,12.459,0.0,0.37,18.52
2020-05-30,0.0,86.571,0.0,2.571,0.0,12.459,0.0,0.37,18.52
2020-05-31,0.0,86.571,0.0,2.571,0.0,12.459,0.0,0.37,18.52
2020-06-01,0.0,86.571,0.0,2.571,0.0,12.459,0.0,0.37,18.52
2020-06-02,0.0,86.571,0.0,2.571,0.0,12.459,0.0,0.37,18.52
2020-06-03,65.0,95.857,0.0,2.571,9.355,13.796,0.0,0.37,18.52
2020-06-04,359.0,78.571,11.0,1.571,51.667,11.308,1.583,0.226,18.52
2020-06-05,0.0,60.571,0.0,1.571,0.0,8.717,0.0,0.226,18.52
2020-06-06,0.0,60.571,0.0,1.571,0.0,8.717,0.0,0.226,18.52
2020-06-07,0.0,60.571,0.0,1.571,0.0,8.717,0.0,0.226,18.52
2020-06-08,0.0,60.571,0.0,1.571,0.0,8.717,0.0,0.226,18.52
2020-06-09,0.0,60.571,0.0,1.571,0.0,8.717,0.0,0.226,18.52
