time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-28,1.0,,,,0.005,,,,11.11
2020-02-29,0.0,,,,0.0,,,,11.11
2020-03-01,0.0,,,,0.0,,,,11.11
2020-03-02,0.0,,,,0.0,,,,11.11
2020-03-03,0.0,,,,0.0,,,,11.11
2020-03-04,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-05,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-06,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-07,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-08,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-09,1.0,0.143,,,0.005,0.001,,,11.11
2020-03-10,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-11,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-12,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-13,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-14,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-15,0.0,0.143,,,0.0,0.001,,,11.11
2020-03-16,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-17,1.0,0.143,,,0.005,0.001,,,11.11
2020-03-18,5.0,0.857,,,0.023,0.004,,,25.46
2020-03-19,0.0,0.857,,,0.0,0.004,,,25.46
2020-03-20,4.0,1.429,,,0.018,0.007,,,33.8
2020-03-21,10.0,2.857,,,0.046,0.013,,,33.8
2020-03-22,8.0,4.0,,,0.037,0.018,,,33.8
2020-03-23,10.0,5.429,1.0,,0.046,0.025,0.005,,48.61
2020-03-24,4.0,5.857,0.0,,0.018,0.027,0.0,,48.61
2020-03-25,7.0,6.143,0.0,,0.032,0.028,0.0,,48.61
2020-03-26,14.0,8.143,0.0,,0.064,0.037,0.0,,52.31
2020-03-27,5.0,8.286,0.0,,0.023,0.038,0.0,,52.31
2020-03-28,19.0,9.571,0.0,0.143,0.087,0.044,0.0,0.001,55.09
2020-03-29,22.0,11.571,0.0,0.143,0.101,0.053,0.0,0.001,82.87
2020-03-30,20.0,13.0,1.0,0.143,0.092,0.059,0.005,0.001,82.87
2020-03-31,4.0,13.0,0.0,0.143,0.018,0.059,0.0,0.001,82.87
2020-04-01,39.0,17.571,0.0,0.143,0.178,0.08,0.0,0.001,82.87
2020-04-02,10.0,17.0,0.0,0.143,0.046,0.078,0.0,0.001,82.87
2020-04-03,26.0,20.0,2.0,0.429,0.119,0.092,0.009,0.002,82.87
2020-04-04,4.0,17.857,0.0,0.429,0.018,0.082,0.0,0.002,82.87
2020-04-05,18.0,17.286,1.0,0.571,0.082,0.079,0.005,0.003,82.87
2020-04-06,6.0,15.286,0.0,0.429,0.027,0.07,0.0,0.002,82.87
2020-04-07,16.0,17.0,1.0,0.571,0.073,0.078,0.005,0.003,82.87
2020-04-08,22.0,14.571,0.0,0.571,0.101,0.067,0.0,0.003,82.87
2020-04-09,12.0,14.857,1.0,0.714,0.055,0.068,0.005,0.003,82.87
2020-04-10,17.0,13.571,0.0,0.429,0.078,0.062,0.0,0.002,82.87
2020-04-11,13.0,14.857,3.0,0.857,0.059,0.068,0.014,0.004,82.87
2020-04-12,5.0,13.0,0.0,0.714,0.023,0.059,0.0,0.003,82.87
2020-04-13,20.0,15.0,0.0,0.714,0.092,0.069,0.0,0.003,82.87
2020-04-14,30.0,17.0,1.0,0.714,0.137,0.078,0.005,0.003,82.87
2020-04-15,34.0,18.714,1.0,0.857,0.156,0.086,0.005,0.004,82.87
2020-04-16,35.0,22.0,1.0,0.857,0.16,0.101,0.005,0.004,82.87
2020-04-17,51.0,26.857,4.0,1.429,0.233,0.123,0.018,0.007,82.87
2020-04-18,49.0,32.0,2.0,1.286,0.224,0.146,0.009,0.006,82.87
2020-04-19,85.0,43.429,2.0,1.571,0.389,0.199,0.009,0.007,82.87
2020-04-20,38.0,46.0,1.0,1.714,0.174,0.21,0.005,0.008,82.87
2020-04-21,0.0,41.714,0.0,1.571,0.0,0.191,0.0,0.007,82.87
2020-04-22,208.0,66.571,6.0,2.286,0.952,0.305,0.027,0.01,82.87
2020-04-23,108.0,77.0,3.0,2.571,0.494,0.352,0.014,0.012,85.65
2020-04-24,114.0,86.0,1.0,2.143,0.522,0.394,0.005,0.01,85.65
2020-04-25,87.0,91.429,3.0,2.286,0.398,0.418,0.014,0.01,85.65
2020-04-26,91.0,92.286,5.0,2.714,0.416,0.422,0.023,0.012,85.65
2020-04-27,64.0,96.0,0.0,2.571,0.293,0.439,0.0,0.012,85.65
2020-04-28,195.0,123.857,4.0,3.143,0.892,0.567,0.018,0.014,85.65
2020-04-29,196.0,122.143,7.0,3.286,0.897,0.559,0.032,0.015,85.65
2020-04-30,204.0,135.857,7.0,3.857,0.933,0.622,0.032,0.018,85.65
2020-05-01,238.0,153.571,10.0,5.143,1.089,0.703,0.046,0.024,85.65
2020-05-02,218.0,172.286,17.0,7.143,0.998,0.788,0.078,0.033,85.65
2020-05-03,170.0,183.571,2.0,6.714,0.778,0.84,0.009,0.031,85.65
2020-05-04,244.0,209.286,6.0,7.571,1.116,0.958,0.027,0.035,84.26
2020-05-05,148.0,202.571,5.0,7.714,0.677,0.927,0.023,0.035,84.26
2020-05-06,195.0,202.429,5.0,7.429,0.892,0.926,0.023,0.034,84.26
2020-05-07,381.0,227.714,4.0,7.0,1.743,1.042,0.018,0.032,84.26
2020-05-08,386.0,248.857,10.0,7.0,1.766,1.139,0.046,0.032,84.26
2020-05-09,239.0,251.857,11.0,6.143,1.094,1.152,0.05,0.028,84.26
2020-05-10,248.0,263.0,15.0,8.0,1.135,1.203,0.069,0.037,84.26
2020-05-11,242.0,262.714,7.0,8.143,1.107,1.202,0.032,0.037,84.26
2020-05-12,146.0,262.429,8.0,8.571,0.668,1.201,0.037,0.039,84.26
2020-05-13,184.0,260.857,6.0,8.714,0.842,1.194,0.027,0.04,84.26
2020-05-14,191.0,233.714,3.0,8.571,0.874,1.069,0.014,0.039,84.26
2020-05-15,288.0,219.714,4.0,7.714,1.318,1.005,0.018,0.035,84.26
2020-05-16,171.0,210.0,5.0,6.857,0.782,0.961,0.023,0.031,84.26
2020-05-17,338.0,222.857,6.0,5.571,1.547,1.02,0.027,0.025,84.26
2020-05-18,216.0,219.143,9.0,5.857,0.988,1.003,0.041,0.027,84.26
2020-05-19,226.0,230.571,1.0,4.857,1.034,1.055,0.005,0.022,84.26
2020-05-20,276.0,243.714,8.0,5.143,1.263,1.115,0.037,0.024,84.26
2020-05-21,339.0,264.857,11.0,6.286,1.551,1.212,0.05,0.029,84.26
2020-05-22,245.0,258.714,10.0,7.143,1.121,1.184,0.046,0.033,84.26
2020-05-23,265.0,272.143,0.0,6.429,1.213,1.245,0.0,0.029,84.26
2020-05-24,313.0,268.571,5.0,6.286,1.432,1.229,0.023,0.029,84.26
2020-05-25,229.0,270.429,7.0,6.0,1.048,1.237,0.032,0.027,84.26
2020-05-26,276.0,277.571,16.0,8.143,1.263,1.27,0.073,0.037,84.26
2020-05-27,389.0,293.714,5.0,7.714,1.78,1.344,0.023,0.035,84.26
2020-05-28,182.0,271.286,5.0,6.857,0.833,1.241,0.023,0.031,84.26
2020-05-29,387.0,291.571,2.0,5.714,1.771,1.334,0.009,0.026,84.26
2020-05-30,553.0,332.714,12.0,7.429,2.53,1.522,0.055,0.034,84.26
2020-05-31,307.0,331.857,14.0,8.714,1.405,1.519,0.064,0.04,84.26
2020-06-01,416.0,358.571,12.0,9.429,1.904,1.641,0.055,0.043,84.26
2020-06-02,241.0,353.571,15.0,9.286,1.103,1.618,0.069,0.042,84.26
2020-06-03,347.0,347.571,1.0,8.714,1.588,1.59,0.005,0.04,84.26
2020-06-04,350.0,371.571,8.0,9.143,1.602,1.7,0.037,0.042,84.26
2020-06-05,328.0,363.143,10.0,10.286,1.501,1.662,0.046,0.047,84.26
2020-06-06,389.0,339.714,9.0,9.857,1.78,1.554,0.041,0.045,84.26
2020-06-07,253.0,332.0,12.0,9.571,1.158,1.519,0.055,0.044,84.26
2020-06-08,315.0,317.571,7.0,8.857,1.441,1.453,0.032,0.041,84.26
2020-06-09,663.0,377.857,4.0,7.286,3.034,1.729,0.018,0.033,84.26
2020-06-10,409.0,386.714,17.0,9.571,1.872,1.77,0.078,0.044,84.26
2020-06-11,681.0,434.0,5.0,9.143,3.116,1.986,0.023,0.042,84.26
2020-06-12,627.0,476.714,12.0,9.429,2.869,2.181,0.055,0.043,84.26
2020-06-13,501.0,492.714,8.0,9.286,2.292,2.255,0.037,0.042,84.26
2020-06-14,403.0,514.143,13.0,9.429,1.844,2.353,0.059,0.043,84.26
2020-06-15,573.0,551.0,4.0,9.0,2.622,2.521,0.018,0.041,84.26
2020-06-16,490.0,526.286,31.0,12.857,2.242,2.408,0.142,0.059,80.09
2020-06-17,587.0,551.714,14.0,12.429,2.686,2.525,0.064,0.057,80.09
2020-06-18,745.0,560.857,6.0,12.571,3.409,2.566,0.027,0.058,80.09
2020-06-19,667.0,566.571,12.0,12.571,3.052,2.593,0.055,0.058,80.09
2020-06-20,661.0,589.429,19.0,14.143,3.025,2.697,0.087,0.065,80.09
2020-06-21,436.0,594.143,12.0,14.0,1.995,2.719,0.055,0.064,80.09
2020-06-22,675.0,608.714,7.0,14.429,3.089,2.785,0.032,0.066,80.09
2020-06-23,452.0,603.286,8.0,11.143,2.068,2.761,0.037,0.051,80.09
2020-06-24,649.0,612.143,9.0,10.429,2.97,2.801,0.041,0.048,80.09
2020-06-25,594.0,590.571,7.0,10.571,2.718,2.702,0.032,0.048,80.09
2020-06-26,684.0,593.0,5.0,9.571,3.13,2.713,0.023,0.044,80.09
2020-06-27,779.0,609.857,4.0,7.429,3.565,2.791,0.018,0.034,80.09
2020-06-28,490.0,617.571,7.0,6.714,2.242,2.826,0.032,0.031,80.09
2020-06-29,566.0,602.0,8.0,6.857,2.59,2.755,0.037,0.031,80.09
2020-06-30,561.0,617.571,17.0,8.143,2.567,2.826,0.078,0.037,80.09
2020-07-01,790.0,637.714,13.0,8.714,3.615,2.918,0.059,0.04,71.76
2020-07-02,626.0,642.286,13.0,9.571,2.864,2.939,0.059,0.044,71.76
2020-07-03,454.0,609.429,12.0,10.571,2.077,2.789,0.055,0.048,71.76
2020-07-04,603.0,584.286,6.0,10.857,2.759,2.674,0.027,0.05,71.76
2020-07-05,544.0,592.0,11.0,11.429,2.489,2.709,0.05,0.052,71.76
2020-07-06,575.0,593.286,9.0,11.571,2.631,2.715,0.041,0.053,71.76
2020-07-07,503.0,585.0,15.0,11.286,2.302,2.677,0.069,0.052,71.76
2020-07-08,460.0,537.857,15.0,11.571,2.105,2.461,0.069,0.053,71.76
2020-07-09,499.0,519.714,5.0,10.429,2.283,2.378,0.023,0.048,71.76
2020-07-10,575.0,537.0,20.0,11.571,2.631,2.457,0.092,0.053,71.76
2020-07-11,664.0,545.714,15.0,12.857,3.038,2.497,0.069,0.059,71.76
2020-07-12,571.0,549.571,16.0,13.571,2.613,2.515,0.073,0.062,71.76
2020-07-13,595.0,552.429,4.0,12.857,2.723,2.528,0.018,0.059,71.76
2020-07-14,463.0,546.714,10.0,12.143,2.119,2.502,0.046,0.056,71.76
2020-07-15,643.0,572.857,6.0,10.857,2.942,2.621,0.027,0.05,71.76
2020-07-16,595.0,586.571,9.0,11.429,2.723,2.684,0.041,0.052,71.76
2020-07-17,600.0,590.143,3.0,9.0,2.745,2.7,0.014,0.041,71.76
2020-07-18,653.0,588.571,6.0,7.714,2.988,2.693,0.027,0.035,71.76
2020-07-19,556.0,586.429,11.0,7.0,2.544,2.683,0.05,0.032,71.76
2020-07-20,562.0,581.714,12.0,8.143,2.572,2.662,0.055,0.037,71.76
2020-07-21,576.0,597.857,4.0,7.286,2.636,2.736,0.018,0.033,71.76
2020-07-22,543.0,583.571,8.0,7.571,2.485,2.67,0.037,0.035,71.76
2020-07-23,604.0,584.857,20.0,9.143,2.764,2.676,0.092,0.042,71.76
2020-07-24,591.0,583.571,12.0,10.429,2.704,2.67,0.055,0.048,71.76
2020-07-25,438.0,552.857,11.0,11.143,2.004,2.53,0.05,0.051,71.76
2020-07-26,555.0,552.714,2.0,9.857,2.54,2.529,0.009,0.045,71.76
2020-07-27,648.0,565.0,2.0,8.429,2.965,2.585,0.009,0.039,71.76
2020-07-28,624.0,571.857,8.0,9.0,2.855,2.617,0.037,0.041,71.76
2020-07-29,404.0,552.0,5.0,8.571,1.849,2.526,0.023,0.039,71.76
2020-07-30,481.0,534.429,5.0,6.429,2.201,2.445,0.023,0.029,71.76
2020-07-31,462.0,516.0,1.0,4.857,2.114,2.361,0.005,0.022,73.15
2020-08-01,386.0,508.571,4.0,3.857,1.766,2.327,0.018,0.018,73.15
2020-08-02,304.0,472.714,5.0,4.286,1.391,2.163,0.023,0.02,73.15
2020-08-03,288.0,421.286,8.0,5.143,1.318,1.928,0.037,0.024,73.15
2020-08-04,304.0,375.571,14.0,6.0,1.391,1.719,0.064,0.027,69.44
2020-08-05,457.0,383.143,17.0,7.714,2.091,1.753,0.078,0.035,69.44
2020-08-06,354.0,365.0,3.0,7.429,1.62,1.67,0.014,0.034,69.44
2020-08-07,443.0,362.286,6.0,8.143,2.027,1.658,0.027,0.037,69.44
2020-08-08,453.0,371.857,6.0,8.429,2.073,1.702,0.027,0.039,69.44
2020-08-09,437.0,390.857,3.0,8.143,2.0,1.788,0.014,0.037,69.44
2020-08-10,290.0,391.143,5.0,7.714,1.327,1.79,0.023,0.035,69.44
2020-08-11,423.0,408.143,6.0,6.571,1.936,1.868,0.027,0.03,69.44
2020-08-12,453.0,407.571,0.0,4.143,2.073,1.865,0.0,0.019,69.44
2020-08-13,373.0,410.286,10.0,5.143,1.707,1.877,0.046,0.024,69.44
2020-08-14,329.0,394.0,7.0,5.286,1.505,1.803,0.032,0.024,65.74
2020-08-15,325.0,375.714,1.0,4.571,1.487,1.719,0.005,0.021,65.74
2020-08-16,298.0,355.857,1.0,4.286,1.364,1.628,0.005,0.02,65.74
2020-08-17,417.0,374.0,2.0,3.857,1.908,1.711,0.009,0.018,65.74
2020-08-18,410.0,372.143,4.0,3.571,1.876,1.703,0.018,0.016,65.74
2020-08-19,593.0,392.143,4.0,4.143,2.713,1.794,0.018,0.019,65.74
2020-08-20,476.0,406.857,7.0,3.714,2.178,1.862,0.032,0.017,65.74
2020-08-21,340.0,408.429,4.0,3.286,1.556,1.869,0.018,0.015,65.74
2020-08-22,601.0,447.857,1.0,3.286,2.75,2.049,0.005,0.015,65.74
2020-08-23,322.0,451.286,5.0,3.857,1.473,2.065,0.023,0.018,65.74
2020-08-24,321.0,437.571,2.0,3.857,1.469,2.002,0.009,0.018,65.74
2020-08-25,252.0,415.0,3.0,3.714,1.153,1.899,0.014,0.017,65.74
2020-08-26,221.0,361.857,3.0,3.571,1.011,1.656,0.014,0.016,65.74
2020-08-27,296.0,336.143,1.0,2.714,1.354,1.538,0.005,0.012,65.74
2020-08-28,160.0,310.429,0.0,2.143,0.732,1.42,0.0,0.01,65.74
2020-08-29,250.0,260.286,0.0,2.0,1.144,1.191,0.0,0.009,65.74
2020-08-30,138.0,234.0,2.0,1.571,0.631,1.071,0.009,0.007,65.74
2020-08-31,143.0,208.571,0.0,1.286,0.654,0.954,0.0,0.006,65.74
2020-09-01,239.0,206.714,10.0,2.286,1.094,0.946,0.046,0.01,65.74
2020-09-02,216.0,206.0,4.0,2.429,0.988,0.943,0.018,0.011,65.74
2020-09-03,125.0,181.571,21.0,5.286,0.572,0.831,0.096,0.024,65.74
2020-09-04,155.0,180.857,3.0,5.714,0.709,0.828,0.014,0.026,65.74
2020-09-05,162.0,168.286,3.0,6.143,0.741,0.77,0.014,0.028,65.74
2020-09-06,100.0,162.857,3.0,6.286,0.458,0.745,0.014,0.029,65.74
2020-09-07,155.0,164.571,4.0,6.857,0.709,0.753,0.018,0.031,65.74
2020-09-08,296.0,172.714,6.0,6.286,1.354,0.79,0.027,0.029,65.74
2020-09-09,176.0,167.0,3.0,6.143,0.805,0.764,0.014,0.028,65.74
2020-09-10,197.0,177.286,5.0,3.857,0.901,0.811,0.023,0.018,65.74
2020-09-11,188.0,182.0,1.0,3.571,0.86,0.833,0.005,0.016,60.19
2020-09-12,160.0,181.714,2.0,3.429,0.732,0.831,0.009,0.016,60.19
2020-09-13,79.0,178.714,4.0,3.571,0.361,0.818,0.018,0.016,60.19
2020-09-14,132.0,175.429,1.0,3.143,0.604,0.803,0.005,0.014,60.19
2020-09-15,90.0,146.0,5.0,3.0,0.412,0.668,0.023,0.014,60.19
2020-09-16,126.0,138.857,3.0,3.0,0.577,0.635,0.014,0.014,60.19
2020-09-17,131.0,129.429,2.0,2.571,0.599,0.592,0.009,0.012,60.19
2020-09-18,221.0,134.143,1.0,2.571,1.011,0.614,0.005,0.012,60.19
2020-09-19,189.0,138.286,1.0,2.429,0.865,0.633,0.005,0.011,60.19
2020-09-20,97.0,140.857,3.0,2.286,0.444,0.645,0.014,0.01,60.19
2020-09-21,195.0,149.857,2.0,2.429,0.892,0.686,0.009,0.011,60.19
2020-09-22,176.0,162.143,0.0,1.714,0.805,0.742,0.0,0.008,60.19
2020-09-23,111.0,160.0,2.0,1.571,0.508,0.732,0.009,0.007,60.19
2020-09-24,125.0,159.143,0.0,1.286,0.572,0.728,0.0,0.006,60.19
2020-09-25,213.0,158.0,1.0,1.286,0.975,0.723,0.005,0.006,54.63
2020-09-26,136.0,150.429,3.0,1.571,0.622,0.688,0.014,0.007,54.63
2020-09-27,126.0,154.571,2.0,1.429,0.577,0.707,0.009,0.007,54.63
2020-09-28,136.0,146.143,3.0,1.571,0.622,0.669,0.014,0.007,54.63
2020-09-29,187.0,147.714,0.0,1.571,0.856,0.676,0.0,0.007,54.63
2020-09-30,201.0,160.571,1.0,1.429,0.92,0.735,0.005,0.007,54.63
2020-10-01,153.0,164.571,0.0,1.429,0.7,0.753,0.0,0.007,54.63
2020-10-02,126.0,152.143,0.0,1.286,0.577,0.696,0.0,0.006,54.63
2020-10-03,160.0,155.571,1.0,1.0,0.732,0.712,0.005,0.005,54.63
2020-10-04,58.0,145.857,0.0,0.714,0.265,0.667,0.0,0.003,54.63
2020-10-05,120.0,143.571,0.0,0.286,0.549,0.657,0.0,0.001,54.63
2020-10-06,118.0,133.714,0.0,0.286,0.54,0.612,0.0,0.001,54.63
2020-10-07,155.0,127.143,0.0,0.143,0.709,0.582,0.0,0.001,54.63
2020-10-08,103.0,120.0,0.0,0.143,0.471,0.549,0.0,0.001,54.63
2020-10-09,151.0,123.571,0.0,0.143,0.691,0.565,0.0,0.001,54.63
2020-10-10,111.0,116.571,2.0,0.286,0.508,0.533,0.009,0.001,54.63
2020-10-11,163.0,131.571,0.0,0.286,0.746,0.602,0.0,0.001,54.63
2020-10-12,164.0,137.857,0.0,0.286,0.75,0.631,0.0,0.001,50.93
2020-10-13,225.0,153.143,1.0,0.429,1.03,0.701,0.005,0.002,50.93
2020-10-14,179.0,156.571,0.0,0.429,0.819,0.716,0.0,0.002,50.93
2020-10-15,148.0,163.0,0.0,0.429,0.677,0.746,0.0,0.002,50.93
2020-10-16,212.0,171.714,3.0,0.857,0.97,0.786,0.014,0.004,50.93
2020-10-17,113.0,172.0,4.0,1.143,0.517,0.787,0.018,0.005,50.93
2020-10-18,133.0,167.714,2.0,1.429,0.609,0.767,0.009,0.007,50.93
2020-10-19,118.0,161.143,0.0,1.429,0.54,0.737,0.0,0.007,50.93
2020-10-20,72.0,139.286,0.0,1.286,0.329,0.637,0.0,0.006,50.93
2020-10-21,37.0,119.0,0.0,1.286,0.169,0.545,0.0,0.006,50.93
2020-10-22,138.0,117.571,2.0,1.571,0.631,0.538,0.009,0.007,50.93
2020-10-23,77.0,98.286,2.0,1.429,0.352,0.45,0.009,0.007,50.93
2020-10-24,48.0,89.0,0.0,0.857,0.22,0.407,0.0,0.004,50.93
2020-10-25,62.0,78.857,1.0,0.714,0.284,0.361,0.005,0.003,50.93
2020-10-26,119.0,79.0,2.0,1.0,0.545,0.361,0.009,0.005,50.93
2020-10-27,113.0,84.857,3.0,1.429,0.517,0.388,0.014,0.007,50.93
2020-10-28,147.0,100.571,4.0,2.0,0.673,0.46,0.018,0.009,50.93
2020-10-29,150.0,102.286,2.0,2.0,0.686,0.468,0.009,0.009,50.93
2020-10-30,170.0,115.571,3.0,2.143,0.778,0.529,0.014,0.01,50.93
2020-10-31,162.0,131.857,0.0,2.143,0.741,0.603,0.0,0.01,50.93
2020-11-01,111.0,138.857,2.0,2.286,0.508,0.635,0.009,0.01,50.93
2020-11-02,72.0,132.143,1.0,2.143,0.329,0.605,0.005,0.01,50.93
2020-11-03,137.0,135.571,4.0,2.286,0.627,0.62,0.018,0.01,50.93
2020-11-04,155.0,136.714,4.0,2.286,0.709,0.626,0.018,0.01,50.93
2020-11-05,180.0,141.0,0.0,2.0,0.824,0.645,0.0,0.009,50.93
2020-11-06,223.0,148.571,0.0,1.571,1.02,0.68,0.0,0.007,50.93
2020-11-07,59.0,133.857,0.0,1.571,0.27,0.613,0.0,0.007,50.93
2020-11-08,300.0,160.857,,,1.373,0.736,,,50.93
2020-11-09,94.0,164.0,4.0,1.714,0.43,0.75,0.018,0.008,50.93
2020-11-10,152.0,166.143,2.0,1.429,0.696,0.76,0.009,0.007,50.93
2020-11-11,180.0,169.714,2.0,1.143,0.824,0.777,0.009,0.005,50.93
2020-11-12,212.0,174.286,0.0,1.143,0.97,0.797,0.0,0.005,50.93
2020-11-13,156.0,164.714,1.0,1.286,0.714,0.754,0.005,0.006,50.93
2020-11-14,112.0,172.286,0.0,1.286,0.512,0.788,0.0,0.006,50.93
2020-11-15,152.0,151.143,0.0,1.286,0.696,0.692,0.0,0.006,50.93
2020-11-16,157.0,160.143,0.0,0.714,0.718,0.733,0.0,0.003,50.93
2020-11-17,152.0,160.143,0.0,0.429,0.696,0.733,0.0,0.002,50.93
2020-11-18,236.0,168.143,0.0,0.143,1.08,0.769,0.0,0.001,50.93
2020-11-19,146.0,158.714,2.0,0.429,0.668,0.726,0.009,0.002,50.93
2020-11-20,143.0,156.857,0.0,0.286,0.654,0.718,0.0,0.001,50.93
2020-11-21,246.0,176.0,1.0,0.429,1.126,0.805,0.005,0.002,50.93
2020-11-22,155.0,176.429,1.0,0.571,0.709,0.807,0.005,0.003,50.93
2020-11-23,56.0,162.0,1.0,0.714,0.256,0.741,0.005,0.003,50.93
2020-11-24,168.0,164.286,1.0,0.857,0.769,0.752,0.005,0.004,50.93
2020-11-25,198.0,158.857,0.0,0.857,0.906,0.727,0.0,0.004,50.93
2020-11-26,169.0,162.143,0.0,0.571,0.773,0.742,0.0,0.003,50.93
2020-11-27,246.0,176.857,2.0,0.857,1.126,0.809,0.009,0.004,50.93
2020-11-28,110.0,157.429,0.0,0.714,0.503,0.72,0.0,0.003,50.93
2020-11-29,82.0,147.0,2.0,0.857,0.375,0.673,0.009,0.004,50.93
2020-11-30,145.0,159.714,0.0,0.714,0.663,0.731,0.0,0.003,50.93
2020-12-01,281.0,175.857,3.0,1.0,1.286,0.805,0.014,0.005,50.93
2020-12-02,122.0,165.0,1.0,1.143,0.558,0.755,0.005,0.005,50.93
2020-12-03,343.0,189.857,2.0,1.429,1.569,0.869,0.009,0.007,50.93
2020-12-04,324.0,201.0,0.0,1.143,1.483,0.92,0.0,0.005,50.93
2020-12-05,310.0,229.571,1.0,1.286,1.418,1.05,0.005,0.006,50.93
2020-12-06,318.0,263.286,0.0,1.0,1.455,1.205,0.0,0.005,50.93
2020-12-07,390.0,298.286,1.0,1.143,1.785,1.365,0.005,0.005,50.93
2020-12-08,550.0,336.714,1.0,0.857,2.517,1.541,0.005,0.004,50.93
2020-12-09,474.0,387.0,2.0,1.0,2.169,1.771,0.009,0.005,50.93
