time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-12,,,,,,,,,11.11
2020-02-26,1.0,,,,0.184,,,,11.11
2020-02-27,0.0,,,,0.0,,,,11.11
2020-02-28,5.0,,,,0.92,,,,11.11
2020-02-29,9.0,,,,1.656,,,,11.11
2020-03-01,4.0,,,,0.736,,,,11.11
2020-03-02,6.0,3.571,,,1.104,0.657,,,11.11
2020-03-03,7.0,4.571,,,1.288,0.841,,,11.11
2020-03-04,24.0,7.857,,,4.416,1.446,,,11.11
2020-03-05,31.0,12.286,,,5.704,2.261,,,11.11
2020-03-06,21.0,14.571,,,3.864,2.681,,,11.11
2020-03-07,39.0,18.857,,,7.177,3.47,,,11.11
2020-03-08,29.0,22.429,,,5.336,4.127,,,11.11
2020-03-09,29.0,25.714,,,5.336,4.732,,,11.11
2020-03-10,195.0,52.571,,,35.883,9.674,,,20.37
2020-03-11,198.0,77.429,,,36.435,14.248,,,25.93
2020-03-12,104.0,87.857,,,19.138,16.167,,,40.74
2020-03-13,294.0,126.857,,,54.101,23.344,,,40.74
2020-03-14,94.0,134.714,3.0,,17.297,24.79,0.552,,46.3
2020-03-15,131.0,149.286,0.0,,24.106,27.471,0.0,,51.85
2020-03-16,112.0,161.143,0.0,,20.61,29.653,0.0,,60.19
2020-03-17,130.0,151.857,0.0,,23.922,27.944,0.0,,60.19
2020-03-18,87.0,136.0,3.0,,16.009,25.026,0.552,,60.19
2020-03-19,196.0,149.143,1.0,1.0,36.067,27.445,0.184,0.184,62.96
2020-03-20,168.0,131.143,0.0,1.0,30.915,24.132,0.0,0.184,62.96
2020-03-21,204.0,146.857,0.0,0.571,37.539,27.024,0.0,0.105,62.96
2020-03-22,267.0,166.286,0.0,0.571,49.132,30.599,0.0,0.105,62.96
2020-03-23,236.0,184.0,3.0,1.0,43.428,33.859,0.552,0.184,62.96
2020-03-24,242.0,200.0,2.0,1.286,44.532,36.803,0.368,0.237,79.63
2020-03-25,221.0,219.143,2.0,1.143,40.667,40.326,0.368,0.21,79.63
2020-03-26,285.0,231.857,0.0,1.0,52.444,42.665,0.0,0.184,79.63
2020-03-27,386.0,263.0,5.0,1.714,71.03,48.396,0.92,0.315,79.63
2020-03-28,260.0,271.0,4.0,2.286,47.844,49.868,0.736,0.421,79.63
2020-03-29,269.0,271.286,2.0,2.571,49.5,49.921,0.368,0.473,79.63
2020-03-30,161.0,260.571,7.0,3.143,29.627,47.949,1.288,0.578,79.63
2020-03-31,196.0,254.0,7.0,3.857,36.067,46.74,1.288,0.71,79.63
2020-04-01,222.0,254.143,5.0,4.286,40.851,46.766,0.92,0.789,79.63
2020-04-02,284.0,254.0,6.0,5.143,52.26,46.74,1.104,0.946,79.63
2020-04-03,223.0,230.714,9.0,5.714,41.035,42.455,1.656,1.052,79.63
2020-04-04,180.0,219.286,3.0,5.571,33.123,40.352,0.552,1.025,79.63
2020-04-05,137.0,200.429,9.0,6.571,25.21,36.882,1.656,1.209,79.63
2020-04-06,178.0,202.857,5.0,6.286,32.755,37.329,0.92,1.157,79.63
2020-04-07,221.0,206.429,13.0,7.143,40.667,37.986,2.392,1.314,79.63
2020-04-08,0.0,174.714,12.0,8.143,0.0,32.15,2.208,1.498,79.63
2020-04-09,125.0,152.0,7.0,8.286,23.002,27.97,1.288,1.525,79.63
2020-04-10,103.0,134.857,5.0,7.714,18.954,24.816,0.92,1.42,79.63
2020-04-11,95.0,122.714,6.0,8.143,17.481,22.581,1.104,1.498,79.63
2020-04-12,116.0,119.714,9.0,8.143,21.346,22.029,1.656,1.498,79.63
2020-04-13,78.0,105.429,6.0,8.286,14.353,19.4,1.104,1.525,79.63
2020-04-14,20.0,76.714,5.0,7.143,3.68,14.117,0.92,1.314,79.63
2020-04-15,117.0,93.429,11.0,7.0,21.53,17.192,2.024,1.288,79.63
2020-04-16,156.0,97.857,2.0,6.286,28.706,18.007,0.368,1.157,79.63
2020-04-17,41.0,89.0,9.0,6.857,7.545,16.377,1.656,1.262,79.63
2020-04-18,99.0,89.571,3.0,6.429,18.218,16.483,0.552,1.183,79.63
2020-04-19,42.0,79.0,1.0,5.286,7.729,14.537,0.184,0.973,79.63
2020-04-20,78.0,79.0,16.0,6.714,14.353,14.537,2.944,1.236,74.07
2020-04-21,35.0,81.143,1.0,6.143,6.441,14.932,0.184,1.13,71.3
2020-04-22,147.0,85.429,5.0,5.286,27.05,15.72,0.92,0.973,71.3
2020-04-23,63.0,72.143,7.0,6.0,11.593,13.275,1.288,1.104,71.3
2020-04-24,62.0,75.143,5.0,5.429,11.409,13.827,0.92,0.999,71.3
2020-04-25,36.0,66.143,2.0,5.286,6.625,12.171,0.368,0.973,71.3
2020-04-26,28.0,64.143,0.0,5.143,5.152,11.803,0.0,0.946,71.3
2020-04-27,72.0,63.286,4.0,3.429,13.249,11.646,0.736,0.631,67.59
2020-04-28,61.0,67.0,1.0,3.429,11.225,12.329,0.184,0.631,67.59
2020-04-29,50.0,53.143,1.0,2.857,9.201,9.779,0.184,0.526,67.59
2020-04-30,28.0,48.143,3.0,2.286,5.152,8.859,0.552,0.421,67.59
2020-05-01,45.0,45.714,0.0,1.571,8.281,8.412,0.0,0.289,67.59
2020-05-02,26.0,44.286,1.0,1.429,4.784,8.149,0.184,0.263,67.59
2020-05-03,38.0,45.714,0.0,1.429,6.993,8.412,0.0,0.263,67.59
2020-05-04,57.0,43.571,3.0,1.286,10.489,8.018,0.552,0.237,67.59
2020-05-05,51.0,42.143,1.0,1.286,9.385,7.755,0.184,0.237,67.59
2020-05-06,41.0,40.857,1.0,1.286,7.545,7.518,0.184,0.237,67.59
2020-05-07,38.0,42.286,1.0,1.0,6.993,7.781,0.184,0.184,67.59
2020-05-08,36.0,41.0,1.0,1.143,6.625,7.545,0.184,0.21,67.59
2020-05-09,29.0,41.429,1.0,1.143,5.336,7.624,0.184,0.21,67.59
