time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-24,2.0,,,,0.437,,,,19.44
2020-02-25,0.0,,,,0.0,,,,19.44
2020-02-26,2.0,,,,0.437,,,,19.44
2020-02-27,0.0,,,,0.0,,,,19.44
2020-02-28,0.0,,,,0.0,,,,19.44
2020-02-29,2.0,0.857,,,0.437,0.187,,,19.44
2020-03-01,0.0,0.857,,,0.0,0.187,,,19.44
2020-03-02,0.0,0.571,,,0.0,0.125,,,19.44
2020-03-03,6.0,1.429,,,1.311,0.312,,,19.44
2020-03-04,3.0,1.571,,,0.656,0.343,,,19.44
2020-03-05,1.0,1.714,,,0.219,0.375,,,19.44
2020-03-06,0.0,1.714,,,0.0,0.375,,,19.44
2020-03-07,0.0,1.429,,,0.0,0.312,,,19.44
2020-03-08,0.0,1.429,,,0.0,0.312,,,19.44
2020-03-09,0.0,1.429,,,0.0,0.312,,,19.44
2020-03-10,2.0,0.857,,,0.437,0.187,,,19.44
2020-03-11,0.0,0.429,,,0.0,0.094,,,19.44
2020-03-12,0.0,0.286,,,0.0,0.062,,,19.44
2020-03-13,1.0,0.429,,,0.219,0.094,,,19.44
2020-03-14,0.0,0.429,,,0.0,0.094,,,19.44
2020-03-15,3.0,0.857,,,0.656,0.187,,,30.56
2020-03-16,0.0,0.857,,,0.0,0.187,,,30.56
2020-03-17,2.0,0.857,,,0.437,0.187,,,52.78
2020-03-18,15.0,3.0,,,3.278,0.656,,,66.67
2020-03-19,9.0,4.286,,,1.967,0.937,,,77.78
2020-03-20,0.0,4.143,,,0.0,0.905,,,77.78
2020-03-21,4.0,4.714,,,0.874,1.03,,,81.48
2020-03-22,3.0,4.714,,,0.656,1.03,,,81.48
2020-03-23,11.0,6.286,,,2.404,1.374,,,81.48
2020-03-24,18.0,8.571,,,3.933,1.873,,,81.48
2020-03-25,15.0,8.571,,,3.278,1.873,,,81.48
2020-03-26,10.0,8.714,,,2.185,1.904,,,81.48
2020-03-27,22.0,11.857,,,4.807,2.591,,,81.48
2020-03-28,21.0,14.286,,,4.589,3.122,,,81.48
2020-03-29,15.0,16.0,,,3.278,3.496,,,81.48
2020-03-30,12.0,16.143,,,2.622,3.527,,,81.48
2020-03-31,13.0,15.429,1.0,,2.841,3.371,0.219,,85.19
2020-04-01,18.0,15.857,0.0,,3.933,3.465,0.0,,85.19
2020-04-02,21.0,17.429,0.0,,4.589,3.808,0.0,,85.19
2020-04-03,21.0,17.286,0.0,,4.589,3.777,0.0,,85.19
2020-04-04,25.0,17.857,1.0,,5.463,3.902,0.219,,85.19
2020-04-05,21.0,18.714,0.0,0.286,4.589,4.089,0.0,0.062,85.19
2020-04-06,33.0,21.714,0.0,0.286,7.211,4.745,0.0,0.062,85.19
2020-04-07,40.0,25.571,0.0,0.143,8.741,5.588,0.0,0.031,85.19
2020-04-08,48.0,29.857,0.0,0.143,10.489,6.524,0.0,0.031,85.19
2020-04-09,38.0,32.286,1.0,0.286,8.304,7.055,0.219,0.062,85.19
2020-04-10,27.0,33.143,0.0,0.286,5.9,7.242,0.0,0.062,92.59
2020-04-11,62.0,38.429,0.0,0.143,13.548,8.397,0.0,0.031,92.59
