time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-25,2.0,,,,0.008,,,,19.44
2020-02-26,0.0,,,,0.0,,,,19.44
2020-02-27,0.0,,,,0.0,,,,28.7
2020-02-28,2.0,,,,0.008,,,,28.7
2020-02-29,0.0,,,,0.0,,,,28.7
2020-03-01,0.0,0.571,,,0.0,0.002,,,28.7
2020-03-02,1.0,0.714,,,0.004,0.003,,,28.7
2020-03-03,0.0,0.429,,,0.0,0.002,,,28.7
2020-03-04,0.0,0.429,,,0.0,0.002,,,28.7
2020-03-05,1.0,0.571,,,0.004,0.002,,,28.7
2020-03-06,0.0,0.286,,,0.0,0.001,,,28.7
2020-03-07,0.0,0.286,,,0.0,0.001,,,28.7
2020-03-08,0.0,0.286,,,0.0,0.001,,,28.7
2020-03-09,10.0,1.571,,,0.042,0.007,,,28.7
2020-03-10,3.0,2.0,,,0.013,0.008,,,28.7
2020-03-11,1.0,2.143,,,0.004,0.009,,,28.7
2020-03-12,8.0,3.143,,,0.034,0.013,,,28.7
2020-03-13,3.0,3.571,,,0.013,0.015,,,52.78
2020-03-14,22.0,6.714,,,0.093,0.028,,,52.78
2020-03-15,83.0,18.571,,,0.352,0.079,,,52.78
2020-03-16,100.0,31.429,,,0.424,0.133,,,52.78
2020-03-17,63.0,40.0,,,0.267,0.17,,,52.78
2020-03-18,155.0,62.0,2.0,,0.657,0.263,0.008,,52.78
2020-03-19,47.0,67.571,1.0,,0.199,0.287,0.004,,52.78
2020-03-20,229.0,99.857,0.0,,0.971,0.423,0.0,,52.78
2020-03-21,46.0,103.286,2.0,,0.195,0.438,0.008,,55.56
2020-03-22,99.0,105.571,1.0,,0.42,0.448,0.004,,55.56
2020-03-23,97.0,105.143,1.0,1.0,0.411,0.446,0.004,0.004,85.19
2020-03-24,91.0,109.143,1.0,1.143,0.386,0.463,0.004,0.005,93.52
2020-03-25,138.0,106.714,1.0,1.0,0.585,0.453,0.004,0.004,93.52
2020-03-26,172.0,124.571,2.0,1.143,0.729,0.528,0.008,0.005,96.3
2020-03-27,122.0,109.286,1.0,1.286,0.517,0.463,0.004,0.005,96.3
