time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-09,,,,,,,,,8.33
2020-03-10,1.0,,,,0.227,,,,8.33
2020-03-11,7.0,,1.0,,1.588,,0.227,,8.33
2020-03-12,3.0,,0.0,,0.68,,0.0,,19.44
2020-03-13,16.0,,0.0,,3.629,,0.0,,44.44
2020-03-14,9.0,,0.0,,2.041,,0.0,,44.44
2020-03-15,7.0,6.143,0.0,,1.588,1.393,0.0,,44.44
2020-03-16,12.0,7.857,0.0,0.143,2.722,1.782,0.0,0.032,48.15
2020-03-17,14.0,9.714,0.0,0.143,3.176,2.203,0.0,0.032,51.85
2020-03-18,17.0,11.143,0.0,0.0,3.856,2.528,0.0,0.0,51.85
2020-03-19,23.0,14.0,0.0,0.0,5.217,3.176,0.0,0.0,51.85
2020-03-20,28.0,15.714,0.0,0.0,6.351,3.564,0.0,0.0,59.26
2020-03-21,63.0,23.429,0.0,0.0,14.29,5.314,0.0,0.0,59.26
2020-03-22,113.0,38.571,2.0,0.286,25.632,8.749,0.454,0.065,59.26
2020-03-23,32.0,41.429,3.0,0.714,7.259,9.397,0.68,0.162,70.37
2020-03-24,0.0,39.429,0.0,0.714,0.0,8.944,0.0,0.162,75.93
2020-03-25,98.0,51.0,2.0,1.0,22.229,11.568,0.454,0.227,79.63
2020-03-26,115.0,64.143,0.0,1.0,26.085,14.55,0.0,0.227,79.63
2020-03-27,116.0,76.714,1.0,1.143,26.312,17.401,0.227,0.259,79.63
2020-03-28,112.0,83.714,5.0,1.857,25.405,18.989,1.134,0.421,79.63
2020-03-29,115.0,84.0,3.0,2.0,26.085,19.054,0.68,0.454,79.63
2020-03-30,88.0,92.0,7.0,2.571,19.961,20.868,1.588,0.583,79.63
2020-03-31,192.0,119.429,6.0,3.429,43.551,27.09,1.361,0.778,79.63
2020-04-01,0.0,105.429,0.0,3.143,0.0,23.914,0.0,0.713,79.63
2020-04-02,136.0,108.429,2.0,3.429,30.849,24.595,0.454,0.778,79.63
2020-04-03,158.0,114.429,5.0,4.0,35.839,25.956,1.134,0.907,90.74
2020-04-04,198.0,126.714,4.0,3.857,44.912,28.743,0.907,0.875,90.74
2020-04-05,128.0,128.571,5.0,4.143,29.034,29.164,1.134,0.94,90.74
2020-04-06,187.0,142.714,8.0,4.286,42.417,32.372,1.815,0.972,90.74
2020-04-07,112.0,131.286,1.0,3.571,25.405,29.78,0.227,0.81,90.74
2020-04-08,149.0,152.571,4.0,4.143,33.798,34.608,0.907,0.94,90.74
2020-04-09,279.0,173.0,4.0,4.429,63.286,39.242,0.907,1.005,90.74
2020-04-10,224.0,182.429,3.0,4.143,50.81,41.38,0.68,0.94,90.74
2020-04-11,222.0,185.857,8.0,4.714,50.356,42.158,1.815,1.069,90.74
2020-04-12,260.0,204.714,5.0,4.714,58.976,46.435,1.134,1.069,90.74
2020-04-13,166.0,201.714,8.0,4.714,37.654,45.755,1.815,1.069,90.74
2020-04-14,72.0,196.0,7.0,5.571,16.332,44.459,1.588,1.264,90.74
2020-04-15,102.0,189.286,1.0,5.143,23.137,42.936,0.227,1.167,90.74
2020-04-16,177.0,174.714,8.0,5.714,40.149,39.63,1.815,1.296,90.74
2020-04-17,265.0,180.571,6.0,6.143,60.11,40.959,1.361,1.393,90.74
2020-04-18,194.0,176.571,7.0,6.0,44.005,40.052,1.588,1.361,93.52
2020-04-19,63.0,148.429,4.0,5.857,14.29,33.668,0.907,1.329,93.52
2020-04-20,194.0,152.429,6.0,5.571,44.005,34.575,1.361,1.264,93.52
2020-04-21,191.0,169.429,10.0,6.0,43.325,38.432,2.268,1.361,93.52
2020-04-22,163.0,178.143,5.0,6.571,36.973,40.408,1.134,1.491,93.52
2020-04-23,345.0,202.143,5.0,6.143,78.256,45.852,1.134,1.393,93.52
2020-04-24,172.0,188.857,8.0,6.429,39.015,42.839,1.815,1.458,93.52
2020-04-25,200.0,189.714,5.0,6.143,45.366,43.033,1.134,1.393,93.52
2020-04-26,241.0,215.143,6.0,6.429,54.666,48.801,1.361,1.458,93.52
2020-04-27,242.0,222.0,2.0,5.857,54.893,50.356,0.454,1.329,93.52
2020-04-28,0.0,194.714,0.0,4.429,0.0,44.167,0.0,1.005,93.52
2020-04-29,357.0,222.429,11.0,5.286,80.978,50.454,2.495,1.199,93.52
2020-04-30,154.0,195.143,10.0,6.0,34.932,44.264,2.268,1.361,93.52
2020-05-01,188.0,197.429,4.0,5.429,42.644,44.783,0.907,1.231,93.52
2020-05-02,370.0,221.714,5.0,5.429,83.927,50.292,1.134,1.231,93.52
2020-05-03,0.0,187.286,0.0,4.571,0.0,42.482,0.0,1.037,93.52
2020-05-04,107.0,168.0,3.0,4.714,24.271,38.107,0.68,1.069,93.52
2020-05-05,326.0,214.571,10.0,6.143,73.947,48.671,2.268,1.393,93.52
2020-05-06,208.0,193.286,8.0,5.714,47.181,43.843,1.815,1.296,93.52
2020-05-07,137.0,190.857,7.0,5.286,31.076,43.292,1.588,1.199,93.52
2020-05-08,202.0,192.857,6.0,5.571,45.82,43.746,1.361,1.264,93.52
2020-05-09,212.0,170.286,6.0,5.714,48.088,38.626,1.361,1.296,93.52
2020-05-10,166.0,194.0,7.0,6.714,37.654,44.005,1.588,1.523,93.52
2020-05-11,168.0,202.714,5.0,7.0,38.107,45.982,1.134,1.588,93.52
