time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-06,1.0,,1.0,,0.029,,0.029,,13.89
2020-03-07,0.0,,0.0,,0.0,,0.0,,13.89
2020-03-08,5.0,,1.0,,0.147,,0.029,,13.89
2020-03-09,1.0,,0.0,,0.029,,0.0,,13.89
2020-03-10,4.0,,0.0,,0.117,,0.0,,13.89
2020-03-11,0.0,1.571,0.0,0.286,0.0,0.046,0.0,0.008,16.67
2020-03-12,4.0,2.143,1.0,0.429,0.117,0.063,0.029,0.013,44.44
2020-03-13,13.0,3.857,0.0,0.286,0.382,0.113,0.0,0.008,44.44
2020-03-14,10.0,5.286,0.0,0.286,0.294,0.155,0.0,0.008,50.0
2020-03-15,5.0,5.286,2.0,0.429,0.147,0.155,0.059,0.013,74.07
2020-03-16,43.0,11.286,0.0,0.429,1.263,0.331,0.0,0.013,90.74
2020-03-17,31.0,15.143,4.0,1.0,0.91,0.445,0.117,0.029,90.74
2020-03-18,28.0,19.143,6.0,1.857,0.822,0.562,0.176,0.055,94.44
2020-03-19,89.0,31.286,5.0,2.429,2.614,0.919,0.147,0.071,94.44
2020-03-20,0.0,29.429,6.0,3.286,0.0,0.864,0.176,0.096,94.44
2020-03-21,84.0,40.0,4.0,3.857,2.467,1.175,0.117,0.113,94.44
2020-03-22,45.0,45.714,4.0,4.143,1.322,1.343,0.117,0.122,94.44
2020-03-23,32.0,44.143,5.0,4.857,0.94,1.296,0.147,0.143,94.44
2020-03-24,21.0,42.714,6.0,5.143,0.617,1.254,0.176,0.151,94.44
2020-03-25,64.0,47.857,12.0,6.0,1.88,1.406,0.352,0.176,94.44
2020-03-26,100.0,49.429,6.0,6.143,2.937,1.452,0.176,0.18,94.44
2020-03-27,55.0,57.286,8.0,6.429,1.615,1.682,0.235,0.189,94.44
2020-03-28,36.0,50.429,15.0,8.0,1.057,1.481,0.441,0.235,94.44
2020-03-29,181.0,69.857,9.0,8.714,5.316,2.052,0.264,0.256,94.44
2020-03-30,98.0,79.286,18.0,10.571,2.878,2.329,0.529,0.31,94.44
2020-03-31,115.0,92.714,25.0,13.286,3.377,2.723,0.734,0.39,94.44
2020-04-01,258.0,120.429,23.0,14.857,7.577,3.537,0.675,0.436,94.44
2020-04-02,91.0,119.143,22.0,17.143,2.673,3.499,0.646,0.503,94.44
2020-04-03,181.0,137.143,26.0,19.714,5.316,4.028,0.764,0.579,94.44
2020-04-04,151.0,153.571,49.0,24.571,4.435,4.51,1.439,0.722,94.44
