male,female,total
5450.633,5165.709,10616.342
5846.072,5551.88,11397.952
5578.251,5328.55,10906.801
5407.659,5055.235,10462.894
5191.755,4912.579,10104.334
4807.611,4672.169,9479.78
4166.778,4080.419,8247.197
3644.549,3610.181,7254.73
3297.341,3254.622,6551.963
2883.722,2875.542,5759.264
2538.943,2578.054,5116.997
2075.862,2174.061,4249.923
1614.771,1778.415,3393.186
1137.017,1348.668,2485.685
709.616,951.813,1661.429
381.08,597.11,978.19
202.363,378.173,580.536
75.335,165.698,241.033
16.873,59.191,76.064
2.375,12.613,14.988
0.219,1.578,1.797
