time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-04,1.0,,,,0.025,,,,11.11
2020-03-05,0.0,,,,0.0,,,,11.11
2020-03-06,4.0,,,,0.1,,,,11.11
2020-03-07,0.0,,,,0.0,,,,11.11
2020-03-08,6.0,,,,0.151,,,,11.11
2020-03-09,5.0,2.286,,,0.125,0.057,,,13.89
2020-03-10,6.0,3.143,,,0.151,0.079,,,25.0
2020-03-11,9.0,4.286,,,0.226,0.108,,,25.0
2020-03-12,18.0,6.857,1.0,,0.452,0.172,0.025,,41.67
2020-03-13,19.0,9.0,1.0,,0.477,0.226,0.025,,41.67
2020-03-14,35.0,14.0,1.0,,0.878,0.351,0.025,,49.07
2020-03-15,16.0,15.429,0.0,,0.401,0.387,0.0,,57.41
2020-03-16,58.0,23.0,1.0,,1.455,0.577,0.025,,57.41
2020-03-17,61.0,30.857,1.0,0.714,1.53,0.774,0.025,0.018,57.41
2020-03-18,13.0,31.429,0.0,0.714,0.326,0.789,0.0,0.018,57.41
2020-03-19,104.0,43.714,0.0,0.571,2.609,1.097,0.0,0.014,57.41
2020-03-20,70.0,51.0,0.0,0.429,1.756,1.28,0.0,0.011,57.41
2020-03-21,111.0,61.857,0.0,0.286,2.785,1.552,0.0,0.007,57.41
2020-03-22,98.0,73.571,2.0,0.571,2.459,1.846,0.05,0.014,57.41
2020-03-23,115.0,81.714,1.0,0.571,2.885,2.05,0.025,0.014,57.41
2020-03-24,152.0,94.714,2.0,0.714,3.814,2.376,0.05,0.018,57.41
2020-03-25,150.0,114.286,4.0,1.286,3.763,2.867,0.1,0.032,57.41
2020-03-26,170.0,123.714,2.0,1.571,4.265,3.104,0.05,0.039,57.41
2020-03-27,168.0,137.714,0.0,1.571,4.215,3.455,0.0,0.039,57.41
2020-03-28,249.0,157.429,2.0,1.857,6.247,3.95,0.05,0.047,57.41
2020-03-29,224.0,175.429,4.0,2.143,5.62,4.401,0.1,0.054,57.41
2020-03-30,193.0,186.571,9.0,3.286,4.842,4.681,0.226,0.082,57.41
2020-03-31,256.0,201.429,2.0,3.286,6.423,5.054,0.05,0.082,81.48
2020-04-01,243.0,214.714,10.0,4.143,6.097,5.387,0.251,0.104,81.48
2020-04-02,392.0,246.429,14.0,5.857,9.835,6.183,0.351,0.147,81.48
2020-04-03,437.0,284.857,14.0,7.857,10.964,7.147,0.351,0.197,81.48
2020-04-04,244.0,284.143,8.0,8.714,6.122,7.129,0.201,0.219,81.48
2020-04-05,475.0,320.0,15.0,10.286,11.918,8.029,0.376,0.258,81.48
2020-04-06,311.0,336.857,13.0,10.857,7.803,8.452,0.326,0.272,81.48
2020-04-07,435.0,362.429,22.0,13.714,10.914,9.093,0.552,0.344,81.48
2020-04-08,357.0,378.714,30.0,16.571,8.957,9.502,0.753,0.416,81.48
2020-04-09,370.0,375.571,15.0,16.714,9.283,9.423,0.376,0.419,87.04
2020-04-10,380.0,367.429,7.0,15.714,9.534,9.219,0.176,0.394,87.04
2020-04-11,401.0,389.857,27.0,18.429,10.061,9.781,0.677,0.462,87.04
2020-04-12,318.0,367.429,24.0,19.714,7.978,9.219,0.602,0.495,87.04
2020-04-13,260.0,360.143,13.0,19.714,6.523,9.036,0.326,0.495,87.04
2020-04-14,268.0,336.286,18.0,19.143,6.724,8.437,0.452,0.48,87.04
2020-04-15,380.0,339.571,23.0,18.143,9.534,8.52,0.577,0.455,87.04
2020-04-16,336.0,334.714,28.0,20.0,8.43,8.398,0.703,0.502,87.04
2020-04-17,461.0,346.286,18.0,21.571,11.566,8.688,0.452,0.541,87.04
2020-04-18,363.0,340.857,15.0,19.857,9.108,8.552,0.376,0.498,87.04
2020-04-19,545.0,373.286,13.0,18.286,13.674,9.366,0.326,0.459,87.04
2020-04-20,306.0,379.857,20.0,19.286,7.677,9.53,0.502,0.484,83.33
2020-04-21,263.0,379.143,21.0,19.714,6.599,9.513,0.527,0.495,83.33
2020-04-22,313.0,369.571,25.0,20.0,7.853,9.272,0.627,0.502,83.33
2020-04-23,342.0,370.429,28.0,20.0,8.581,9.294,0.703,0.502,83.33
2020-04-24,381.0,359.0,40.0,23.143,9.559,9.007,1.004,0.581,83.33
2020-04-25,381.0,361.571,30.0,25.286,9.559,9.072,0.753,0.634,83.33
2020-04-26,344.0,332.857,11.0,25.0,8.631,8.351,0.276,0.627,83.33
2020-04-27,285.0,329.857,27.0,26.0,7.151,8.276,0.677,0.652,83.33
2020-04-28,316.0,337.429,34.0,27.857,7.928,8.466,0.853,0.699,83.33
2020-04-29,422.0,353.0,28.0,28.286,10.588,8.857,0.703,0.71,83.33
2020-04-30,237.0,338.0,20.0,27.143,5.946,8.48,0.502,0.681,83.33
2020-05-01,228.0,316.143,7.0,22.429,5.72,7.932,0.176,0.563,83.33
2020-05-02,270.0,300.286,13.0,20.0,6.774,7.534,0.326,0.502,83.33
2020-05-03,318.0,296.571,14.0,20.429,7.978,7.441,0.351,0.513,83.33
2020-05-04,313.0,300.571,20.0,19.429,7.853,7.541,0.502,0.487,83.33
2020-05-05,425.0,316.143,18.0,17.143,10.663,7.932,0.452,0.43,83.33
2020-05-06,309.0,300.0,17.0,15.571,7.753,7.527,0.427,0.391,83.33
2020-05-07,307.0,310.0,22.0,15.857,7.703,7.778,0.552,0.398,83.33
2020-05-08,319.0,323.0,21.0,17.857,8.004,8.104,0.527,0.448,83.33
2020-05-09,285.0,325.143,9.0,17.286,7.151,8.158,0.226,0.434,83.33
2020-05-10,345.0,329.0,15.0,17.429,8.656,8.254,0.376,0.437,83.33
2020-05-11,330.0,331.429,11.0,16.143,8.28,8.315,0.276,0.405,83.33
2020-05-12,595.0,355.714,28.0,17.571,14.928,8.925,0.703,0.441,83.33
2020-05-13,283.0,352.0,22.0,18.286,7.1,8.832,0.552,0.459,83.33
2020-05-14,411.0,366.857,22.0,18.286,10.312,9.204,0.552,0.459,83.33
2020-05-15,401.0,378.571,24.0,18.714,10.061,9.498,0.602,0.47,83.33
2020-05-16,241.0,372.286,8.0,18.571,6.047,9.341,0.201,0.466,83.33
2020-05-17,272.0,361.857,10.0,17.857,6.824,9.079,0.251,0.448,83.33
2020-05-18,356.0,365.571,11.0,17.857,8.932,9.172,0.276,0.448,83.33
2020-05-19,383.0,335.286,12.0,15.571,9.609,8.412,0.301,0.391,83.33
2020-05-20,471.0,362.143,14.0,14.429,11.817,9.086,0.351,0.362,83.33
2020-05-21,404.0,361.143,10.0,12.714,10.136,9.061,0.251,0.319,83.33
2020-05-22,476.0,371.857,10.0,10.714,11.943,9.33,0.251,0.269,83.33
2020-05-23,312.0,382.0,11.0,11.143,7.828,9.584,0.276,0.28,83.33
2020-05-24,395.0,399.571,3.0,10.143,9.91,10.025,0.075,0.254,83.33
2020-05-25,305.0,392.286,11.0,10.143,7.652,9.842,0.276,0.254,79.63
2020-05-26,443.0,400.857,17.0,10.857,11.115,10.057,0.427,0.272,79.63
2020-05-27,399.0,390.571,4.0,9.429,10.011,9.799,0.1,0.237,79.63
2020-05-28,352.0,383.143,10.0,9.429,8.832,9.613,0.251,0.237,79.63
2020-05-29,330.0,362.286,13.0,9.857,8.28,9.09,0.326,0.247,79.63
2020-05-30,416.0,377.143,10.0,9.714,10.437,9.462,0.251,0.244,64.81
2020-05-31,215.0,351.429,3.0,9.714,5.394,8.817,0.075,0.244,64.81
2020-06-01,379.0,362.0,10.0,9.571,9.509,9.082,0.251,0.24,64.81
2020-06-02,230.0,331.571,18.0,9.714,5.771,8.319,0.452,0.244,53.7
2020-06-03,292.0,316.286,23.0,12.429,7.326,7.935,0.577,0.312,53.7
2020-06-04,361.0,317.571,2.0,11.286,9.057,7.968,0.05,0.283,53.7
2020-06-05,362.0,322.143,20.0,12.286,9.082,8.082,0.502,0.308,53.7
2020-06-06,576.0,345.0,16.0,13.143,14.452,8.656,0.401,0.33,53.7
2020-06-07,575.0,396.429,4.0,13.286,14.427,9.946,0.1,0.333,53.7
2020-06-08,599.0,427.857,9.0,13.143,15.029,10.735,0.226,0.33,53.7
2020-06-09,400.0,452.143,17.0,13.0,10.036,11.344,0.427,0.326,53.7
2020-06-10,282.0,450.714,23.0,13.0,7.075,11.308,0.577,0.326,53.7
2020-06-11,359.0,450.429,9.0,14.0,9.007,11.301,0.226,0.351,53.7
2020-06-12,376.0,452.429,7.0,12.143,9.434,11.351,0.176,0.305,53.7
2020-06-13,440.0,433.0,15.0,12.0,11.039,10.864,0.376,0.301,53.7
2020-06-14,375.0,404.429,10.0,12.857,9.409,10.147,0.251,0.323,53.7
2020-06-15,396.0,375.429,9.0,12.857,9.935,9.419,0.226,0.323,50.93
2020-06-16,407.0,376.429,16.0,12.714,10.211,9.444,0.401,0.319,50.93
2020-06-17,506.0,408.429,14.0,11.429,12.695,10.247,0.351,0.287,50.93
2020-06-18,314.0,402.0,30.0,14.429,7.878,10.086,0.753,0.362,50.93
2020-06-19,301.0,391.286,18.0,16.0,7.552,9.817,0.452,0.401,50.93
2020-06-20,304.0,371.857,12.0,15.571,7.627,9.33,0.301,0.391,50.93
2020-06-21,311.0,362.714,10.0,15.571,7.803,9.1,0.251,0.391,50.93
2020-06-22,296.0,348.429,3.0,14.714,7.427,8.742,0.075,0.369,50.93
2020-06-23,300.0,333.143,16.0,14.714,7.527,8.358,0.401,0.369,50.93
2020-06-24,294.0,302.857,21.0,15.714,7.376,7.599,0.527,0.394,50.93
2020-06-25,298.0,300.571,16.0,13.714,7.477,7.541,0.401,0.344,50.93
2020-06-26,276.0,297.0,17.0,13.571,6.925,7.452,0.427,0.341,50.93
2020-06-27,319.0,299.143,6.0,12.714,8.004,7.505,0.151,0.319,50.93
2020-06-28,193.0,282.286,3.0,11.714,4.842,7.082,0.075,0.294,50.93
2020-06-29,247.0,275.286,6.0,12.143,6.197,6.907,0.151,0.305,50.93
2020-06-30,239.0,266.571,19.0,12.571,5.996,6.688,0.477,0.315,50.93
2020-07-01,382.0,279.143,14.0,11.571,9.584,7.004,0.351,0.29,50.93
2020-07-02,371.0,289.571,15.0,11.429,9.308,7.265,0.376,0.287,50.93
2020-07-03,259.0,287.143,15.0,11.143,6.498,7.204,0.376,0.28,50.93
2020-07-04,314.0,286.429,5.0,11.0,7.878,7.186,0.125,0.276,50.93
2020-07-05,231.0,291.857,5.0,11.286,5.796,7.323,0.125,0.283,50.93
2020-07-06,205.0,285.857,4.0,11.0,5.143,7.172,0.1,0.276,50.93
2020-07-07,257.0,288.429,7.0,9.286,6.448,7.237,0.176,0.233,50.93
2020-07-08,277.0,273.429,14.0,9.286,6.95,6.86,0.351,0.233,50.93
2020-07-09,262.0,257.857,9.0,8.429,6.573,6.47,0.226,0.211,39.81
2020-07-10,265.0,258.714,11.0,7.857,6.649,6.491,0.276,0.197,39.81
2020-07-11,305.0,257.429,6.0,8.0,7.652,6.459,0.151,0.201,39.81
2020-07-12,370.0,277.286,3.0,7.714,9.283,6.957,0.075,0.194,39.81
2020-07-13,299.0,290.714,5.0,7.857,7.502,7.294,0.125,0.197,39.81
2020-07-14,267.0,292.143,12.0,8.571,6.699,7.33,0.301,0.215,39.81
2020-07-15,264.0,290.286,6.0,7.429,6.624,7.283,0.151,0.186,39.81
2020-07-16,333.0,300.429,11.0,7.714,8.355,7.538,0.276,0.194,39.81
2020-07-17,353.0,313.0,7.0,7.143,8.857,7.853,0.176,0.179,39.81
2020-07-18,339.0,317.857,6.0,7.143,8.505,7.975,0.151,0.179,39.81
2020-07-19,358.0,316.143,6.0,7.571,8.982,7.932,0.151,0.19,39.81
2020-07-20,279.0,313.286,3.0,7.286,7.0,7.86,0.075,0.183,39.81
2020-07-21,399.0,332.143,9.0,6.857,10.011,8.333,0.226,0.172,39.81
2020-07-22,380.0,348.714,6.0,6.857,9.534,8.749,0.151,0.172,39.81
2020-07-23,418.0,360.857,9.0,6.571,10.487,9.054,0.226,0.165,39.81
2020-07-24,458.0,375.857,4.0,6.143,11.491,9.43,0.1,0.154,39.81
2020-07-25,584.0,410.857,9.0,6.571,14.652,10.308,0.226,0.165,39.81
2020-07-26,443.0,423.0,7.0,6.714,11.115,10.613,0.176,0.168,39.81
2020-07-27,337.0,431.286,5.0,7.0,8.455,10.821,0.125,0.176,39.81
2020-07-28,502.0,446.0,6.0,6.571,12.595,11.19,0.151,0.165,39.81
2020-07-29,512.0,464.857,12.0,7.429,12.846,11.663,0.301,0.186,39.81
2020-07-30,615.0,493.0,15.0,8.286,15.43,12.369,0.376,0.208,39.81
2020-07-31,657.0,521.429,7.0,8.714,16.484,13.082,0.176,0.219,39.81
2020-08-01,658.0,532.0,5.0,8.143,16.509,13.348,0.125,0.204,39.81
2020-08-02,548.0,547.0,10.0,8.571,13.749,13.724,0.251,0.215,39.81
2020-08-03,575.0,581.0,1.0,8.0,14.427,14.577,0.025,0.201,39.81
2020-08-04,680.0,606.429,6.0,8.0,17.061,15.215,0.151,0.201,39.81
2020-08-05,640.0,624.714,18.0,8.857,16.057,15.674,0.452,0.222,39.81
2020-08-06,726.0,640.571,18.0,9.286,18.215,16.072,0.452,0.233,39.81
2020-08-07,809.0,662.286,13.0,10.143,20.297,16.616,0.326,0.254,39.81
2020-08-08,843.0,688.714,13.0,11.286,21.151,17.28,0.326,0.283,39.81
2020-08-09,624.0,699.571,7.0,10.857,15.656,17.552,0.176,0.272,39.81
2020-08-10,619.0,705.857,2.0,11.0,15.53,17.71,0.05,0.276,39.81
2020-08-11,551.0,687.429,12.0,11.857,13.824,17.247,0.301,0.297,39.81
2020-08-12,715.0,698.143,9.0,10.571,17.939,17.516,0.226,0.265,39.81
2020-08-13,811.0,710.286,14.0,10.0,20.348,17.821,0.351,0.251,39.81
2020-08-14,832.0,713.571,14.0,10.143,20.875,17.903,0.351,0.254,39.81
2020-08-15,771.0,703.286,11.0,9.857,19.344,17.645,0.276,0.247,39.81
2020-08-16,594.0,699.0,8.0,10.0,14.903,17.538,0.201,0.251,39.81
2020-08-17,595.0,695.571,8.0,10.857,14.928,17.452,0.201,0.272,39.81
2020-08-18,597.0,702.143,11.0,10.714,14.978,17.616,0.276,0.269,39.81
2020-08-19,735.0,705.0,17.0,11.857,18.441,17.688,0.427,0.297,39.81
2020-08-20,767.0,698.714,12.0,11.571,19.244,17.53,0.301,0.29,39.81
2020-08-21,903.0,708.857,13.0,11.429,22.656,17.785,0.326,0.287,39.81
